itemCollection_fp_eae_eas_lightmedmechs,type,qty,weight
mechdef_shadowhawks_SHD-LAM-S,Mech,1,1
mechdef_stingers_STG-LAM-S,Mech,1,1
mechdef_thunderbirds_TB-LAM-S,Mech,1,1
mechdef_valkyrieghost_VG-LAM-SS,Mech,1,1
mechdef_wanetas_WN-LAM-S,Mech,1,1
mechdef_wasps_WSP-LAM-S,Mech,1,1
mechdef_whiteeagles_WE-LAM-S,Mech,1,1
mechdef_yureis_YR-LAM-S,Mech,1,1
mechdef_anubis_ABS-S,Mech,1,1
mechdef_anubis_ABS-S2,Mech,1,1
mechdef_apollo_APL-S1,Mech,1,1
mechdef_apollo_APL-S2,Mech,1,1
mechdef_assassinii_ASNII-S1,Mech,1,1
mechdef_assassinii_ASNII-S2,Mech,1,1
mechdef_assassin_ASN-S1,Mech,1,1
mechdef_assassin_ASN-S2,Mech,1,1
mechdef_bee_BEE-S1,Mech,1,1
mechdef_bee_BEE-S2,Mech,1,1
mechdef_bee_BEE-S3,Mech,1,1
mechdef_blackjack_BJ-S1,Mech,1,1
mechdef_blackjack_BJ-S2,Mech,1,1
mechdef_blitzkrieg_BTZ-S,Mech,1,1
mechdef_bombard_BMB-S1,Mech,1,1
mechdef_bombard_BMB-S2,Mech,1,1
mechdef_bombard_BMB-S3,Mech,1,1
mechdef_bushwacker_BWS-S2,Mech,1,1
mechdef_centurion_CN9-S,Mech,1,1
mechdef_centurion_CN9-S2,Mech,1,1
mechdef_chameleon_CLN-S,Mech,1,1
mechdef_chameleon_CLN-S2,Mech,1,1
mechdef_chimera_CMA-S,Mech,1,1
mechdef_cicada_CDA-S2,Mech,1,1
mechdef_clint_CLNT-S,Mech,1,1
mechdef_clint_CLNT-S2,Mech,1,1
mechdef_commando_COM-S2,Mech,1,1
mechdef_cossack_C-SK1-S,Mech,1,1
mechdef_crab_CRB-S3,Mech,1,1
mechdef_cyclone_CYC-S,Mech,1,1
mechdef_cyclone_CYC-S2,Mech,1,1
mechdef_dervish_DV-S2,Mech,1,1
mechdef_dervish_DV-S3,Mech,1,1
mechdef_duangung_D9-G10-S2,Mech,1,1
mechdef_duangung_D9-G9-S1,Mech,1,1
mechdef_enfield_END-S,Mech,1,1
mechdef_enfield_END-S2,Mech,1,1
mechdef_enforcer_ENF-S,Mech,1,1
mechdef_enforcer_ENF-S2,Mech,1,1
mechdef_eris_ERS-S,Mech,1,1
mechdef_eris_ERS-S2,Mech,1,1
mechdef_falcon_FLC-S,Mech,1,1
mechdef_falcon_FLC-S2,Mech,1,1
mechdef_fer-de-lance_FDL-S1,Mech,1,1
mechdef_fer-de-lance_FDL-S2,Mech,1,1
mechdef_fireball_ALM-S1,Mech,1,1
mechdef_fireball_ALM-S2,Mech,1,1
mechdef_firebee_FRB-S,Mech,1,1
mechdef_firefly_FFL-S,Mech,1,1
mechdef_firefly_FFL-S2,Mech,1,1
mechdef_firestarter_FS9-S,Mech,1,1
mechdef_firestarter_FS9-S2,Mech,1,1
mechdef_flea_FLE-S,Mech,1,1
mechdef_flea_FLE-S2,Mech,1,1
mechdef_ghost_GST-S1,Mech,1,1
mechdef_ghost_GST-S2,Mech,1,1
mechdef_gladiator_GLD-S1,Mech,1,1
mechdef_gladiator_GLD-S2,Mech,1,1
mechdef_hatchetman_HCT-S2,Mech,1,1
mechdef_hellspawn_HSN-S2,Mech,1,1
mechdef_hellspawn_HSN-S3,Mech,1,1
mechdef_hermes_HER-S1,Mech,1,1
mechdef_hermes_HER-S2,Mech,1,1
mechdef_hoplite_HOP-S,Mech,1,1
mechdef_hoplite_HOP-S2,Mech,1,1
mechdef_hornet_HNT-S,Mech,1,1
mechdef_huronwarrior_HUR-WO-S2,Mech,1,1
mechdef_hussar_HSR-S,Mech,1,1
mechdef_icarusii_ICR-S,Mech,1,1
mechdef_icarusii_ICR-S2,Mech,1,1
mechdef_jackdaw_JCD-S1,Mech,1,1
mechdef_jackdaw_JCD-S2,Mech,1,1
mechdef_jackrabbitii_JKR-S2,Mech,1,1
mechdef_jackrabbit_JKR-S,Mech,1,1
mechdef_javelin_JVN-S,Mech,1,1
mechdef_javelin_JVN-S2,Mech,1,1
mechdef_jenneriic_JR7-IIC-S1,Mech,1,1
mechdef_jenneriic_JR7-IIC-S2,Mech,1,1
mechdef_jennerrattlesnake_JR7-S2,Mech,1,1
mechdef_jenner_JR7-S,Mech,1,1
mechdef_kintaro_KTO-S,Mech,1,1
mechdef_kintaro_KTO-S2,Mech,1,1
mechdef_komodo_KIM-S,Mech,1,1
mechdef_komodo_KIM-S2,Mech,1,1
mechdef_kyudo_KY2-D-S,Mech,1,1
mechdef_kyudo_KY2-D-S2,Mech,1,1
mechdef_locust_LCT-S,Mech,1,1
mechdef_locust_LCT-S2,Mech,1,1
mechdef_lynx_LNX-S1,Mech,1,1
mechdef_lynx_LNX-S2,Mech,1,1
mechdef_mercury_MCY-99W-S1,Mech,1,1
mechdef_mercury_MCY-S1,Mech,1,1
mechdef_mongoose_MON-S2,Mech,1,1
mechdef_mushu_MHU-S1,Mech,1,1
mechdef_mushu_MHU-S2,Mech,1,1
mechdef_nighthawk_NTK-S,Mech,1,1
mechdef_nyx_NX-S1,Mech,1,1
mechdef_nyx_NX-S2,Mech,1,1
mechdef_nyx_NX-S3,Mech,1,1
mechdef_osiris_OSR-S,Mech,1,1
mechdef_osiris_OSR-S2,Mech,1,1
mechdef_osprey_OSP-S,Mech,1,1
mechdef_osprey_OSP-S2,Mech,1,1
mechdef_owens_OW-S,Mech,1,1
mechdef_owens_OW-S2,Mech,1,1
mechdef_panther_PNT-S,Mech,1,1
mechdef_panther_PNT-S2,Mech,1,1
mechdef_phoenixhawk_PXH-S2,Mech,1,1
mechdef_phoenixhawk_PXH-S3,Mech,1,1
mechdef_raptor_RTX1-O-S1,Mech,1,1
mechdef_raptor_RTX1-OC-S2,Mech,1,1
mechdef_raven_RVN-S,Mech,1,1
mechdef_raven_RVN-S2,Mech,1,1
mechdef_razorback_RZK-S1,Mech,1,1
mechdef_razorback_RZK-S2,Mech,1,1
mechdef_razorback_RZK-S3,Mech,1,1
mechdef_sentinel_STN-S,Mech,1,1
mechdef_sentinel_STN-S2,Mech,1,1
mechdef_shayu_SYU-S,Mech,1,1
mechdef_shayu_SYU-S2,Mech,1,1
mechdef_sling_SL-S1,Mech,1,1
mechdef_sling_SL-S2,Mech,1,1
mechdef_spector_SPR-S1,Mech,1,1
mechdef_spector_SPR-S2,Mech,1,1
mechdef_spider_SDR-S,Mech,1,1
mechdef_spider_SDR-S2,Mech,1,1
mechdef_starslayer_STY-S1,Mech,1,1
mechdef_starslayer_STY-S2,Mech,1,1
mechdef_stinger_STG-S2,Mech,1,1
mechdef_strider_SR1-S,Mech,1,1
mechdef_strider_SR1-S2,Mech,1,1
mechdef_strider_SR1-S3,Mech,1,1
mechdef_swordsman_SWD-S,Mech,1,1
mechdef_talon_TLN-S,Mech,1,1
mechdef_talon_TLN-S2,Mech,1,1
mechdef_thorn_THE-S1,Mech,1,1
mechdef_thorn_THE-S2,Mech,1,1
mechdef_tiburon_TBN-2-S,Mech,1,1
mechdef_toro_TR-A-S,Mech,1,1
mechdef_toro_TR-B-S2,Mech,1,1
mechdef_trebuchet_TBT-S,Mech,1,1
mechdef_trebuchet_TBT-S2,Mech,1,1
mechdef_trebuchet_TBT-S3,Mech,1,1
mechdef_urbanmechk-9_UM-S2,Mech,1,1
mechdef_urbanmech_UM-S3,Mech,1,1
mechdef_uziel_UZL-S2,Mech,1,1
mechdef_uziel_UZL-S3,Mech,1,1
mechdef_valkyrie_VLK-S2,Mech,1,1
mechdef_vindicator_VND-S,Mech,1,1
mechdef_vindicator_VND-S2,Mech,1,1
mechdef_vulcan_VL-S,Mech,1,1
mechdef_vulcan_VL-S2,Mech,1,1
mechdef_wasp_WSP-S,Mech,1,1
mechdef_wasp_WSP-S2,Mech,1,1
mechdef_whitworth_WTH-S1,Mech,1,1
mechdef_whitworth_WTH-S2,Mech,1,1
mechdef_wight_WGT-S,Mech,1,1
mechdef_wight_WGT-S2,Mech,1,1
mechdef_wolfhound_WLF-S3,Mech,1,1
mechdef_wolverine_WVR-S2,Mech,1,1
mechdef_wraith_TR-S,Mech,1,1
mechdef_wraith_TR-S2,Mech,1,1
mechdef_wyvern_WVE-S,Mech,1,1
mechdef_wyvern_WVE-S2,Mech,1,1
mechdef_adder_ADR-S2,Mech,1,1
mechdef_adder_ADR-S3,Mech,1,1
mechdef_arcticcheetah_ACH-S2,Mech,1,1
mechdef_arcticwolf_ACW-S1,Mech,1,1
mechdef_arcticwolf_ACW-S2,Mech,1,1
mechdef_arcticwolf_ACW-S3,Mech,1,1
mechdef_blacklanner_BKL-S2,Mech,1,1
mechdef_cazador_CZD-S,Mech,1,1
mechdef_conjurer_WVR-IIC-S1,Mech,1,1
mechdef_conjurer_WVR-IIC-S2,Mech,1,1
mechdef_cougar_CGR-S2,Mech,1,1
mechdef_cougar_CGR-S3,Mech,1,1
mechdef_cougar_CGR-XR-S1,Mech,1,1
mechdef_darkcrow_DCR-S,Mech,1,1
mechdef_firefalcon_FF-S1,Mech,1,1
mechdef_firefalcon_FF-S2,Mech,1,1
mechdef_firefalcon_FF-S3,Mech,1,1
mechdef_firemoth_FM-S2,Mech,1,1
mechdef_fox_FX-S,Mech,1,1
mechdef_grendel_GDL-S1,Mech,1,1
mechdef_grendel_GDL-S2,Mech,1,1
mechdef_hammerhead_HMH-S1,Mech,1,1
mechdef_hammerhead_HMH-S2,Mech,1,1
mechdef_howler_HWL-S1,Mech,1,1
mechdef_howler_HWL-S2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S3,Mech,1,1
mechdef_huntsman_HMN-S2,Mech,1,1
mechdef_iceferret_IFR-S,Mech,1,1
mechdef_iceferret_IFR-S2,Mech,1,1
mechdef_incubus_INC-S2,Mech,1,1
mechdef_incubus_INC-S3,Mech,1,1
mechdef_locust_LCT-IIC-2-S2,Mech,1,1
mechdef_locust_LCT-IIC-S,Mech,1,1
mechdef_mercuryii_MCY-100S,Mech,1,1
mechdef_mercuryii_MCY-110S,Mech,1,1
mechdef_mistlynx_MLX-S2,Mech,1,1
mechdef_naja_NJA-S,Mech,1,1
mechdef_naja_NJA-S2,Mech,1,1
mechdef_phantom_PHN-S1,Mech,1,1
mechdef_phantom_PHN-S2,Mech,1,1
mechdef_phantom_PHN-S3,Mech,1,1
mechdef_piranha_PIR-S2,Mech,1,1
mechdef_piranha_PIR-S3,Mech,1,1
mechdef_septicemia_PRI-S2,Mech,1,1
mechdef_septicemia_PRI-S3,Mech,1,1
mechdef_shadowcat_SHC-S2,Mech,1,1
mechdef_shadowcat_SHC-S3,Mech,1,1
mechdef_solitaire_SLT-1-S,Mech,1,1
mechdef_stag_ST-S1,Mech,1,1
mechdef_stag_ST-S2,Mech,1,1
mechdef_stag_ST-S3,Mech,1,1
mechdef_tiburon_TBN-1-S,Mech,1,1
mechdef_vaporeagle_VGL-S2,Mech,1,1
