itemCollection_fp_eae_asltsupermechs,type,qty,weight
mechdef_emperor_EMP-6A,Mech,1,1
mechdef_fafnir_FNR-5,Mech,1,1
mechdef_fafnir_FNR-5B,Mech,1,1
mechdef_hatamotochi_HTM-26T,Mech,1,1
mechdef_hatamotochi_HTM-27T,Mech,1,1
mechdef_hatamotochi_HTM-27V,Mech,1,1
mechdef_hatamotochi_HTM-27W,Mech,1,1
mechdef_hatamotochi_HTM-SAM,Mech,1,1
mechdef_hauptmann_HA1-O,Mech,1,1
mechdef_hauptmann_HA1-OC,Mech,1,1
mechdef_highlander_HGN-733C,Mech,1,1
mechdef_imp_IMP-2E,Mech,1,1
mechdef_imp_IMP-3E,Mech,1,1
mechdef_kingcrab_KGC-000b,Mech,1,1
mechdef_kingcrab_KGC-001,Mech,1,1
mechdef_longbow_LGB-7Q,Mech,1,1
mechdef_mackie-6S,Mech,1,1
mechdef_marauderII_MAD-5A,Mech,1,1
mechdef_marauderII_MAD-5B,Mech,1,1
mechdef_marauderII_MAD-COL,Mech,1,1
mechdef_mauler_MAL-1PT5,Mech,1,1
mechdef_mauler_MAL-1R,Mech,1,1
mechdef_mauler_MAL-DOB,Mech,1,1
mechdef_nightstar_NSR-7J,Mech,1,1
mechdef_nightstar_NSR-9J,Mech,1,1
mechdef_seraph_C-SRP-O,Mech,1,1
mechdef_seraph_C-SRP-OC,Mech,1,1
mechdef_seraph_C-SRP-OE,Mech,1,1
mechdef_stalker_STK-3H,Mech,1,1
mechdef_stalker_STK-4N,Mech,1,1
mechdef_templar_TLR1-O,Mech,1,1
mechdef_templar_TLR1-OA,Mech,1,1
mechdef_templar_TLR1-OD,Mech,1,1
mechdef_thug_THG-10E,Mech,1,1
mechdef_thug_THG-11E,Mech,1,1
mechdef_titanii_TI-2P,Mech,1,1
mechdef_victor_VTR-9A,Mech,1,1
mechdef_victor_VTR-9A1,Mech,1,1
mechdef_zeus_ZEU-6A,Mech,1,1
mechdef_zeus_ZEU-6S-DC,Mech,1,1
mechdef_zeus_ZEU-6Y,Mech,1,1
mechdef_zeus_ZEU-X,Mech,1,1
mechdef_bane_1,Mech,1,1
mechdef_bane_2,Mech,1,1
mechdef_bane_3,Mech,1,1
mechdef_bane_4,Mech,1,1
mechdef_bane_CX,Mech,1,1
mechdef_bloodasp_A,Mech,1,1
mechdef_bloodasp_B,Mech,1,1
mechdef_bloodasp_PRIME,Mech,1,1
mechdef_direwolf_DWF-A,Mech,1,1
mechdef_direwolf_DWF-B,Mech,1,1
mechdef_direwolf_DWF-D,Mech,1,1
mechdef_direwolf_DWF-PRIME,Mech,1,1
mechdef_executioner_A,Mech,1,1
mechdef_executioner_B,Mech,1,1
mechdef_executioner_PRIME,Mech,1,1
mechdef_executioner_T,Mech,1,1
mechdef_gargoyle_GAR-A,Mech,1,1
mechdef_gargoyle_GAR-B,Mech,1,1
mechdef_gargoyle_GAR-C,Mech,1,1
mechdef_gargoyle_GAR-E,Mech,1,1
mechdef_gargoyle_GAR-PRIME,Mech,1,1
mechdef_highlander_HGN-IIC-A,Mech,1,1
mechdef_highlander_HGN-IIC-B,Mech,1,1
mechdef_highlander_HGN-IIC-C,Mech,1,1
mechdef_highlander_HGN-IIC,Mech,1,1
mechdef_kodiak_1,Mech,1,1
mechdef_kodiak_3,Mech,1,1
mechdef_kodiak_4,Mech,1,1
mechdef_madcatmkii_1,Mech,1,1
mechdef_madcatmkii_2,Mech,1,1
mechdef_madcatmkii_4,Mech,1,1
mechdef_marauderiic_MAD-IIC-A,Mech,1,1
mechdef_marauderiic_MAD-IIC-S,Mech,1,1
mechdef_marauderiic_MAD-IIC,Mech,1,1
mechdef_osteon_OS-C,Mech,1,1
mechdef_osteon_OS-D,Mech,1,1
mechdef_osteon_OS-PRIME,Mech,1,1
mechdef_stonerhino_STR-1,Mech,1,1
mechdef_stonerhino_STR-2,Mech,1,1
mechdef_stonerhino_STR-3,Mech,1,1
mechdef_stonerhino_STR-4,Mech,1,1
mechdef_stonerhino_STR-5,Mech,1,1
mechdef_stonerhino_STR-6,Mech,1,1
mechdef_supernova_SNV-4,Mech,1,1
mechdef_supernova_SNV-A,Mech,1,1
mechdef_supernova_SNV-BR,Mech,1,1
mechdef_supernova_SNV-C,Mech,1,1
mechdef_turkina_a,Mech,1,1
mechdef_turkina_b,Mech,1,1
mechdef_turkina_prime,Mech,1,1
mechdef_warhammer_WHM-IIC-2,Mech,1,1
mechdef_warhammer_WHM-IIC-3,Mech,1,1
mechdef_warhammer_WHM-IIC-A,Mech,1,1
mechdef_warhammer_WHM-IIC,Mech,1,1
mechdef_warhawk_A,Mech,1,1
mechdef_warhawk_B,Mech,1,1
mechdef_warhawk_C,Mech,1,1
mechdef_warhawk_PRIME,Mech,1,1
mechdef_gigant_SH-GG-O7,Mech,1,1
mechdef_longbowII_SH-LGB-9,Mech,1,1
mechdef_matarII_SAM-RS-MT2,Mech,1,1
mechdef_omega_SHP-X4,Mech,1,1
mechdef_rampart_RPT-1,Mech,1,1
mechdef_svarog_SH-SVG-3A,Mech,1,1
mechdef_terminus_TMS-1,Mech,1,1
mechdef_albatross_ALB-3U,Mech,1,1
mechdef_albatross_ALB-3Ur,Mech,1,1
mechdef_albatross_ALB-4U,Mech,1,1
mechdef_albatross_ALB-4Ur,Mech,1,1
mechdef_annihilator_ANH-1G,Mech,1,1
mechdef_annihilator_ANH-1X,Mech,1,1
mechdef_annihilator_ANH-2A,Mech,1,1
mechdef_annihilator_ANH-5W,Mech,1,1
mechdef_annihilator_ANH-C,Mech,1,1
mechdef_annihilator_ANH-C2,Mech,1,1
mechdef_battlehammer_BHA-1A,Mech,1,1
mechdef_battlehammer_BHA-2D,Mech,1,1
mechdef_battlehammer_BHA-2R,Mech,1,1
mechdef_battlemaster_BLR-3M,Mech,1,1
mechdef_battlemaster_BLR-C,Mech,1,1
mechdef_berserker_BRZ-A3,Mech,1,1
mechdef_berserker_BRZ-B3,Mech,1,1
mechdef_bigfoot_BFT-1G,Mech,1,1
mechdef_bigfoot_BFT-3M,Mech,1,1
mechdef_broadside_BS-1D,Mech,1,1
mechdef_broadside_BS-2D,Mech,1,1
mechdef_broadside_BS-BB,Mech,1,1
mechdef_crockett_CRK-5003-0,Mech,1,1
mechdef_crockett_CRK-5003-1,Mech,1,1
mechdef_crockett_CRK-5003-1b,Mech,1,1
mechdef_cyclopsii_CPII-1-B,Mech,1,1
mechdef_cyclopsii_CPII-2-B,Mech,1,1
mechdef_cyclopsii_CPII-3-B,Mech,1,1
mechdef_cyclopsii_CPII-4-B,Mech,1,1
mechdef_dilletante_DLT-P1,Mech,1,1
mechdef_dilletante_DLT-P2,Mech,1,1
mechdef_diomede_D-M3D-M,Mech,1,1
mechdef_doloire_DLR-O,Mech,1,1
mechdef_doloire_DLR-OB,Mech,1,1
mechdef_doloire_DLR-OE,Mech,1,1
mechdef_emperor_EMP-6D,Mech,1,1
mechdef_fafnir_FNR-5E,Mech,1,1
mechdef_grandtitan_T-IT-N10M,Mech,1,1
mechdef_grandtitan_T-IT-N11M,Mech,1,1
mechdef_gunslinger_GUN-1ERD,Mech,1,1
mechdef_gunslinger_GUN-3ERD,Mech,1,1
mechdef_hatamoto-chii_HTM-27T2,Mech,1,1
mechdef_hatamoto-hi_HTM-27U,Mech,1,1
mechdef_hauptmann_HA1-OA,Mech,1,1
mechdef_hauptmann_HA1-OB,Mech,1,1
mechdef_hwatcha_HWT-LR,Mech,1,1
mechdef_hwatcha_HWT-MR,Mech,1,1
mechdef_hwatcha_HWT-SR,Mech,1,1
mechdef_imp_IMP-1A,Mech,1,1
mechdef_imp_IMP-1B,Mech,1,1
mechdef_imp_IMP-1C,Mech,1,1
mechdef_imp_IMP-C,Mech,1,1
mechdef_juggernaut_JG-R9T1,Mech,1,1
mechdef_juggernaut_JG-R9T2,Mech,1,1
mechdef_juggernaut_JG-R9T3,Mech,1,1
mechdef_juggernaut_JG-R9T4,Mech,1,1
mechdef_kingcrabrauder_KCRD-1A,Mech,1,1
mechdef_kingcrabrauder_KCRD-1B,Mech,1,1
mechdef_kingcrabrauder_KCRD-1C,Mech,1,1
mechdef_kingcrabrauder_KCRD-1D,Mech,1,1
mechdef_mackie_MSK-7A,Mech,1,1
mechdef_mackie_MSK-9H,Mech,1,1
mechdef_mauler_MAL-2D,Mech,1,1
mechdef_mauler_MAL-2R,Mech,1,1
mechdef_mauler_MAL-3K,Mech,1,1
mechdef_naginata_NG-C3A,Mech,1,1
mechdef_naginata_NG-C3Ar,Mech,1,1
mechdef_nightstar_NSR-10D,Mech,1,1
mechdef_olympian_AL1-G8R,Mech,1,1
mechdef_pillager_PLG-1N,Mech,1,1
mechdef_pillager_PLG-3Z,Mech,1,1
mechdef_rampage_RMP-4G,Mech,1,1
mechdef_rampage_RMP-5G,Mech,1,1
mechdef_salamander_PPR-5S,Mech,1,1
mechdef_salamander_PPR-6T,Mech,1,1
mechdef_shogun_SHG-2F,Mech,1,1
mechdef_shogun_SHG-2H,Mech,1,1
mechdef_shogun_SHG-C,Mech,1,1
mechdef_sorcerer_SRC-1A,Mech,1,1
mechdef_sorcerer_SRC-1B,Mech,1,1
mechdef_sorcerer_SRC-1C,Mech,1,1
mechdef_stalker_STK-3Fb,Mech,1,1
mechdef_stalker_STK-3FJAM,Mech,1,1
mechdef_stalker_STK-5S,Mech,1,1
mechdef_striker_STC-2C,Mech,1,1
mechdef_striker_STC-2D,Mech,1,1
mechdef_striker_STC-2S,Mech,1,1
mechdef_sunder_SD1-O,Mech,1,1
mechdef_sunder_SD1-OA,Mech,1,1
mechdef_sunder_SD1-OFCCW,Mech,1,1
mechdef_templar_TLR1-OB,Mech,1,1
mechdef_templar_TLR1-OC,Mech,1,1
mechdef_thug_THG-11Eb,Mech,1,1
mechdef_thug_THG-12E,Mech,1,1
mechdef_thug_THG-13K,Mech,1,1
mechdef_thunderhawk_TDK-7X,Mech,1,1
mechdef_thunderhawk_TDK-7Y,Mech,1,1
mechdef_thunderhawk_TDK-7Z,Mech,1,1
mechdef_thunderstone_TDS-1A,Mech,1,1
mechdef_thunderstone_TDS-2A,Mech,1,1
mechdef_thunderstone_TDS-3C,Mech,1,1
mechdef_titan_TI-1A,Mech,1,1
mechdef_titan_TI-1Aj,Mech,1,1
mechdef_titan_TI-1Ar,Mech,1,1
mechdef_vanquisher_VQR-2A,Mech,1,1
mechdef_vanquisher_VQR-2B,Mech,1,1
mechdef_vanquisher_VQR-7V,Mech,1,1
mechdef_victor_VTR-10S,Mech,1,1
mechdef_viking_VKG-2F,Mech,1,1
mechdef_viking_VKG-2G,Mech,1,1
mechdef_yazata_X-YZT-ETERNATUS,Mech,1,1
mechdef_ymir_BWP-2B,Mech,1,1
mechdef_ymir_BWP-2E,Mech,1,1
mechdef_ymir_BWP-3A,Mech,1,1
mechdef_alpha_ALP-1,Mech,1,1
mechdef_bloodasp_BAS-C,Mech,1,1
mechdef_bloodasp_BAS-D,Mech,1,1
mechdef_bloodasp_BAS-E,Mech,1,1
mechdef_bloodasp_BAS-F,Mech,1,1
mechdef_bruin_BRN-1,Mech,1,1
mechdef_bruin_BRN-2,Mech,1,1
mechdef_canis_CAS-1,Mech,1,1
mechdef_canis_CAS-2,Mech,1,1
mechdef_hammerblow_HBL-1,Mech,1,1
mechdef_highlanderiic_HGN-IIC-2,Mech,1,1
mechdef_hyperion_HYP-A,Mech,1,1
mechdef_hyperion_HYP-B,Mech,1,1
mechdef_hyperion_HYP-C,Mech,1,1
mechdef_hyperion_HYP-PRIME,Mech,1,1
mechdef_ironcheetah_ICH-A,Mech,1,1
mechdef_ironcheetah_ICH-B,Mech,1,1
mechdef_ironcheetah_ICH-C,Mech,1,1
mechdef_ironcheetah_ICH-D,Mech,1,1
mechdef_ironcheetah_ICH-PRIME,Mech,1,1
mechdef_jadephoenix_JDP-A,Mech,1,1
mechdef_jadephoenix_JDP-B,Mech,1,1
mechdef_jadephoenix_JDP-C,Mech,1,1
mechdef_jadephoenix_JDP-Prime,Mech,1,1
mechdef_kingfisher_KFR-PRIME,Mech,1,1
mechdef_kingfisher_KFR-W,Mech,1,1
mechdef_kodiak_KDK-5,Mech,1,1
mechdef_marauderiic_MAD-IIC-2,Mech,1,1
mechdef_marauderiic_MAD-IIC-3,Mech,1,1
mechdef_marauderiic_MAD-IIC-4,Mech,1,1
mechdef_nagaii_NGA-A,Mech,1,1
mechdef_nagaii_NGA-C,Mech,1,1
mechdef_nagaii_NGA-PRIME,Mech,1,1
mechdef_onager_ONG-90,Mech,1,1
mechdef_onager_ONG-92,Mech,1,1
mechdef_scylla_SCL-1,Mech,1,1
mechdef_scylla_SCL-W,Mech,1,1
mechdef_shrike_SRK-1,Mech,1,1
mechdef_shrike_SRK-2,Mech,1,1
mechdef_shrike_SRK-3,Mech,1,1
mechdef_snowflame_SFL-PRIME,Mech,1,1
mechdef_turkina_TKN-C,Mech,1,1
mechdef_turkina_TKN-D,Mech,1,1
mechdef_turkina_TKN-E,Mech,1,1
mechdef_warhammeriic_WHM-IIC-5,Mech,1,1
