itemCollection_fp_eae_lightparts,type,qty,weight
mechdef_javelin_JVN-RF,MechPart,1,1
mechdef_jenner_JR7-A,MechPart,1,1
mechdef_jenner_JR7-F,MechPart,1,1
mechdef_jenner_JR7-IIC-A,MechPart,1,1
mechdef_jenner_JR7-IIC,MechPart,1,1
mechdef_locust_LCT-1D,MechPart,1,1
mechdef_locust_LCT-1L,MechPart,1,1
mechdef_locust_LCT-3V,MechPart,1,1
mechdef_locust_LCT-IIC,MechPart,1,1
mechdef_malak_C-MK-O,MechPart,1,1
mechdef_mongoose_MON-66,MechPart,1,1
mechdef_mongoose_MON-66b,MechPart,1,1
mechdef_osiris_OSR-3D,MechPart,1,1
mechdef_osiris_OSR-4D,MechPart,1,1
mechdef_owens_OW-1,MechPart,1,1
mechdef_panther_PNT-8Z,MechPart,1,1
mechdef_panther_PNT-9ALAG,MechPart,1,1
mechdef_raven_RVN-2X,MechPart,1,1
mechdef_raven_RVN-4X,MechPart,1,1
mechdef_spider_SDR-5D,MechPart,1,1
mechdef_stinger_STG-3G,MechPart,1,1
mechdef_stinger_STG-3Gb,MechPart,1,1
mechdef_stinger_STG-3R,MechPart,1,1
mechdef_stinger_STG-5T,MechPart,1,1
mechdef_toro_TR-A-6,MechPart,1,1
mechdef_trooper_TP-1R,MechPart,1,1
mechdef_urbanmech_UM-R60C,MechPart,1,1
mechdef_urbanmech_UM-R60X,MechPart,1,1
mechdef_urbanmech_UM-RM,MechPart,1,1
mechdef_valiant_V4-LNT-K7,MechPart,1,1
mechdef_valkyrie_VLK-QA,MechPart,1,1
mechdef_wasp_WSP-1A,MechPart,1,1
mechdef_wasp_WSP-1D,MechPart,1,1
mechdef_wasp_WSP-1K,MechPart,1,1
mechdef_wolfhound_WLF-1,MechPart,1,1
mechdef_wolfhound_WLF-1A,MechPart,1,1
mechdef_wolfhound_WLF-2,MechPart,1,1
mechdef_wolfhound_WLF-GRN,MechPart,1,1
mechdef_adder_ADR-A,MechPart,1,1
mechdef_adder_ADR-B,MechPart,1,1
mechdef_adder_ADR-C,MechPart,1,1
mechdef_adder_ADR-D,MechPart,1,1
mechdef_adder_ADR-K,MechPart,1,1
mechdef_adder_ADR-Prime,MechPart,1,1
mechdef_arcticcheetah_A,MechPart,1,1
mechdef_arcticcheetah_B,MechPart,1,1
mechdef_arcticcheetah_C,MechPart,1,1
mechdef_arcticcheetah_PRIME,MechPart,1,1
mechdef_cougar_CGR-A,MechPart,1,1
mechdef_cougar_CGR-B,MechPart,1,1
mechdef_cougar_CGR-C,MechPart,1,1
mechdef_cougar_CGR-D,MechPart,1,1
mechdef_cougar_CGR-Prime,MechPart,1,1
mechdef_firemoth_FM-B,MechPart,1,1
mechdef_firemoth_FM-D,MechPart,1,1
mechdef_firemoth_FM-PRIME,MechPart,1,1
mechdef_incubus_1,MechPart,1,1
mechdef_incubus_2,MechPart,1,1
mechdef_incubus_3,MechPart,1,1
mechdef_kitfox_A,MechPart,1,1
mechdef_kitfox_B,MechPart,1,1
mechdef_kitfox_D,MechPart,1,1
mechdef_kitfox_PRIME,MechPart,1,1
mechdef_mistlynx_MLX-B,MechPart,1,1
mechdef_mistlynx_MLX-C,MechPart,1,1
mechdef_mistlynx_MLX-G,MechPart,1,1
mechdef_mistlynx_MLX-PRIME,MechPart,1,1
mechdef_piranha_PIR-1,MechPart,1,1
mechdef_piranha_PIR-2,MechPart,1,1
mechdef_piranha_PIR-CIPHER,MechPart,1,1
mechdef_blackfalcon_BF-LAM-1,MechPart,1,1
mechdef_firebird_FB-LAM-1,MechPart,1,1
mechdef_saber_SBR-LAM-1,MechPart,1,1
mechdef_stinger_STG-A1,MechPart,1,1
mechdef_wasp_WSP-100B,MechPart,1,1
mechdef_bee_BEE-O,MechPart,1,1
mechdef_bee_BEE-OA,MechPart,1,1
mechdef_bee_BEE-OB,MechPart,1,1
mechdef_bee_BEE-OD,MechPart,1,1
mechdef_bee_BEE-OE,MechPart,1,1
mechdef_cossack_C-1FC,MechPart,1,1
mechdef_cossack_C-SK1,MechPart,1,1
mechdef_cyclone_CYC-A1,MechPart,1,1
mechdef_cyclone_CYC-C1,MechPart,1,1
mechdef_duangung_D9-G10,MechPart,1,1
mechdef_duangung_D9-G9,MechPart,1,1
mechdef_falcon_FLC-4Nb,MechPart,1,1
mechdef_falcon_FLC-4P,MechPart,1,1
mechdef_fer-de-lance_FDL-1,MechPart,1,1
mechdef_fer-de-lance_FDL-2E,MechPart,1,1
mechdef_fer-de-lance_FDL-3U,MechPart,1,1
mechdef_fireball_ALM-10D,MechPart,1,1
mechdef_fireball_ALM-7D,MechPart,1,1
mechdef_fireball_ALM-8D,MechPart,1,1
mechdef_fireball_ALM-9D,MechPart,1,1
mechdef_firefly_FFL-3A,MechPart,1,1
mechdef_firefly_FFL-3SLE,MechPart,1,1
mechdef_firefly_FFL-C,MechPart,1,1
mechdef_hermes_HER-1S,MechPart,1,1
mechdef_hermes_HER-1Sb,MechPart,1,1
mechdef_hermes_HER-4M,MechPart,1,1
mechdef_hermes_HER-4S,MechPart,1,1
mechdef_hornet_HNT-161,MechPart,1,1
mechdef_hornet_HNT-181,MechPart,1,1
mechdef_jackdaw_JCD-2BK,MechPart,1,1
mechdef_jackdaw_JCD-2EK,MechPart,1,1
mechdef_jackdaw_JCD-2RK,MechPart,1,1
mechdef_jackrabbitii_JKR-A,MechPart,1,1
mechdef_jackrabbit_JKR-8T,MechPart,1,1
mechdef_jackrabbit_JKR-9R,MechPart,1,1
mechdef_jennerrattlesnake_JR7-31,MechPart,1,1
mechdef_locust_LCT-1Vb,MechPart,1,1
mechdef_mercury_MCY-99,MechPart,1,1
mechdef_mercury_MCY-99W,MechPart,1,1
mechdef_mongoose_MON-C,MechPart,1,1
mechdef_nighthawk_NTK-2Q,MechPart,1,1
mechdef_nyx_NX-60,MechPart,1,1
mechdef_nyx_NX-65,MechPart,1,1
mechdef_nyx_NX-70,MechPart,1,1
mechdef_owens_OW-1B,MechPart,1,1
mechdef_raptor_RTX1-O,MechPart,1,1
mechdef_raptor_RTX1-OA,MechPart,1,1
mechdef_raptor_RTX1-OB,MechPart,1,1
mechdef_raptor_RTX1-OC,MechPart,1,1
mechdef_razorback_RZK-10S,MechPart,1,1
mechdef_razorback_RZK-10T,MechPart,1,1
mechdef_razorback_RZK-9S,MechPart,1,1
mechdef_razorback_RZK-9T,MechPart,1,1
mechdef_sling_SL-1G,MechPart,1,1
mechdef_sling_SL-1H,MechPart,1,1
mechdef_spector_SPR-4F,MechPart,1,1
mechdef_spector_SPR-5F,MechPart,1,1
mechdef_spider_SDR-7K,MechPart,1,1
mechdef_spider_SDR-9M,MechPart,1,1
mechdef_talon_TLN-5V,MechPart,1,1
mechdef_talon_TLN-5W,MechPart,1,1
mechdef_talon_TLN-6W,MechPart,1,1
mechdef_thorn_THE-N,MechPart,1,1
mechdef_thorn_THE-N1,MechPart,1,1
mechdef_thorn_THE-N2,MechPart,1,1
mechdef_thorn_THE-Nb,MechPart,1,1
mechdef_toro_TR-B-12,MechPart,1,1
mechdef_toro_TR-B-9,MechPart,1,1
mechdef_urbanmechk-9_UM-K9,MechPart,1,1
mechdef_urbanmech_UM-R100,MechPart,1,1
mechdef_urbanmech_UM-R68,MechPart,1,1
mechdef_valkyrie_VLK-C,MechPart,1,1
mechdef_valkyrie_VLK-QD4,MechPart,1,1
mechdef_wight_WGT-1LAW-SC,MechPart,1,1
mechdef_wight_WGT-2LAW,MechPart,1,1
mechdef_wight_WGT-2SC,MechPart,1,1
mechdef_wolfhound_WLF-4W,MechPart,1,1
mechdef_cazador_CZD-1,MechPart,1,1
mechdef_cougar_CGR-XR,MechPart,1,1
mechdef_firefalcon_FF-A,MechPart,1,1
mechdef_firefalcon_FF-C,MechPart,1,1
mechdef_firefalcon_FF-F,MechPart,1,1
mechdef_firefalcon_FF-H,MechPart,1,1
mechdef_firefalcon_FF-PRIME,MechPart,1,1
mechdef_howler_HWL-1,MechPart,1,1
mechdef_howler_HWL-2,MechPart,1,1
mechdef_howler_HWL-5,MechPart,1,1
mechdef_incubus_INC-4,MechPart,1,1
mechdef_incubus_INC-5,MechPart,1,1
mechdef_locust_LCT-IIC-2,MechPart,1,1
mechdef_piranha_PIR-3,MechPart,1,1
mechdef_solitaire_SLT-1,MechPart,1,1
mechdef_tiburon_TBN-1,MechPart,1,1
mechdef_tiburon_TBN-2,MechPart,1,1
