itemCollection_fp_eae_ef_medheavymechs,type,qty,weight
mechdef_valkyrieii_VLK-II-2AX,Mech,1,1
mechdef_vonrohrs_VON-4RH-5X,Mech,1,1
mechdef_vonrohrs_VON-4RH-6X,Mech,1,1
mechdef_whitworth_WTH-1SX,Mech,1,1
mechdef_whitworth_WTH-1X,Mech,1,1
mechdef_wraith_TR-1X,Mech,1,1
mechdef_wyvern_WVE-5NbX,Mech,1,1
mechdef_wyvern_WVE-9NX,Mech,1,1
mechdef_lancelot_LNC25-01-XX,Mech,1,1
mechdef_lancelot_LNC25-01X,Mech,1,1
