itemCollection_fp_eae_ea_medheavyparts,type,qty,weight
mechdef_shadowhawkx_SHD-X2,MechPart,1,1
mechdef_talosx_TLS-X,MechPart,1,1
mechdef_thanatosx_TNS-X,MechPart,1,1
mechdef_thunderboltx_TDR-X,MechPart,1,1
mechdef_uzielx_UZL-X,MechPart,1,1
mechdef_warhammerx_WHM-X,MechPart,1,1
mechdef_wolverinex_WVR-X,MechPart,1,1
mechdef_devax_C-DVA-X1,MechPart,1,1
mechdef_devax_C-DVA-X2,MechPart,1,1
mechdef_devax_C-DVA-X3,MechPart,1,1
mechdef_grigorix_C-GRG-X1,MechPart,1,1
mechdef_grigorix_C-GRG-X2,MechPart,1,1
mechdef_pretax_C-PRT-X1,MechPart,1,1
mechdef_pretax_C-PRT-X2,MechPart,1,1
mechdef_jaguarx_JGR-LAM-X,MechPart,1,1
mechdef_lancerx_LNC-LAM-X,MechPart,1,1
mechdef_phoenixhawkx_PHX-LAM-X,MechPart,1,1
mechdef_shadowhawkx_SHD-LAM-X,MechPart,1,1
mechdef_thunderbirdx_TB-LAM-X,MechPart,1,1
mechdef_wanetax_WN-LAM-X,MechPart,1,1
mechdef_whiteeaglex_WE-LAM-X,MechPart,1,1
mechdef_anvil_ANV-X,MechPart,1,1
mechdef_anvil_ANV-X2,MechPart,1,1
mechdef_apollo_APL-X1,MechPart,1,1
mechdef_apollo_APL-X2,MechPart,1,1
mechdef_argus_AGS-X2,MechPart,1,1
mechdef_assassinii_ASNII-X1,MechPart,1,1
mechdef_assassinii_ASNII-X2,MechPart,1,1
mechdef_assassin_ASN-X1,MechPart,1,1
mechdef_assassin_ASN-X2,MechPart,1,1
mechdef_avatar_AV1-X,MechPart,1,1
mechdef_avatar_AV1-X2,MechPart,1,1
mechdef_avatar_AV1-X3,MechPart,1,1
mechdef_axman_AXM-X2,MechPart,1,1
mechdef_balar_BA1-X1,MechPart,1,1
mechdef_balar_BA1-X2,MechPart,1,1
mechdef_battleaxe_BKX-X,MechPart,1,1
mechdef_battleaxe_BKX-X2,MechPart,1,1
mechdef_bellerophon_BEL-X,MechPart,1,1
mechdef_blackheart_BH-X1,MechPart,1,1
mechdef_blackjack_BJ-X1,MechPart,1,1
mechdef_blackjack_BJ-X2,MechPart,1,1
mechdef_blackknight_BL-10-KNT-X2,MechPart,1,1
mechdef_blitzkrieg_BTZ-X,MechPart,1,1
mechdef_bombardier_BMB-X,MechPart,1,1
mechdef_bombard_BMB-X1,MechPart,1,1
mechdef_bombard_BMB-X2,MechPart,1,1
mechdef_bombard_BMB-X3,MechPart,1,1
mechdef_bushwackerx_BWSX-X2,MechPart,1,1
mechdef_caesar_CES-X,MechPart,1,1
mechdef_caesar_CES-X2,MechPart,1,1
mechdef_carronade_CRN-X,MechPart,1,1
mechdef_cataphract_CTF-X,MechPart,1,1
mechdef_cataphract_CTF-X2,MechPart,1,1
mechdef_catapult_CPLT-X1,MechPart,1,1
mechdef_catapult_CPLT-X2,MechPart,1,1
mechdef_centurion_CN9-X,MechPart,1,1
mechdef_centurion_CN9-X2,MechPart,1,1
mechdef_chameleon_CLN-X,MechPart,1,1
mechdef_chameleon_CLN-X2,MechPart,1,1
mechdef_champion_CHP-X,MechPart,1,1
mechdef_champion_CHP-X2,MechPart,1,1
mechdef_champion_CHP-X3,MechPart,1,1
mechdef_chimera_CMA-X,MechPart,1,1
mechdef_cicada_CDA-X2,MechPart,1,1
mechdef_clint_CLNT-X,MechPart,1,1
mechdef_clint_CLNT-X2,MechPart,1,1
mechdef_crab_CRB-X3,MechPart,1,1
mechdef_daikyu_DAI-X1,MechPart,1,1
mechdef_daikyu_DAI-X2,MechPart,1,1
mechdef_dervish_DV-X2,MechPart,1,1
mechdef_dervish_DV-X3,MechPart,1,1
mechdef_dragonfire_DGR-X1,MechPart,1,1
mechdef_dragonfire_DGR-X2,MechPart,1,1
mechdef_dragonfire_DGR-X3,MechPart,1,1
mechdef_dragon_DRG-X,MechPart,1,1
mechdef_enfield_END-X,MechPart,1,1
mechdef_enfield_END-X2,MechPart,1,1
mechdef_enforcer_ENF-X,MechPart,1,1
mechdef_enforcer_ENF-X2,MechPart,1,1
mechdef_eris_ERS-X,MechPart,1,1
mechdef_excalibur_EXC-X,MechPart,1,1
mechdef_excalibur_EXC-X2,MechPart,1,1
mechdef_excalibur_EXC-X3,MechPart,1,1
mechdef_exterminator_EXT-4D-X,MechPart,1,1
mechdef_exterminator_EXT-X,MechPart,1,1
mechdef_gladiator_GLD-X1,MechPart,1,1
mechdef_gladiator_GLD-X2,MechPart,1,1
mechdef_granddragon_DRG-X,MechPart,1,1
mechdef_grasshopper_GHR-X,MechPart,1,1
mechdef_grasshopper_GHR-X2,MechPart,1,1
mechdef_guillotine_GLT-X,MechPart,1,1
mechdef_guillotine_GLT-X2,MechPart,1,1
mechdef_hammerhands_HMH-X1,MechPart,1,1
mechdef_hammerhands_HMH-X2,MechPart,1,1
mechdef_hatchetman_HCT-X2,MechPart,1,1
mechdef_hector_HOR-X,MechPart,1,1
mechdef_hector_HOR-X2,MechPart,1,1
mechdef_helios_HEL-X,MechPart,1,1
mechdef_helios_HEL-X2,MechPart,1,1
mechdef_hellspawn_HSN-X2,MechPart,1,1
mechdef_hellspawn_HSN-X3,MechPart,1,1
mechdef_hoplite_HOP-X,MechPart,1,1
mechdef_hoplite_HOP-X2,MechPart,1,1
mechdef_huronwarrior_HUR-WO-X2,MechPart,1,1
mechdef_icarusii_ICR-X,MechPart,1,1
mechdef_icarusii_ICR-X2,MechPart,1,1
mechdef_ion_ION-X1,MechPart,1,1
mechdef_ion_ION-X2,MechPart,1,1
mechdef_ion_ION-X3,MechPart,1,1
mechdef_jagermech_JM6-B-X,MechPart,1,1
mechdef_jagermech_JM6-DD-X,MechPart,1,1
mechdef_jinggau_JN-X,MechPart,1,1
mechdef_jinggau_JN-X2,MechPart,1,1
mechdef_jinggau_JN-X3,MechPart,1,1
mechdef_kintaro_KTO-X,MechPart,1,1
mechdef_kintaro_KTO-X2,MechPart,1,1
mechdef_komodo_KIM-X,MechPart,1,1
mechdef_komodo_KIM-X2,MechPart,1,1
mechdef_koschei_KSC-X1,MechPart,1,1
mechdef_koschei_KSC-X2,MechPart,1,1
mechdef_kyudo_KY2-D-X,MechPart,1,1
mechdef_kyudo_KY2-D-X2,MechPart,1,1
mechdef_lament_LMT-X,MechPart,1,1
mechdef_lament_LMT-X2,MechPart,1,1
mechdef_laohu_LHU-X2,MechPart,1,1
mechdef_liberty_LBT-X1,MechPart,1,1
mechdef_liberty_LBT-X2,MechPart,1,1
mechdef_lynx_LNX-X1,MechPart,1,1
mechdef_lynx_LNX-X2,MechPart,1,1
mechdef_mackenzie_MK-X,MechPart,1,1
mechdef_merlin_MLN-X1,MechPart,1,1
mechdef_merlin_MLN-X2,MechPart,1,1
mechdef_mushu_MHU-X1,MechPart,1,1
mechdef_mushu_MHU-X2,MechPart,1,1
mechdef_orion_ON1-X1,MechPart,1,1
mechdef_orion_ON2-X2,MechPart,1,1
mechdef_osprey_OSP-X,MechPart,1,1
mechdef_osprey_OSP-X2,MechPart,1,1
mechdef_ostroc_OSR-X,MechPart,1,1
mechdef_ostroc_OSR-X2,MechPart,1,1
mechdef_ostsol_OTL-X,MechPart,1,1
mechdef_ostsol_OTL-X2,MechPart,1,1
mechdef_ostwar_OWR-X2,MechPart,1,1
mechdef_penetrator_PTR-X1,MechPart,1,1
mechdef_penetrator_PTR-X2,MechPart,1,1
mechdef_phoenixhawk_PXH-X2,MechPart,1,1
mechdef_phoenixhawk_PXH-X3,MechPart,1,1
mechdef_princecrab_PRC-X1,MechPart,1,1
mechdef_princecrab_PRC-X2,MechPart,1,1
mechdef_princecrab_PRC-X3,MechPart,1,1
mechdef_quickdraw_QKD-X1,MechPart,1,1
mechdef_quickdraw_QKD-X2,MechPart,1,1
mechdef_rakshasa_MDG-X1,MechPart,1,1
mechdef_rakshasa_MDG-X2,MechPart,1,1
mechdef_rifleman_RFL-X2,MechPart,1,1
mechdef_roughneck_RGH-X1,MechPart,1,1
mechdef_roughneck_RGH-X2,MechPart,1,1
mechdef_roughneck_RGH-X3,MechPart,1,1
mechdef_sentinel_STN-X,MechPart,1,1
mechdef_sentinel_STN-X2,MechPart,1,1
mechdef_shayu_SYU-X,MechPart,1,1
mechdef_shayu_SYU-X2,MechPart,1,1
mechdef_shootist_ST-X,MechPart,1,1
mechdef_shootist_ST-X2,MechPart,1,1
mechdef_starslayer_STY-X1,MechPart,1,1
mechdef_starslayer_STY-X2,MechPart,1,1
mechdef_strider_SR1-X,MechPart,1,1
mechdef_strider_SR1-X2,MechPart,1,1
mechdef_strider_SR1-X3,MechPart,1,1
mechdef_swordsman_SWD-X,MechPart,1,1
mechdef_thanatos_TNS-X2,MechPart,1,1
mechdef_thunderbolt_TDR-X2,MechPart,1,1
mechdef_thunder_THR-X1,MechPart,1,1
mechdef_thunder_THR-X2,MechPart,1,1
mechdef_tolson_TOL-X1,MechPart,1,1
mechdef_tolson_TOL-X2,MechPart,1,1
mechdef_tomahawk_THK-X1,MechPart,1,1
mechdef_tomahawk_THK-X2,MechPart,1,1
mechdef_toyama_TYM-X,MechPart,1,1
mechdef_toyama_TYM-X2,MechPart,1,1
mechdef_toyama_TYM-X3,MechPart,1,1
mechdef_trebuchet_TBT-X,MechPart,1,1
mechdef_trebuchet_TBT-X2,MechPart,1,1
mechdef_trebuchet_TBT-X3,MechPart,1,1
mechdef_uziel_UZL-X2,MechPart,1,1
mechdef_uziel_UZL-X3,MechPart,1,1
mechdef_valkyrieii_VLK-II-1A-X,MechPart,1,1
mechdef_valkyrieii_VLK-II-2A-X,MechPart,1,1
mechdef_vindicator_VND-X,MechPart,1,1
mechdef_vindicator_VND-X2,MechPart,1,1
mechdef_vulcan_VL-X,MechPart,1,1
mechdef_vulcan_VL-X2,MechPart,1,1
mechdef_warhammer_WHM-X2,MechPart,1,1
mechdef_warhammer_WHM-X3,MechPart,1,1
mechdef_wolverine_WVR-X2,MechPart,1,1
mechdef_wraith_TR-X,MechPart,1,1
mechdef_wraith_TR-X2,MechPart,1,1
mechdef_wyvern_WVE-X,MechPart,1,1
mechdef_wyvern_WVE-X2,MechPart,1,1
mechdef_yeoman_YMN-X,MechPart,1,1
mechdef_arcticwolf_ACW-X1,MechPart,1,1
mechdef_arcticwolf_ACW-X2,MechPart,1,1
mechdef_arcticwolf_ACW-X3,MechPart,1,1
mechdef_blacklanner_BKL-X2,MechPart,1,1
mechdef_blackpython_BP-X,MechPart,1,1
mechdef_blackpython_BP-X2,MechPart,1,1
mechdef_bowman_BWM-X1,MechPart,1,1
mechdef_bowman_BWM-X2,MechPart,1,1
mechdef_conjurer_WVR-IIC-X1,MechPart,1,1
mechdef_conjurer_WVR-IIC-X2,MechPart,1,1
mechdef_darkcrow_DCR-X,MechPart,1,1
mechdef_ebonjaguar_EBJ-X2,MechPart,1,1
mechdef_ebonjaguar_EBJ-X3,MechPart,1,1
mechdef_fox_FX-X,MechPart,1,1
mechdef_glassspider_GS-X1,MechPart,1,1
mechdef_glassspider_GS-X2,MechPart,1,1
mechdef_glassspider_GS-X3,MechPart,1,1
mechdef_grendel_GDL-X1,MechPart,1,1
mechdef_grendel_GDL-X2,MechPart,1,1
mechdef_grizzly_GRZ-X1,MechPart,1,1
mechdef_grizzly_GRZ-X2,MechPart,1,1
mechdef_hellbringer_HBR-X3,MechPart,1,1
mechdef_hellfire_HLF-X3,MechPart,1,1
mechdef_hellfire_HLF-X4,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-X,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-X2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-X3,MechPart,1,1
mechdef_huntsman_HMN-X2,MechPart,1,1
mechdef_iceferret_IFR-X,MechPart,1,1
mechdef_iceferret_IFR-X2,MechPart,1,1
mechdef_lancelot_LNC25-C-X,MechPart,1,1
mechdef_lancelot_LNC25-C2-X2,MechPart,1,1
mechdef_lancelot_LNC25-X,MechPart,1,1
mechdef_lancelot_LNC25-X2,MechPart,1,1
mechdef_linebacker_LBK-X1,MechPart,1,1
mechdef_linebacker_LBK-X2,MechPart,1,1
mechdef_linebacker_LBK-X3,MechPart,1,1
mechdef_lupus_LUPUS-X1,MechPart,1,1
mechdef_lupus_LUPUS-X2,MechPart,1,1
mechdef_maddog_MDG-X3,MechPart,1,1
mechdef_mercuryii_MCY-100X,MechPart,1,1
mechdef_mercuryii_MCY-110X,MechPart,1,1
mechdef_minsk_MNK-101-X,MechPart,1,1
mechdef_minsk_MNK-102-X,MechPart,1,1
mechdef_minsk_MNK-103-X,MechPart,1,1
mechdef_naja_NJA-X,MechPart,1,1
mechdef_naja_NJA-X2,MechPart,1,1
mechdef_nightgyr_NTG-X2,MechPart,1,1
mechdef_nightgyr_NTG-X3,MechPart,1,1
mechdef_novacat_NCT-X1,MechPart,1,1
mechdef_novacat_NCT-X2,MechPart,1,1
mechdef_novacat_NCT-X3,MechPart,1,1
mechdef_orioniic_ON1-IIC-X2,MechPart,1,1
mechdef_phantom_PHN-X1,MechPart,1,1
mechdef_phantom_PHN-X2,MechPart,1,1
mechdef_phantom_PHN-X3,MechPart,1,1
mechdef_riflemaniic_RFL-IIC-X,MechPart,1,1
mechdef_septicemia_PRI-X2,MechPart,1,1
mechdef_septicemia_PRI-X3,MechPart,1,1
mechdef_shadowcat_SHC-X2,MechPart,1,1
mechdef_shadowcat_SHC-X3,MechPart,1,1
mechdef_sidewinder_SDW-X,MechPart,1,1
mechdef_stag_ST-X1,MechPart,1,1
mechdef_stag_ST-X2,MechPart,1,1
mechdef_stag_ST-X3,MechPart,1,1
mechdef_vaporeagle_VGL-X2,MechPart,1,1
mechdef_visionquest_VQ-X1,MechPart,1,1
mechdef_visionquest_VQ-X2,MechPart,1,1
mechdef_woodsman_WDM-WX,MechPart,1,1
mechdef_woodsman_WDM-X,MechPart,1,1
mechdef_woodsman_WDM-X2,MechPart,1,1
mechdef_woodsman_WDM-X3,MechPart,1,1
