itemCollection_fp_eae_eas_heavymechs,type,qty,weight
mechdef_helios_HEL-S2,Mech,1,1
mechdef_ion_ION-S1,Mech,1,1
mechdef_ion_ION-S2,Mech,1,1
mechdef_ion_ION-S3,Mech,1,1
mechdef_jagermech_JM6-B-S,Mech,1,1
mechdef_jagermech_JM6-DD-S,Mech,1,1
mechdef_jinggau_JN-S,Mech,1,1
mechdef_jinggau_JN-S2,Mech,1,1
mechdef_jinggau_JN-S3,Mech,1,1
mechdef_koschei_KSC-S1,Mech,1,1
mechdef_koschei_KSC-S2,Mech,1,1
mechdef_lament_LMT-S,Mech,1,1
mechdef_lament_LMT-S2,Mech,1,1
mechdef_laohu_LHU-S2,Mech,1,1
mechdef_liberty_LBT-S1,Mech,1,1
mechdef_liberty_LBT-S2,Mech,1,1
mechdef_mackenzie_MK-S,Mech,1,1
mechdef_merlin_MLN-S1,Mech,1,1
mechdef_merlin_MLN-S2,Mech,1,1
mechdef_orion_ON1-S1,Mech,1,1
mechdef_orion_ON2-S2,Mech,1,1
mechdef_ostroc_OSR-S,Mech,1,1
mechdef_ostroc_OSR-S2,Mech,1,1
mechdef_ostsol_OTL-S,Mech,1,1
mechdef_ostsol_OTL-S2,Mech,1,1
mechdef_ostwar_OWR-S2,Mech,1,1
mechdef_penetrator_PTR-S1,Mech,1,1
mechdef_penetrator_PTR-S2,Mech,1,1
mechdef_princecrab_PRC-S1,Mech,1,1
mechdef_princecrab_PRC-S2,Mech,1,1
mechdef_princecrab_PRC-S3,Mech,1,1
mechdef_quickdraw_QKD-S1,Mech,1,1
mechdef_quickdraw_QKD-S2,Mech,1,1
mechdef_rakshasa_MDG-S1,Mech,1,1
mechdef_rakshasa_MDG-S2,Mech,1,1
mechdef_rifleman_RFL-S2,Mech,1,1
mechdef_roughneck_RGH-S1,Mech,1,1
mechdef_roughneck_RGH-S2,Mech,1,1
mechdef_roughneck_RGH-S3,Mech,1,1
mechdef_shootist_ST-S,Mech,1,1
mechdef_shootist_ST-S2,Mech,1,1
mechdef_thanatos_TNS-S2,Mech,1,1
mechdef_thunderbolt_TDR-S2,Mech,1,1
mechdef_thunder_THR-S1,Mech,1,1
mechdef_thunder_THR-S2,Mech,1,1
mechdef_tolson_TOL-S1,Mech,1,1
mechdef_tolson_TOL-S2,Mech,1,1
mechdef_tomahawk_THK-S1,Mech,1,1
mechdef_tomahawk_THK-S2,Mech,1,1
mechdef_toyama_TYM-S,Mech,1,1
mechdef_toyama_TYM-S2,Mech,1,1
mechdef_toyama_TYM-S3,Mech,1,1
mechdef_valkyrieii_VLK-II-1A-S,Mech,1,1
mechdef_valkyrieii_VLK-II-2A-S,Mech,1,1
mechdef_vonrohrs_VON-4RH-S,Mech,1,1
mechdef_vonrohrs_VON-4RH-S2,Mech,1,1
mechdef_warhammer_WHM-S2,Mech,1,1
mechdef_warhammer_WHM-S3,Mech,1,1
mechdef_yeoman_YMN-S,Mech,1,1
mechdef_blackpython_BP-S,Mech,1,1
mechdef_blackpython_BP-S2,Mech,1,1
mechdef_bowman_BWM-S1,Mech,1,1
mechdef_bowman_BWM-S2,Mech,1,1
mechdef_ebonjaguar_EBJ-S2,Mech,1,1
mechdef_ebonjaguar_EBJ-S3,Mech,1,1
mechdef_flamberge_FMB-S1,Mech,1,1
mechdef_flamberge_FMB-S2,Mech,1,1
mechdef_flamberge_FMB-S3,Mech,1,1
mechdef_glassspider_GS-S1,Mech,1,1
mechdef_glassspider_GS-S2,Mech,1,1
mechdef_glassspider_GS-S3,Mech,1,1
mechdef_grizzly_GRZ-S1,Mech,1,1
mechdef_grizzly_GRZ-S2,Mech,1,1
mechdef_hellbringer_HBR-S3,Mech,1,1
mechdef_hellfire_HLF-S3,Mech,1,1
mechdef_hellfire_HLF-S4,Mech,1,1
mechdef_lancelot_LNC25-C-S,Mech,1,1
mechdef_lancelot_LNC25-C2-S2,Mech,1,1
mechdef_lancelot_LNC25-S,Mech,1,1
mechdef_lancelot_LNC25-S2,Mech,1,1
mechdef_linebacker_LBK-S1,Mech,1,1
mechdef_linebacker_LBK-S2,Mech,1,1
mechdef_linebacker_LBK-S3,Mech,1,1
mechdef_lupus_LUPUS-S1,Mech,1,1
mechdef_lupus_LUPUS-S2,Mech,1,1
mechdef_maddog_MDG-S3,Mech,1,1
mechdef_minsk_MNK-101-S,Mech,1,1
mechdef_minsk_MNK-102-S,Mech,1,1
mechdef_minsk_MNK-103-S,Mech,1,1
mechdef_nightgyr_NTG-S2,Mech,1,1
mechdef_nightgyr_NTG-S3,Mech,1,1
mechdef_novacat_NCT-S1,Mech,1,1
mechdef_novacat_NCT-S2,Mech,1,1
mechdef_novacat_NCT-S3,Mech,1,1
mechdef_orioniic_ON1-IIC-S2,Mech,1,1
mechdef_riflemaniic_RFL-IIC-S,Mech,1,1
mechdef_sidewinder_SDW-S,Mech,1,1
mechdef_visionquest_VQ-S1,Mech,1,1
mechdef_visionquest_VQ-S2,Mech,1,1
mechdef_woodsman_WDM-S,Mech,1,1
mechdef_woodsman_WDM-S2,Mech,1,1
mechdef_woodsman_WDM-S3,Mech,1,1
mechdef_woodsman_WDM-WS,Mech,1,1
