itemCollection_fp_eae_eas_asltsupermechs,type,qty,weight
mechdef_grandtitan_T-IT-S1,Mech,1,1
mechdef_grandtitan_T-IT-S2,Mech,1,1
mechdef_gunslinger_GUN-S1,Mech,1,1
mechdef_gunslinger_GUN-S2,Mech,1,1
mechdef_hatamoto-chii_HTM-S2,Mech,1,1
mechdef_hatamoto-hi_HTM-S3,Mech,1,1
mechdef_hauptmann_HA1-S,Mech,1,1
mechdef_hauptmann_HA1-S2,Mech,1,1
mechdef_highlander_HGN-S,Mech,1,1
mechdef_highlander_HGN-S2,Mech,1,1
mechdef_hwatcha_HWT-LR-S,Mech,1,1
mechdef_hwatcha_HWT-MR-S,Mech,1,1
mechdef_hwatcha_HWT-SR-S,Mech,1,1
mechdef_imp_IMP-S,Mech,1,1
mechdef_imp_IMP-S2,Mech,1,1
mechdef_imp_IMP-S3,Mech,1,1
mechdef_juggernaut_JG-S,Mech,1,1
mechdef_juggernaut_JG-S2,Mech,1,1
mechdef_kingcrabrauder_KCRD-S1,Mech,1,1
mechdef_kingcrabrauder_KCRD-S2,Mech,1,1
mechdef_kingcrab_KGC-S2,Mech,1,1
mechdef_mackie-S,Mech,1,1
mechdef_mackie_MSK-S2,Mech,1,1
mechdef_mackie_MSK-S3,Mech,1,1
mechdef_mauler_MAL-S2,Mech,1,1
mechdef_mauler_MAL-S3,Mech,1,1
mechdef_naginata_NG-S,Mech,1,1
mechdef_naginata_NG-S2,Mech,1,1
mechdef_nightstar_NSR-S,Mech,1,1
mechdef_nightstar_NSR-S2,Mech,1,1
mechdef_olympian_AL1-G8R-S,Mech,1,1
mechdef_pillager_PLG-S,Mech,1,1
mechdef_pillager_PLG-S2,Mech,1,1
mechdef_rampage_RMP-S1,Mech,1,1
mechdef_rampage_RMP-S2,Mech,1,1
mechdef_salamander_PPR-S1,Mech,1,1
mechdef_salamander_PPR-S2,Mech,1,1
mechdef_shogun_SHG-S1,Mech,1,1
mechdef_shogun_SHG-S2,Mech,1,1
mechdef_sorcerer_SRC-S1,Mech,1,1
mechdef_sorcerer_SRC-S2,Mech,1,1
mechdef_sorcerer_SRC-S3,Mech,1,1
mechdef_stalker_STK-S,Mech,1,1
mechdef_stalker_STK-S2,Mech,1,1
mechdef_stalker_STK-S3,Mech,1,1
mechdef_striker_STC-S,Mech,1,1
mechdef_striker_STC-S2,Mech,1,1
mechdef_sunder_SD1-S1,Mech,1,1
mechdef_sunder_SD1-S2,Mech,1,1
mechdef_templar_TLR1-S,Mech,1,1
mechdef_templar_TLR1-S2,Mech,1,1
mechdef_templar_TLR1-S3,Mech,1,1
mechdef_thug_THG-S,Mech,1,1
mechdef_thug_THG-S2,Mech,1,1
mechdef_thug_THG-S3,Mech,1,1
mechdef_thunderhawk_TDK-S,Mech,1,1
mechdef_thunderhawk_TDK-S2,Mech,1,1
mechdef_thunderhawk_TDK-S3,Mech,1,1
mechdef_thunderstone_TDS-S1,Mech,1,1
mechdef_thunderstone_TDS-S2,Mech,1,1
mechdef_thunderstone_TDS-S3,Mech,1,1
mechdef_titanii_TI-S,Mech,1,1
mechdef_titan_TI-S1,Mech,1,1
mechdef_titan_TI-S2,Mech,1,1
mechdef_vanquisher_VQR-S,Mech,1,1
mechdef_vanquisher_VQR-S2,Mech,1,1
mechdef_vanquisher_VQR-S3,Mech,1,1
mechdef_victor_VTR-S,Mech,1,1
mechdef_victor_VTR-S2,Mech,1,1
mechdef_viking_VKG-S1,Mech,1,1
mechdef_viking_VKG-S2,Mech,1,1
mechdef_yazata_X-YZT-S,Mech,1,1
mechdef_ymir_BWP-S,Mech,1,1
mechdef_ymir_BWP-S2,Mech,1,1
mechdef_alpha_ALP-S,Mech,1,1
mechdef_bane_BAN-S2,Mech,1,1
mechdef_bane_BAN-S3,Mech,1,1
mechdef_bloodasp_BAS-S2,Mech,1,1
mechdef_bloodasp_BAS-S3,Mech,1,1
mechdef_bloodasp_BAS-S4,Mech,1,1
mechdef_bruin_BRN-S1,Mech,1,1
mechdef_bruin_BRN-S2,Mech,1,1
mechdef_canis_CAS-S1,Mech,1,1
mechdef_canis_CAS-S2,Mech,1,1
mechdef_direwolfs_DWF-S3,Mech,1,1
mechdef_executioner_EXE-S2,Mech,1,1
mechdef_gargoyle_GAR-S2,Mech,1,1
mechdef_hammerblow_HBL-S,Mech,1,1
mechdef_highlanderiic_HGN-IIC-2-S,Mech,1,1
mechdef_hyperion_HYP-S,Mech,1,1
mechdef_ironcheetah_ICH-S1,Mech,1,1
mechdef_ironcheetah_ICH-S2,Mech,1,1
mechdef_jadephoenix_JDP-S1,Mech,1,1
mechdef_jadephoenix_JDP-S2,Mech,1,1
mechdef_kingfisher_KFR-S,Mech,1,1
mechdef_kingfisher_KFR-WS,Mech,1,1
mechdef_kodiak_KDK-S2,Mech,1,1
mechdef_madcatmkii_MCII-S2,Mech,1,1
mechdef_marauderiic_MAD-IIC-S2,Mech,1,1
mechdef_marauderiic_MAD-IIC-S3,Mech,1,1
mechdef_nagaii_NGA-S1,Mech,1,1
mechdef_nagaii_NGA-S2,Mech,1,1
mechdef_onager_ONG-S1,Mech,1,1
mechdef_onager_ONG-S2,Mech,1,1
mechdef_scylla_SCL-S,Mech,1,1
mechdef_scylla_SCL-WS,Mech,1,1
mechdef_shrike_SRK-S1,Mech,1,1
mechdef_shrike_SRK-S2,Mech,1,1
mechdef_snowflame_SFL-S,Mech,1,1
mechdef_stonerhino_STR-S2,Mech,1,1
mechdef_stonerhino_STR-S3,Mech,1,1
mechdef_turkina_TKN-S2,Mech,1,1
mechdef_turkina_TKN-S3,Mech,1,1
mechdef_warhammeriic_WHM-IIC-S2,Mech,1,1
mechdef_warhawk_WHK-S2,Mech,1,1
