itemCollection_fp_eae_medheavymechs,type,qty,weight
mechdef_catapult_CPLT-A1,Mech,1,1
mechdef_catapult_CPLT-COL,Mech,1,1
mechdef_catapult_CPLT-COL2,Mech,1,1
mechdef_centurion_CN9-AH,Mech,1,1
mechdef_champion_CHP-1N2,Mech,1,1
mechdef_champion_CHP-1Nb,Mech,1,1
mechdef_champion_CHP-2N,Mech,1,1
mechdef_charger_CGR-PB,Mech,1,1
mechdef_cicada_CDA-2B,Mech,1,1
mechdef_clint_CLNT-1-2R,Mech,1,1
mechdef_clint_CLNT-2-3T,Mech,1,1
mechdef_crab_CRB-20,Mech,1,1
mechdef_crusader_CRD-2R,Mech,1,1
mechdef_crusader_CRD-3R,Mech,1,1
mechdef_crusader_CRD-7M,Mech,1,1
mechdef_dervish_DV-6M,Mech,1,1
mechdef_dervish_DV-7D,Mech,1,1
mechdef_deva_C-DVA-OA,Mech,1,1
mechdef_deva_C-DVA-OB,Mech,1,1
mechdef_deva_C-DVA-OS,Mech,1,1
mechdef_dragon_DRG-1C,Mech,1,1
mechdef_enforcer_ENF-3R,Mech,1,1
mechdef_grasshopper_GHR-4R,Mech,1,1
mechdef_grasshopper_GHR-5N,Mech,1,1
mechdef_griffin_GRF-3M,Mech,1,1
mechdef_grigori_C-GRG-O,Mech,1,1
mechdef_grigori_C-GRG-OS,Mech,1,1
mechdef_hatchetman_HCT-3G,Mech,1,1
mechdef_hatchetman_HCT-3K,Mech,1,1
mechdef_hatchetman_HCT-3NH,Mech,1,1
mechdef_helepolis_HEP-2H,Mech,1,1
mechdef_hellspawn_HSN-7D,Mech,1,1
mechdef_hellspawn_HSN-8E,Mech,1,1
mechdef_hunchback_HBK-4H,Mech,1,1
mechdef_hunchback_HBK-4J,Mech,1,1
mechdef_hunchback_HBK-4N,Mech,1,1
mechdef_hunchback_HBK-4SP,Mech,1,1
mechdef_huronw_HUR-WO-R4L,Mech,1,1
mechdef_huronw_HUR-WO-R4N,Mech,1,1
mechdef_huronw_HUR-WO-R4X,Mech,1,1
mechdef_icarusii_ICR-1S,Mech,1,1
mechdef_jagermech_JM6-B,Mech,1,1
mechdef_kintaro_KTO-20,Mech,1,1
mechdef_lament_LMT-2R,Mech,1,1
mechdef_lament_LMT-4RC,Mech,1,1
mechdef_laohu_LHU-2B,Mech,1,1
mechdef_laohu_LHU-3C,Mech,1,1
mechdef_marauder_MAD-3L,Mech,1,1
mechdef_marauder_MAD-3M-DC,Mech,1,1
mechdef_marauder_MAD-3M,Mech,1,1
mechdef_marauder_MAD-4X,Mech,1,1
mechdef_merlin_MLN-1A,Mech,1,1
mechdef_orion_ON1-V-DC,Mech,1,1
mechdef_orion_ON1-VA,Mech,1,1
mechdef_osprey_OSP-15,Mech,1,1
mechdef_ostroc_OSR-2C,Mech,1,1
mechdef_ostroc_OSR-2M,Mech,1,1
mechdef_ostroc_OSR-3C,Mech,1,1
mechdef_ostsol_OTL-4D,Mech,1,1
mechdef_ostsol_OTL-4F,Mech,1,1
mechdef_ostsol_OTL-5M,Mech,1,1
mechdef_ostsol_OTL-8E,Mech,1,1
mechdef_ostwar_OWR-2MB,Mech,1,1
mechdef_phoenixhawk_PXH-1D,Mech,1,1
mechdef_phoenixhawk_PXH-9,Mech,1,1
mechdef_preta_C-PRT-OA_dominus,Mech,1,1
mechdef_preta_C-PRT-O_invictus,Mech,1,1
mechdef_quickdraw_QKD-4H,Mech,1,1
mechdef_redreaper_BL-X-KNT,Mech,1,1
mechdef_rifleman_RFL-3M,Mech,1,1
mechdef_roughneck_RGH-1A,Mech,1,1
mechdef_roughneck_RGH-3A,Mech,1,1
mechdef_shadowhawk_SHD-2K,Mech,1,1
mechdef_shadowhawk_SHD-3H,Mech,1,1
mechdef_shadowhawk_SHD-3K,Mech,1,1
mechdef_shadowhawk_SHD-5M,Mech,1,1
mechdef_stalker_STK-4P,Mech,1,1
mechdef_strider_SR1-0,Mech,1,1
mechdef_talos_TLS-1B,Mech,1,1
mechdef_thanatos_TNS-4S,Mech,1,1
mechdef_thanatos_TNS-4T,Mech,1,1
mechdef_thunderbolt_TDR-5D,Mech,1,1
mechdef_trebuchet_TBT-5J,Mech,1,1
mechdef_trebuchet_TBT-5S,Mech,1,1
mechdef_uziel_UZL-2S,Mech,1,1
mechdef_uziel_UZL-3S,Mech,1,1
mechdef_valkyrieii_VLK-II-1A,Mech,1,1
mechdef_valkyrieii_VLK-II-2A,Mech,1,1
mechdef_vindicator_VND-1SIC,Mech,1,1
mechdef_vindicator_VND-1X,Mech,1,1
mechdef_vulcan_VT-BL,Mech,1,1
mechdef_warhammer_WHM-6K,Mech,1,1
mechdef_warhammer_WHM-6L-DC,Mech,1,1
mechdef_warhammer_WHM-6L,Mech,1,1
mechdef_warhammer_WHM-6R-DC,Mech,1,1
mechdef_wolverine_WVR-5M,Mech,1,1
mechdef_wolverine_WVR-6D,Mech,1,1
mechdef_wolverine_WVR-6M,Mech,1,1
mechdef_wolverine_WVR-6T,Mech,1,1
mechdef_wolverine_WVR-7K,Mech,1,1
mechdef_yeoman_YMN-10-OR,Mech,1,1
mechdef_yeoman_YMN-6Y,Mech,1,1
mechdef_arcticwolf_ACW-1,Mech,1,1
mechdef_arcticwolf_ACW-BK,Mech,1,1
mechdef_arcticwolf_ACW-P,Mech,1,1
mechdef_blacklanner_BKL-A,Mech,1,1
mechdef_blacklanner_BKL-C,Mech,1,1
mechdef_blacklanner_BKL-D,Mech,1,1
mechdef_blacklanner_BKL-G,Mech,1,1
mechdef_blacklanner_BKL-PRIME,Mech,1,1
mechdef_black_python_BP-2,Mech,1,1
mechdef_black_python_BP-3,Mech,1,1
mechdef_black_python_BP-Prime,Mech,1,1
mechdef_ebonjaguar_B,Mech,1,1
mechdef_ebonjaguar_C,Mech,1,1
mechdef_ebonjaguar_D,Mech,1,1
mechdef_ebonjaguar_PRIME,Mech,1,1
mechdef_ebonjaguar_X,Mech,1,1
mechdef_hellbringer_b,Mech,1,1
mechdef_hellbringer_Prime,Mech,1,1
mechdef_hellfire_HLF-1,Mech,1,1
mechdef_hellfire_HLF-2,Mech,1,1
mechdef_hellhound_1,Mech,1,1
mechdef_hellhound_2,Mech,1,1
mechdef_hellhound_3,Mech,1,1
mechdef_hunchback_HBK-IIC-B,Mech,1,1
mechdef_hunchback_HBK-IIC,Mech,1,1
mechdef_huntsman_HMN-A,Mech,1,1
mechdef_huntsman_HMN-B,Mech,1,1
mechdef_huntsman_HMN-C,Mech,1,1
mechdef_huntsman_HMN-PRIME,Mech,1,1
mechdef_iceferret_IFR-A,Mech,1,1
mechdef_iceferret_IFR-B,Mech,1,1
mechdef_iceferret_IFR-C,Mech,1,1
mechdef_iceferret_IFR-PRIME,Mech,1,1
mechdef_linebacker_LBK-A,Mech,1,1
mechdef_linebacker_LBK-B,Mech,1,1
mechdef_linebacker_LBK-D,Mech,1,1
mechdef_linebacker_LBK-PRIME,Mech,1,1
mechdef_lupus_A,Mech,1,1
mechdef_lupus_B,Mech,1,1
mechdef_lupus_PRIME,Mech,1,1
mechdef_madcat_MC-A,Mech,1,1
mechdef_madcat_MC-B,Mech,1,1
mechdef_madcat_MC-C,Mech,1,1
mechdef_madcat_MC-E,Mech,1,1
mechdef_madcat_MC-H,Mech,1,1
mechdef_madcat_MC-PRIME,Mech,1,1
mechdef_madcat_MC-PRYDE,Mech,1,1
mechdef_madcat_MC-S,Mech,1,1
mechdef_madcat_MC-Z,Mech,1,1
mechdef_maddog_A,Mech,1,1
mechdef_maddog_B,Mech,1,1
mechdef_maddog_PRIME,Mech,1,1
mechdef_medusa_MED-1,Mech,1,1
mechdef_medusa_MED-2,Mech,1,1
mechdef_medusa_MED-3,Mech,1,1
mechdef_medusa_MED-4,Mech,1,1
mechdef_nightgyr_NTG-B,Mech,1,1
mechdef_nightgyr_NTG-D,Mech,1,1
mechdef_nightgyr_NTG-JK,Mech,1,1
mechdef_nightgyr_NTG-PRIME,Mech,1,1
mechdef_NovaCat_NCT-A,Mech,1,1
mechdef_NovaCat_NCT-B,Mech,1,1
mechdef_NovaCat_NCT-C,Mech,1,1
mechdef_NovaCat_NCT-Prime,Mech,1,1
mechdef_nova_A,Mech,1,1
mechdef_nova_B,Mech,1,1
mechdef_nova_C,Mech,1,1
mechdef_nova_D,Mech,1,1
mechdef_nova_PRIME,Mech,1,1
mechdef_orion_ON1-IIC-A,Mech,1,1
mechdef_orion_ON1-IIC-C,Mech,1,1
mechdef_orion_ON1-IIC,Mech,1,1
mechdef_rifleman_RFL-IIC-2,Mech,1,1
mechdef_rifleman_RFL-IIC-3,Mech,1,1
mechdef_rifleman_RFL-IIC-4,Mech,1,1
mechdef_rifleman_RFL-IIC-A,Mech,1,1
mechdef_rifleman_RFL-IIC,Mech,1,1
mechdef_septicemia_PRI-A,Mech,1,1
mechdef_septicemia_PRI-D,Mech,1,1
mechdef_shadowcat_A,Mech,1,1
mechdef_shadowcat_B,Mech,1,1
mechdef_shadowcat_PRIME,Mech,1,1
mechdef_stormcrow_A,Mech,1,1
mechdef_stormcrow_B,Mech,1,1
mechdef_stormcrow_C,Mech,1,1
mechdef_stormcrow_PRIME,Mech,1,1
mechdef_summoner_PRIME,Mech,1,1
mechdef_summoner_PRIME_A,Mech,1,1
mechdef_summoner_PRIME_B,Mech,1,1
mechdef_summoner_PRIME_C,Mech,1,1
mechdef_summoner_PRIME_Z,Mech,1,1
mechdef_sunspider_SNS_A,Mech,1,1
mechdef_sunspider_SNS_B,Mech,1,1
mechdef_sunspider_SNS_C,Mech,1,1
mechdef_sunspider_SNS_D,Mech,1,1
mechdef_sunspider_SNS_PRIME,Mech,1,1
mechdef_vaporeagle_VGL-1,Mech,1,1
mechdef_vaporeagle_VGL-2,Mech,1,1
mechdef_vaporeagle_VGL-3,Mech,1,1
mechdef_vaporeagle_VGL-RIVAL,Mech,1,1
mechdef_viper_A,Mech,1,1
mechdef_viper_B,Mech,1,1
mechdef_viper_C,Mech,1,1
mechdef_viper_D,Mech,1,1
mechdef_viper_PRIME,Mech,1,1
mechdef_jaguar_JGR-LAM-1,Mech,1,1
mechdef_lancer_LNC-LAM-1,Mech,1,1
mechdef_phoenixhawk_PHX-HK1,Mech,1,1
mechdef_shadowhawk_SHD-X1,Mech,1,1
mechdef_shadowhawk_SHD-X2,Mech,1,1
mechdef_thunderbird_TB-LAM-1,Mech,1,1
mechdef_waneta_S-WN-2LAM,Mech,1,1
mechdef_whiteeagle_WE-LAM-1,Mech,1,1
mechdef_yureix_YR-LAM-X,Mech,1,1
mechdef_yurei_S-YR-1LAM,Mech,1,1
mechdef_anvil_ANV-3M,Mech,1,1
mechdef_anvil_ANV-5M,Mech,1,1
mechdef_apollo_APL-1M,Mech,1,1
mechdef_apollo_APL-2S,Mech,1,1
mechdef_apollo_APL-3T,Mech,1,1
mechdef_apollo_APL-C,Mech,1,1
mechdef_argus_AGS-4D,Mech,1,1
mechdef_assassinii_ASNII-O,Mech,1,1
mechdef_assassinii_ASNII-OA,Mech,1,1
mechdef_assassinii_ASNII-OB,Mech,1,1
mechdef_assassinii_ASNII-OC,Mech,1,1
mechdef_assassinii_ASNII-OD,Mech,1,1
mechdef_assassin_ASN-26,Mech,1,1
mechdef_assassin_ASN-27,Mech,1,1
mechdef_avatar_AV1-0G,Mech,1,1
mechdef_balar_BA1-O,Mech,1,1
mechdef_balar_BA1-OA,Mech,1,1
mechdef_balar_BA1-OB,Mech,1,1
mechdef_balar_BA1-OC,Mech,1,1
mechdef_battleaxe_BKX-7K,Mech,1,1
mechdef_battleaxe_BKX-7NC,Mech,1,1
mechdef_bellerophon_BEL-1X,Mech,1,1
mechdef_blackheart_BH-1,Mech,1,1
mechdef_blackjack_BJ-1XO,Mech,1,1
mechdef_blackknight_BL-10-KNT,Mech,1,1
mechdef_bombardier_BMB-12D,Mech,1,1
mechdef_bombardier_BMB-14C,Mech,1,1
mechdef_bombardier_BMB-14K,Mech,1,1
mechdef_bombard_BMB-013,Mech,1,1
mechdef_bombard_BMB-01X,Mech,1,1
mechdef_bombard_BMB-01Y,Mech,1,1
mechdef_caesar_CES-3R,Mech,1,1
mechdef_caesar_CES-4R,Mech,1,1
mechdef_carronade_CRN-7M,Mech,1,1
mechdef_cataphract_CTF-4XE,Mech,1,1
mechdef_centurion_CN9-D,Mech,1,1
mechdef_centurion_CN9-D3D,Mech,1,1
mechdef_chameleon_CLN-7V,Mech,1,1
mechdef_chameleon_CLN-7W,Mech,1,1
mechdef_chameleon_CLN-7Z,Mech,1,1
mechdef_chameleon_CLN-8V,Mech,1,1
mechdef_champion_CHP-3N,Mech,1,1
mechdef_champion_CHP-C,Mech,1,1
mechdef_chimera_CMA-1S,Mech,1,1
mechdef_cicada_CDA-3F,Mech,1,1
mechdef_cicada_CDA-3M,Mech,1,1
mechdef_clint_CLNT-2-3U,Mech,1,1
mechdef_crab_CRB-27sl,Mech,1,1
mechdef_crab_CRB-30,Mech,1,1
mechdef_daikyu_DAI-01,Mech,1,1
mechdef_daikyu_DAI-02,Mech,1,1
mechdef_dervish_DV-6Md,Mech,1,1
mechdef_dervish_DV-8D,Mech,1,1
mechdef_dragonfire_DGR-3F,Mech,1,1
mechdef_dragonfire_DGR-6FC,Mech,1,1
mechdef_dragonfire_DGR-9D,Mech,1,1
mechdef_enfield_END-6J-EC,Mech,1,1
mechdef_enfield_END-6Q,Mech,1,1
mechdef_enforcer_ENF-5D,Mech,1,1
mechdef_eris_ERS-2H,Mech,1,1
mechdef_eris_ERS-2N,Mech,1,1
mechdef_excalibur_EXC-B2,Mech,1,1
mechdef_excalibur_EXC-B2b,Mech,1,1
mechdef_excalibur_EXC-CS,Mech,1,1
mechdef_excalibur_EXC-D1,Mech,1,1
mechdef_exterminator_EXT-4C,Mech,1,1
mechdef_exterminator_EXT-4D,Mech,1,1
mechdef_gladiator_GLD-3R,Mech,1,1
mechdef_gladiator_GLD-4R,Mech,1,1
mechdef_gladiator_GLD-5R,Mech,1,1
mechdef_guillotine_GLT-3N,Mech,1,1
mechdef_guillotine_GLT-3NES,Mech,1,1
mechdef_guillotine_GLT-7M,Mech,1,1
mechdef_hammerhands_HMH-3D,Mech,1,1
mechdef_hammerhands_HMH-4D,Mech,1,1
mechdef_hector_HOR-1B,Mech,1,1
mechdef_hector_HOR-1C,Mech,1,1
mechdef_helios_HEL-3D,Mech,1,1
mechdef_helios_HEL-4A,Mech,1,1
mechdef_hellspawn_HSN-10g,Mech,1,1
mechdef_hellspawn_HSN-9F,Mech,1,1
mechdef_hoplite_HOP-4B,Mech,1,1
mechdef_hoplite_HOP-4Bb,Mech,1,1
mechdef_hoplite_HOP-4C,Mech,1,1
mechdef_hoplite_HOP-4Cb,Mech,1,1
mechdef_hoplite_HOP-4D,Mech,1,1
mechdef_hoplite_HOP-C,Mech,1,1
mechdef_icarusii_ICR-2S,Mech,1,1
mechdef_ion_ION-1R,Mech,1,1
mechdef_ion_ION-2R,Mech,1,1
mechdef_ion_ION-4R,Mech,1,1
mechdef_ion_ION-5R,Mech,1,1
mechdef_jagermech_JM6-DD,Mech,1,1
mechdef_jinggau_JN-G7L,Mech,1,1
mechdef_jinggau_JN-G7Lr,Mech,1,1
mechdef_jinggau_JN-G8A,Mech,1,1
mechdef_jinggau_JN-G8Ar,Mech,1,1
mechdef_kintaro_KTO-19,Mech,1,1
mechdef_kintaro_KTO-19b,Mech,1,1
mechdef_komodo_KIM-2,Mech,1,1
mechdef_komodo_KIM-2A,Mech,1,1
mechdef_koschei_KSC-3I,Mech,1,1
mechdef_koschei_KSC-3L,Mech,1,1
mechdef_koschei_KSC-4I,Mech,1,1
mechdef_koschei_KSC-4L,Mech,1,1
mechdef_koschei_KSC-5I,Mech,1,1
mechdef_koschei_KSC-5MC,Mech,1,1
mechdef_kyudo_KY2-D-02,Mech,1,1
mechdef_kyudo_KY2-D-03,Mech,1,1
mechdef_lament_LMT-3R,Mech,1,1
mechdef_laohu_LHU-3L,Mech,1,1
mechdef_liberty_LBT-O,Mech,1,1
mechdef_liberty_LBT-OA,Mech,1,1
mechdef_liberty_LBT-OC,Mech,1,1
mechdef_liberty_LBT-OD,Mech,1,1
mechdef_lynx_LNX-9Q,Mech,1,1
mechdef_lynx_LNX-C,Mech,1,1
mechdef_mackenzie_MK-22,Mech,1,1
mechdef_merlin_MLN-1D,Mech,1,1
mechdef_merlin_MLN-1E,Mech,1,1
mechdef_merlin_MLN-1P,Mech,1,1
mechdef_mushu_MHU-2R,Mech,1,1
mechdef_mushu_MHU-3R,Mech,1,1
mechdef_mushu_MHU-4R,Mech,1,1
mechdef_orion_ON2-K,Mech,1,1
mechdef_osprey_OSP-26,Mech,1,1
mechdef_ostsol_OTL-7M,Mech,1,1
mechdef_ostwar_OWR-2M,Mech,1,1
mechdef_ostwar_OWR-3M,Mech,1,1
mechdef_penetrator_PTR-4D,Mech,1,1
mechdef_penetrator_PTR-4F,Mech,1,1
mechdef_phoenixhawk_PXH-C,Mech,1,1
mechdef_princecrab_PRC-4B,Mech,1,1
mechdef_princecrab_PRC-5S,Mech,1,1
mechdef_princecrab_PRC-5X,Mech,1,1
mechdef_quickdraw_QKD-5K,Mech,1,1
mechdef_quickdraw_QKD-8K,Mech,1,1
mechdef_rakshasa_MDG-1A,Mech,1,1
mechdef_rakshasa_MDG-1Ar,Mech,1,1
mechdef_rakshasa_MDG-2A,Mech,1,1
mechdef_roughneck_RGH-2A,Mech,1,1
mechdef_sentinel_STN-3L,Mech,1,1
mechdef_sentinel_STN-3Lb,Mech,1,1
mechdef_sentinel_STN-4D,Mech,1,1
mechdef_sentinel_STN-6S,Mech,1,1
mechdef_shayu_SYU-2B,Mech,1,1
mechdef_shayu_SYU-6B,Mech,1,1
mechdef_shootist_ST-8A,Mech,1,1
mechdef_shootist_ST-9C,Mech,1,1
mechdef_starslayer_STY-2C,Mech,1,1
mechdef_starslayer_STY-3C,Mech,1,1
mechdef_strider_SR1-0B,Mech,1,1
mechdef_strider_SR1-0F,Mech,1,1
mechdef_swordsman_SWD-2,Mech,1,1
mechdef_thanatos_TNS-6T,Mech,1,1
mechdef_thanatos_TNS-7D,Mech,1,1
mechdef_thunder_THR-1L,Mech,1,1
mechdef_thunder_THR-2K,Mech,1,1
mechdef_thunder_THR-C4,Mech,1,1
mechdef_tolson_TOL-5N,Mech,1,1
mechdef_tolson_TOL-5Nb,Mech,1,1
mechdef_tomahawk_THK-6R,Mech,1,1
mechdef_tomahawk_THK-7M,Mech,1,1
mechdef_toyama_TYM-1A,Mech,1,1
mechdef_toyama_TYM-1B,Mech,1,1
mechdef_toyama_TYM-1C,Mech,1,1
mechdef_trebuchet_TBT-7M,Mech,1,1
mechdef_uziel_UZL-3P,Mech,1,1
mechdef_uziel_UZL-6P,Mech,1,1
mechdef_vindicator_VND-3L,Mech,1,1
mechdef_vindicator_VND-3Lr,Mech,1,1
mechdef_warhammer_WHM-7CS,Mech,1,1
mechdef_warhammer_WHM-C,Mech,1,1
mechdef_warhammer_WHM-C3,Mech,1,1
mechdef_wraith_TR-1,Mech,1,1
mechdef_wraith_TR-2,Mech,1,1
mechdef_wraith_TR-3,Mech,1,1
mechdef_wyvern_WVE-5N,Mech,1,1
mechdef_wyvern_WVE-5Nb,Mech,1,1
mechdef_wyvern_WVE-9N,Mech,1,1
mechdef_blackpython_BP-5,Mech,1,1
mechdef_bowman_BWM-2,Mech,1,1
mechdef_bowman_BWM-3,Mech,1,1
mechdef_conjurer_WVR-IIC-4,Mech,1,1
mechdef_conjurer_WVR-IIC-8,Mech,1,1
mechdef_darkcrow_DCR-1,Mech,1,1
mechdef_fox_FX-1,Mech,1,1
mechdef_glassspider_GS-2,Mech,1,1
mechdef_glassspider_GS-3,Mech,1,1
mechdef_glassspider_GS-4,Mech,1,1
mechdef_glassspider_GS-PRIME,Mech,1,1
mechdef_grendel_GDL-A,Mech,1,1
mechdef_grendel_GDL-B,Mech,1,1
mechdef_grendel_GDL-PRIME,Mech,1,1
mechdef_grizzly_GRZ-1,Mech,1,1
mechdef_grizzly_GRZ-2,Mech,1,1
mechdef_hellbringer_HBR-A,Mech,1,1
mechdef_hellbringer_HBR-H,Mech,1,1
mechdef_hellbringer_HBR-T,Mech,1,1
mechdef_hellfire_HLF-A,Mech,1,1
mechdef_hellfire_HLF-B,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-3,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-4,Mech,1,1
mechdef_lancelot_LNC25-01-X,Mech,1,1
mechdef_lancelot_LNC25-01,Mech,1,1
mechdef_lancelot_LNC25-C,Mech,1,1
mechdef_lancelot_LNC25-C2,Mech,1,1
mechdef_maddog_MDG-D,Mech,1,1
mechdef_maddog_MDG-DD,Mech,1,1
mechdef_maddog_MDG-F,Mech,1,1
mechdef_mercuryii_MCY-100,Mech,1,1
mechdef_mercuryii_MCY-110,Mech,1,1
mechdef_minsk_MNK-101,Mech,1,1
mechdef_minsk_MNK-102,Mech,1,1
mechdef_minsk_MNK-103,Mech,1,1
mechdef_naja_NJA-1,Mech,1,1
mechdef_naja_NJA-EC,Mech,1,1
mechdef_nightgyr_NTG-A,Mech,1,1
mechdef_nightgyr_NTG-E,Mech,1,1
mechdef_orioniic_ON1-IIC-B,Mech,1,1
mechdef_phantom_PHN-A,Mech,1,1
mechdef_phantom_PHN-B,Mech,1,1
mechdef_phantom_PHN-C,Mech,1,1
mechdef_phantom_PHN-PRIME,Mech,1,1
mechdef_septicemia_PRI-C-Z,Mech,1,1
mechdef_septicemia_PRI-PRIME,Mech,1,1
mechdef_shadowcat_SHC-C,Mech,1,1
mechdef_shadowcat_SHC-J,Mech,1,1
mechdef_sidewinder_SDW-Prime,Mech,1,1
mechdef_stag_ST-14G,Mech,1,1
mechdef_stag_ST-24G,Mech,1,1
mechdef_stag_ST-34G,Mech,1,1
mechdef_vaporeagle_VGL-4,Mech,1,1
mechdef_visionquest_VQ-1NC,Mech,1,1
mechdef_visionquest_VQ-Clan,Mech,1,1
mechdef_woodsman_WDM-A,Mech,1,1
mechdef_woodsman_WDM-B,Mech,1,1
mechdef_woodsman_WDM-PRIME,Mech,1,1
mechdef_woodsman_WDM-W,Mech,1,1
