itemCollection_fp_eae_medparts,type,qty,weight
mechdef_vindicator_VND-1X,MechPart,1,1
mechdef_vulcan_VT-BL,MechPart,1,1
mechdef_wolverine_WVR-5M,MechPart,1,1
mechdef_wolverine_WVR-6D,MechPart,1,1
mechdef_wolverine_WVR-6M,MechPart,1,1
mechdef_wolverine_WVR-6T,MechPart,1,1
mechdef_wolverine_WVR-7K,MechPart,1,1
mechdef_arcticwolf_ACW-1,MechPart,1,1
mechdef_arcticwolf_ACW-BK,MechPart,1,1
mechdef_arcticwolf_ACW-P,MechPart,1,1
mechdef_blacklanner_BKL-A,MechPart,1,1
mechdef_blacklanner_BKL-C,MechPart,1,1
mechdef_blacklanner_BKL-D,MechPart,1,1
mechdef_blacklanner_BKL-G,MechPart,1,1
mechdef_blacklanner_BKL-PRIME,MechPart,1,1
mechdef_hellhound_1,MechPart,1,1
mechdef_hellhound_2,MechPart,1,1
mechdef_hellhound_3,MechPart,1,1
mechdef_hunchback_HBK-IIC-B,MechPart,1,1
mechdef_hunchback_HBK-IIC,MechPart,1,1
mechdef_huntsman_HMN-A,MechPart,1,1
mechdef_huntsman_HMN-B,MechPart,1,1
mechdef_huntsman_HMN-C,MechPart,1,1
mechdef_huntsman_HMN-PRIME,MechPart,1,1
mechdef_iceferret_IFR-A,MechPart,1,1
mechdef_iceferret_IFR-B,MechPart,1,1
mechdef_iceferret_IFR-C,MechPart,1,1
mechdef_iceferret_IFR-PRIME,MechPart,1,1
mechdef_medusa_MED-1,MechPart,1,1
mechdef_medusa_MED-2,MechPart,1,1
mechdef_medusa_MED-3,MechPart,1,1
mechdef_medusa_MED-4,MechPart,1,1
mechdef_nova_A,MechPart,1,1
mechdef_nova_B,MechPart,1,1
mechdef_nova_C,MechPart,1,1
mechdef_nova_D,MechPart,1,1
mechdef_nova_PRIME,MechPart,1,1
mechdef_septicemia_PRI-A,MechPart,1,1
mechdef_septicemia_PRI-D,MechPart,1,1
mechdef_shadowcat_A,MechPart,1,1
mechdef_shadowcat_B,MechPart,1,1
mechdef_shadowcat_PRIME,MechPart,1,1
mechdef_stormcrow_A,MechPart,1,1
mechdef_stormcrow_B,MechPart,1,1
mechdef_stormcrow_C,MechPart,1,1
mechdef_stormcrow_PRIME,MechPart,1,1
mechdef_vaporeagle_VGL-1,MechPart,1,1
mechdef_vaporeagle_VGL-2,MechPart,1,1
mechdef_vaporeagle_VGL-3,MechPart,1,1
mechdef_vaporeagle_VGL-RIVAL,MechPart,1,1
mechdef_viper_A,MechPart,1,1
mechdef_viper_B,MechPart,1,1
mechdef_viper_C,MechPart,1,1
mechdef_viper_D,MechPart,1,1
mechdef_viper_PRIME,MechPart,1,1
mechdef_jaguar_JGR-LAM-1,MechPart,1,1
mechdef_lancer_LNC-LAM-1,MechPart,1,1
mechdef_phoenixhawk_PHX-HK1,MechPart,1,1
mechdef_shadowhawk_SHD-X1,MechPart,1,1
mechdef_shadowhawk_SHD-X2,MechPart,1,1
mechdef_thunderbird_TB-LAM-1,MechPart,1,1
mechdef_waneta_S-WN-2LAM,MechPart,1,1
mechdef_whiteeagle_WE-LAM-1,MechPart,1,1
mechdef_yureix_YR-LAM-X,MechPart,1,1
mechdef_yurei_S-YR-1LAM,MechPart,1,1
mechdef_apollo_APL-1M,MechPart,1,1
mechdef_apollo_APL-2S,MechPart,1,1
mechdef_apollo_APL-3T,MechPart,1,1
mechdef_apollo_APL-C,MechPart,1,1
mechdef_assassinii_ASNII-O,MechPart,1,1
mechdef_assassinii_ASNII-OA,MechPart,1,1
mechdef_assassinii_ASNII-OB,MechPart,1,1
mechdef_assassinii_ASNII-OC,MechPart,1,1
mechdef_assassinii_ASNII-OD,MechPart,1,1
mechdef_assassin_ASN-26,MechPart,1,1
mechdef_assassin_ASN-27,MechPart,1,1
mechdef_blackjack_BJ-1XO,MechPart,1,1
mechdef_bombard_BMB-013,MechPart,1,1
mechdef_bombard_BMB-01X,MechPart,1,1
mechdef_bombard_BMB-01Y,MechPart,1,1
mechdef_centurion_CN9-D,MechPart,1,1
mechdef_centurion_CN9-D3D,MechPart,1,1
mechdef_chameleon_CLN-7V,MechPart,1,1
mechdef_chameleon_CLN-7W,MechPart,1,1
mechdef_chameleon_CLN-7Z,MechPart,1,1
mechdef_chameleon_CLN-8V,MechPart,1,1
mechdef_chimera_CMA-1S,MechPart,1,1
mechdef_cicada_CDA-3F,MechPart,1,1
mechdef_cicada_CDA-3M,MechPart,1,1
mechdef_clint_CLNT-2-3U,MechPart,1,1
mechdef_crab_CRB-27sl,MechPart,1,1
mechdef_crab_CRB-30,MechPart,1,1
mechdef_dervish_DV-6Md,MechPart,1,1
mechdef_dervish_DV-8D,MechPart,1,1
mechdef_enfield_END-6J-EC,MechPart,1,1
mechdef_enfield_END-6Q,MechPart,1,1
mechdef_enforcer_ENF-5D,MechPart,1,1
mechdef_eris_ERS-2H,MechPart,1,1
mechdef_eris_ERS-2N,MechPart,1,1
mechdef_gladiator_GLD-3R,MechPart,1,1
mechdef_gladiator_GLD-4R,MechPart,1,1
mechdef_gladiator_GLD-5R,MechPart,1,1
mechdef_hellspawn_HSN-10g,MechPart,1,1
mechdef_hellspawn_HSN-9F,MechPart,1,1
mechdef_hoplite_HOP-4B,MechPart,1,1
mechdef_hoplite_HOP-4Bb,MechPart,1,1
mechdef_hoplite_HOP-4C,MechPart,1,1
mechdef_hoplite_HOP-4Cb,MechPart,1,1
mechdef_hoplite_HOP-4D,MechPart,1,1
mechdef_hoplite_HOP-C,MechPart,1,1
mechdef_icarusii_ICR-2S,MechPart,1,1
mechdef_kintaro_KTO-19,MechPart,1,1
mechdef_kintaro_KTO-19b,MechPart,1,1
mechdef_komodo_KIM-2,MechPart,1,1
mechdef_komodo_KIM-2A,MechPart,1,1
mechdef_kyudo_KY2-D-02,MechPart,1,1
mechdef_kyudo_KY2-D-03,MechPart,1,1
mechdef_lynx_LNX-9Q,MechPart,1,1
mechdef_lynx_LNX-C,MechPart,1,1
mechdef_mushu_MHU-2R,MechPart,1,1
mechdef_mushu_MHU-3R,MechPart,1,1
mechdef_mushu_MHU-4R,MechPart,1,1
mechdef_osprey_OSP-26,MechPart,1,1
mechdef_phoenixhawk_PXH-C,MechPart,1,1
mechdef_sentinel_STN-3L,MechPart,1,1
mechdef_sentinel_STN-3Lb,MechPart,1,1
mechdef_sentinel_STN-4D,MechPart,1,1
mechdef_sentinel_STN-6S,MechPart,1,1
mechdef_shayu_SYU-2B,MechPart,1,1
mechdef_shayu_SYU-6B,MechPart,1,1
mechdef_starslayer_STY-2C,MechPart,1,1
mechdef_starslayer_STY-3C,MechPart,1,1
mechdef_strider_SR1-0B,MechPart,1,1
mechdef_strider_SR1-0F,MechPart,1,1
mechdef_swordsman_SWD-2,MechPart,1,1
mechdef_trebuchet_TBT-7M,MechPart,1,1
mechdef_uziel_UZL-3P,MechPart,1,1
mechdef_uziel_UZL-6P,MechPart,1,1
mechdef_vindicator_VND-3L,MechPart,1,1
mechdef_vindicator_VND-3Lr,MechPart,1,1
mechdef_wraith_TR-1,MechPart,1,1
mechdef_wraith_TR-2,MechPart,1,1
mechdef_wraith_TR-3,MechPart,1,1
mechdef_wyvern_WVE-5N,MechPart,1,1
mechdef_wyvern_WVE-5Nb,MechPart,1,1
mechdef_wyvern_WVE-9N,MechPart,1,1
mechdef_conjurer_WVR-IIC-4,MechPart,1,1
mechdef_conjurer_WVR-IIC-8,MechPart,1,1
mechdef_darkcrow_DCR-1,MechPart,1,1
mechdef_fox_FX-1,MechPart,1,1
mechdef_grendel_GDL-A,MechPart,1,1
mechdef_grendel_GDL-B,MechPart,1,1
mechdef_grendel_GDL-PRIME,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-3,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-4,MechPart,1,1
mechdef_mercuryii_MCY-100,MechPart,1,1
mechdef_mercuryii_MCY-110,MechPart,1,1
mechdef_naja_NJA-1,MechPart,1,1
mechdef_naja_NJA-EC,MechPart,1,1
mechdef_phantom_PHN-A,MechPart,1,1
mechdef_phantom_PHN-B,MechPart,1,1
mechdef_phantom_PHN-C,MechPart,1,1
mechdef_phantom_PHN-PRIME,MechPart,1,1
mechdef_septicemia_PRI-C-Z,MechPart,1,1
mechdef_septicemia_PRI-PRIME,MechPart,1,1
mechdef_shadowcat_SHC-C,MechPart,1,1
mechdef_shadowcat_SHC-J,MechPart,1,1
mechdef_stag_ST-14G,MechPart,1,1
mechdef_stag_ST-24G,MechPart,1,1
mechdef_stag_ST-34G,MechPart,1,1
mechdef_vaporeagle_VGL-4,MechPart,1,1
