itemCollection_fp_eae_ef_heavyasltparts,type,qty,weight
mechdef_sorcerer_SRC-1BX,MechPart,1,1
mechdef_sorcerer_SRC-1CX,MechPart,1,1
mechdef_stalker_STK-5SX,MechPart,1,1
mechdef_striker_STC-2CX,MechPart,1,1
mechdef_striker_STC-2DX,MechPart,1,1
mechdef_striker_STC-2SX,MechPart,1,1
mechdef_sunder_SD1-OFCCWX,MechPart,1,1
mechdef_sunder_SD1-OX,MechPart,1,1
mechdef_thug_THG-11EX,MechPart,1,1
mechdef_thunderhawk_TDK-7XX,MechPart,1,1
mechdef_thunderhawk_TDK-7YX,MechPart,1,1
mechdef_thunder_THR-1LX,MechPart,1,1
mechdef_titanii_TI-2PX,MechPart,1,1
mechdef_titan_TI-1AX,MechPart,1,1
mechdef_tolson_TOL-5NbX,MechPart,1,1
mechdef_tolson_TOL-5NX,MechPart,1,1
mechdef_tomahawk_THK-7MX,MechPart,1,1
mechdef_valkyrieii_VLK-II-1AX,MechPart,1,1
mechdef_valkyrieii_VLK-II-2AX,MechPart,1,1
mechdef_victor_VTR-9XX,MechPart,1,1
mechdef_viking_VKG-2FX,MechPart,1,1
mechdef_viking_VKG-2GX,MechPart,1,1
mechdef_ymir_BWP-2BX,MechPart,1,1
mechdef_lancelot_LNC25-01-XX,MechPart,1,1
mechdef_lancelot_LNC25-01X,MechPart,1,1
