itemCollection_fp_eae_ef_heavyasltmechs,type,qty,weight
mechdef_mackie_MSK-9HX,Mech,1,1
mechdef_merlin_MLN-1AX,Mech,1,1
mechdef_merlin_MLN-1PX,Mech,1,1
mechdef_nightstar_NSR-9JX,Mech,1,1
mechdef_ostroc_OSR-2MX,Mech,1,1
mechdef_ostwar_OWR-2MX,Mech,1,1
mechdef_ostwar_OWR-3MX,Mech,1,1
mechdef_penetrator_PTR-4DX,Mech,1,1
mechdef_penetrator_PTR-4FX,Mech,1,1
mechdef_pillager_PLG-1NX,Mech,1,1
mechdef_pillager_PLG-3ZX,Mech,1,1
mechdef_quickdraw_QKD-5KX,Mech,1,1
mechdef_quickdraw_QKD-8KX,Mech,1,1
mechdef_rakshasa_MDG-1AX,Mech,1,1
mechdef_rampage_RMP-4GX,Mech,1,1
mechdef_rampage_RMP-5GX,Mech,1,1
mechdef_rifleman_RFL-3MX,Mech,1,1
mechdef_roughneck_RGH-1AX,Mech,1,1
mechdef_roughneck_RGH-2AX,Mech,1,1
mechdef_roughneck_RGH-3AX,Mech,1,1
mechdef_salamander_PPR-5SX,Mech,1,1
mechdef_salamander_PPR-6TX,Mech,1,1
mechdef_shogun_SHG-2FX,Mech,1,1
mechdef_shootist_ST-8AX,Mech,1,1
mechdef_shootist_ST-9CX,Mech,1,1
mechdef_sorcerer_SRC-1AX,Mech,1,1
mechdef_sorcerer_SRC-1BX,Mech,1,1
mechdef_sorcerer_SRC-1CX,Mech,1,1
mechdef_stalker_STK-5SX,Mech,1,1
mechdef_striker_STC-2CX,Mech,1,1
mechdef_striker_STC-2DX,Mech,1,1
mechdef_striker_STC-2SX,Mech,1,1
mechdef_sunder_SD1-OFCCWX,Mech,1,1
mechdef_sunder_SD1-OX,Mech,1,1
mechdef_thug_THG-11EX,Mech,1,1
mechdef_thunderhawk_TDK-7XX,Mech,1,1
mechdef_thunderhawk_TDK-7YX,Mech,1,1
mechdef_thunder_THR-1LX,Mech,1,1
mechdef_titanii_TI-2PX,Mech,1,1
mechdef_titan_TI-1AX,Mech,1,1
mechdef_tolson_TOL-5NbX,Mech,1,1
mechdef_tolson_TOL-5NX,Mech,1,1
mechdef_tomahawk_THK-7MX,Mech,1,1
mechdef_valkyrieii_VLK-II-1AX,Mech,1,1
mechdef_valkyrieii_VLK-II-2AX,Mech,1,1
mechdef_victor_VTR-9XX,Mech,1,1
mechdef_viking_VKG-2FX,Mech,1,1
mechdef_viking_VKG-2GX,Mech,1,1
mechdef_ymir_BWP-2BX,Mech,1,1
mechdef_lancelot_LNC25-01-XX,Mech,1,1
mechdef_lancelot_LNC25-01X,Mech,1,1
