itemCollection_fp_eae_eas_lightmechs,type,qty,weight
mechdef_jenner_JR7-S,Mech,1,1
mechdef_locust_LCT-S,Mech,1,1
mechdef_locust_LCT-S2,Mech,1,1
mechdef_mercury_MCY-99W-S1,Mech,1,1
mechdef_mercury_MCY-S1,Mech,1,1
mechdef_mongoose_MON-S2,Mech,1,1
mechdef_nighthawk_NTK-S,Mech,1,1
mechdef_nyx_NX-S1,Mech,1,1
mechdef_nyx_NX-S2,Mech,1,1
mechdef_nyx_NX-S3,Mech,1,1
mechdef_osiris_OSR-S,Mech,1,1
mechdef_osiris_OSR-S2,Mech,1,1
mechdef_owens_OW-S,Mech,1,1
mechdef_owens_OW-S2,Mech,1,1
mechdef_panther_PNT-S,Mech,1,1
mechdef_panther_PNT-S2,Mech,1,1
mechdef_raptor_RTX1-O-S1,Mech,1,1
mechdef_raptor_RTX1-OC-S2,Mech,1,1
mechdef_raven_RVN-S,Mech,1,1
mechdef_raven_RVN-S2,Mech,1,1
mechdef_razorback_RZK-S1,Mech,1,1
mechdef_razorback_RZK-S2,Mech,1,1
mechdef_razorback_RZK-S3,Mech,1,1
mechdef_sling_SL-S1,Mech,1,1
mechdef_sling_SL-S2,Mech,1,1
mechdef_spector_SPR-S1,Mech,1,1
mechdef_spector_SPR-S2,Mech,1,1
mechdef_spider_SDR-S,Mech,1,1
mechdef_spider_SDR-S2,Mech,1,1
mechdef_stinger_STG-S2,Mech,1,1
mechdef_talon_TLN-S,Mech,1,1
mechdef_talon_TLN-S2,Mech,1,1
mechdef_thorn_THE-S1,Mech,1,1
mechdef_thorn_THE-S2,Mech,1,1
mechdef_tiburon_TBN-2-S,Mech,1,1
mechdef_toro_TR-A-S,Mech,1,1
mechdef_toro_TR-B-S2,Mech,1,1
mechdef_urbanmechk-9_UM-S2,Mech,1,1
mechdef_urbanmech_UM-S3,Mech,1,1
mechdef_valkyrie_VLK-S2,Mech,1,1
mechdef_wasp_WSP-S,Mech,1,1
mechdef_wasp_WSP-S2,Mech,1,1
mechdef_wight_WGT-S,Mech,1,1
mechdef_wight_WGT-S2,Mech,1,1
mechdef_wolfhound_WLF-S3,Mech,1,1
mechdef_adder_ADR-S2,Mech,1,1
mechdef_adder_ADR-S3,Mech,1,1
mechdef_arcticcheetah_ACH-S2,Mech,1,1
mechdef_cazador_CZD-S,Mech,1,1
mechdef_cougar_CGR-S2,Mech,1,1
mechdef_cougar_CGR-S3,Mech,1,1
mechdef_cougar_CGR-XR-S1,Mech,1,1
mechdef_firefalcon_FF-S1,Mech,1,1
mechdef_firefalcon_FF-S2,Mech,1,1
mechdef_firefalcon_FF-S3,Mech,1,1
mechdef_firemoth_FM-S2,Mech,1,1
mechdef_howler_HWL-S1,Mech,1,1
mechdef_howler_HWL-S2,Mech,1,1
mechdef_incubus_INC-S2,Mech,1,1
mechdef_incubus_INC-S3,Mech,1,1
mechdef_locust_LCT-IIC-2-S2,Mech,1,1
mechdef_locust_LCT-IIC-S,Mech,1,1
mechdef_mistlynx_MLX-S2,Mech,1,1
mechdef_piranha_PIR-S2,Mech,1,1
mechdef_piranha_PIR-S3,Mech,1,1
mechdef_solitaire_SLT-1-S,Mech,1,1
mechdef_tiburon_TBN-1-S,Mech,1,1
