itemCollection_fp_eae_medmechs,type,qty,weight
mechdef_shadowhawk_SHD-3H,Mech,1,1
mechdef_shadowhawk_SHD-3K,Mech,1,1
mechdef_shadowhawk_SHD-5M,Mech,1,1
mechdef_strider_SR1-0,Mech,1,1
mechdef_talos_TLS-1B,Mech,1,1
mechdef_trebuchet_TBT-5J,Mech,1,1
mechdef_trebuchet_TBT-5S,Mech,1,1
mechdef_uziel_UZL-2S,Mech,1,1
mechdef_uziel_UZL-3S,Mech,1,1
mechdef_vindicator_VND-1SIC,Mech,1,1
mechdef_vindicator_VND-1X,Mech,1,1
mechdef_vulcan_VT-BL,Mech,1,1
mechdef_wolverine_WVR-5M,Mech,1,1
mechdef_wolverine_WVR-6D,Mech,1,1
mechdef_wolverine_WVR-6M,Mech,1,1
mechdef_wolverine_WVR-6T,Mech,1,1
mechdef_wolverine_WVR-7K,Mech,1,1
mechdef_arcticwolf_ACW-1,Mech,1,1
mechdef_arcticwolf_ACW-BK,Mech,1,1
mechdef_arcticwolf_ACW-P,Mech,1,1
mechdef_blacklanner_BKL-A,Mech,1,1
mechdef_blacklanner_BKL-C,Mech,1,1
mechdef_blacklanner_BKL-D,Mech,1,1
mechdef_blacklanner_BKL-G,Mech,1,1
mechdef_blacklanner_BKL-PRIME,Mech,1,1
mechdef_hellhound_1,Mech,1,1
mechdef_hellhound_2,Mech,1,1
mechdef_hellhound_3,Mech,1,1
mechdef_hunchback_HBK-IIC-B,Mech,1,1
mechdef_hunchback_HBK-IIC,Mech,1,1
mechdef_huntsman_HMN-A,Mech,1,1
mechdef_huntsman_HMN-B,Mech,1,1
mechdef_huntsman_HMN-C,Mech,1,1
mechdef_huntsman_HMN-PRIME,Mech,1,1
mechdef_iceferret_IFR-A,Mech,1,1
mechdef_iceferret_IFR-B,Mech,1,1
mechdef_iceferret_IFR-C,Mech,1,1
mechdef_iceferret_IFR-PRIME,Mech,1,1
mechdef_medusa_MED-1,Mech,1,1
mechdef_medusa_MED-2,Mech,1,1
mechdef_medusa_MED-3,Mech,1,1
mechdef_medusa_MED-4,Mech,1,1
mechdef_nova_A,Mech,1,1
mechdef_nova_B,Mech,1,1
mechdef_nova_C,Mech,1,1
mechdef_nova_D,Mech,1,1
mechdef_nova_PRIME,Mech,1,1
mechdef_septicemia_PRI-A,Mech,1,1
mechdef_septicemia_PRI-D,Mech,1,1
mechdef_shadowcat_A,Mech,1,1
mechdef_shadowcat_B,Mech,1,1
mechdef_shadowcat_PRIME,Mech,1,1
mechdef_stormcrow_A,Mech,1,1
mechdef_stormcrow_B,Mech,1,1
mechdef_stormcrow_C,Mech,1,1
mechdef_stormcrow_PRIME,Mech,1,1
mechdef_vaporeagle_VGL-1,Mech,1,1
mechdef_vaporeagle_VGL-2,Mech,1,1
mechdef_vaporeagle_VGL-3,Mech,1,1
mechdef_vaporeagle_VGL-RIVAL,Mech,1,1
mechdef_viper_A,Mech,1,1
mechdef_viper_B,Mech,1,1
mechdef_viper_C,Mech,1,1
mechdef_viper_D,Mech,1,1
mechdef_viper_PRIME,Mech,1,1
mechdef_jaguar_JGR-LAM-1,Mech,1,1
mechdef_lancer_LNC-LAM-1,Mech,1,1
mechdef_phoenixhawk_PHX-HK1,Mech,1,1
mechdef_shadowhawk_SHD-X1,Mech,1,1
mechdef_shadowhawk_SHD-X2,Mech,1,1
mechdef_thunderbird_TB-LAM-1,Mech,1,1
mechdef_waneta_S-WN-2LAM,Mech,1,1
mechdef_whiteeagle_WE-LAM-1,Mech,1,1
mechdef_yureix_YR-LAM-X,Mech,1,1
mechdef_yurei_S-YR-1LAM,Mech,1,1
mechdef_apollo_APL-1M,Mech,1,1
mechdef_apollo_APL-2S,Mech,1,1
mechdef_apollo_APL-3T,Mech,1,1
mechdef_apollo_APL-C,Mech,1,1
mechdef_assassinii_ASNII-O,Mech,1,1
mechdef_assassinii_ASNII-OA,Mech,1,1
mechdef_assassinii_ASNII-OB,Mech,1,1
mechdef_assassinii_ASNII-OC,Mech,1,1
mechdef_assassinii_ASNII-OD,Mech,1,1
mechdef_assassin_ASN-26,Mech,1,1
mechdef_assassin_ASN-27,Mech,1,1
mechdef_blackjack_BJ-1XO,Mech,1,1
mechdef_bombard_BMB-013,Mech,1,1
mechdef_bombard_BMB-01X,Mech,1,1
mechdef_bombard_BMB-01Y,Mech,1,1
mechdef_centurion_CN9-D,Mech,1,1
mechdef_centurion_CN9-D3D,Mech,1,1
mechdef_chameleon_CLN-7V,Mech,1,1
mechdef_chameleon_CLN-7W,Mech,1,1
mechdef_chameleon_CLN-7Z,Mech,1,1
mechdef_chameleon_CLN-8V,Mech,1,1
mechdef_chimera_CMA-1S,Mech,1,1
mechdef_cicada_CDA-3F,Mech,1,1
mechdef_cicada_CDA-3M,Mech,1,1
mechdef_clint_CLNT-2-3U,Mech,1,1
mechdef_crab_CRB-27sl,Mech,1,1
mechdef_crab_CRB-30,Mech,1,1
mechdef_dervish_DV-6Md,Mech,1,1
mechdef_dervish_DV-8D,Mech,1,1
mechdef_enfield_END-6J-EC,Mech,1,1
mechdef_enfield_END-6Q,Mech,1,1
mechdef_enforcer_ENF-5D,Mech,1,1
mechdef_eris_ERS-2H,Mech,1,1
mechdef_eris_ERS-2N,Mech,1,1
mechdef_gladiator_GLD-3R,Mech,1,1
mechdef_gladiator_GLD-4R,Mech,1,1
mechdef_gladiator_GLD-5R,Mech,1,1
mechdef_hellspawn_HSN-10g,Mech,1,1
mechdef_hellspawn_HSN-9F,Mech,1,1
mechdef_hoplite_HOP-4B,Mech,1,1
mechdef_hoplite_HOP-4Bb,Mech,1,1
mechdef_hoplite_HOP-4C,Mech,1,1
mechdef_hoplite_HOP-4Cb,Mech,1,1
mechdef_hoplite_HOP-4D,Mech,1,1
mechdef_hoplite_HOP-C,Mech,1,1
mechdef_icarusii_ICR-2S,Mech,1,1
mechdef_kintaro_KTO-19,Mech,1,1
mechdef_kintaro_KTO-19b,Mech,1,1
mechdef_komodo_KIM-2,Mech,1,1
mechdef_komodo_KIM-2A,Mech,1,1
mechdef_kyudo_KY2-D-02,Mech,1,1
mechdef_kyudo_KY2-D-03,Mech,1,1
mechdef_lynx_LNX-9Q,Mech,1,1
mechdef_lynx_LNX-C,Mech,1,1
mechdef_mushu_MHU-2R,Mech,1,1
mechdef_mushu_MHU-3R,Mech,1,1
mechdef_mushu_MHU-4R,Mech,1,1
mechdef_osprey_OSP-26,Mech,1,1
mechdef_phoenixhawk_PXH-C,Mech,1,1
mechdef_sentinel_STN-3L,Mech,1,1
mechdef_sentinel_STN-3Lb,Mech,1,1
mechdef_sentinel_STN-4D,Mech,1,1
mechdef_sentinel_STN-6S,Mech,1,1
mechdef_shayu_SYU-2B,Mech,1,1
mechdef_shayu_SYU-6B,Mech,1,1
mechdef_starslayer_STY-2C,Mech,1,1
mechdef_starslayer_STY-3C,Mech,1,1
mechdef_strider_SR1-0B,Mech,1,1
mechdef_strider_SR1-0F,Mech,1,1
mechdef_swordsman_SWD-2,Mech,1,1
mechdef_trebuchet_TBT-7M,Mech,1,1
mechdef_uziel_UZL-3P,Mech,1,1
mechdef_uziel_UZL-6P,Mech,1,1
mechdef_vindicator_VND-3L,Mech,1,1
mechdef_vindicator_VND-3Lr,Mech,1,1
mechdef_wraith_TR-1,Mech,1,1
mechdef_wraith_TR-2,Mech,1,1
mechdef_wraith_TR-3,Mech,1,1
mechdef_wyvern_WVE-5N,Mech,1,1
mechdef_wyvern_WVE-5Nb,Mech,1,1
mechdef_wyvern_WVE-9N,Mech,1,1
mechdef_conjurer_WVR-IIC-4,Mech,1,1
mechdef_conjurer_WVR-IIC-8,Mech,1,1
mechdef_darkcrow_DCR-1,Mech,1,1
mechdef_fox_FX-1,Mech,1,1
mechdef_grendel_GDL-A,Mech,1,1
mechdef_grendel_GDL-B,Mech,1,1
mechdef_grendel_GDL-PRIME,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-3,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-4,Mech,1,1
mechdef_mercuryii_MCY-100,Mech,1,1
mechdef_mercuryii_MCY-110,Mech,1,1
mechdef_naja_NJA-1,Mech,1,1
mechdef_naja_NJA-EC,Mech,1,1
mechdef_phantom_PHN-A,Mech,1,1
mechdef_phantom_PHN-B,Mech,1,1
mechdef_phantom_PHN-C,Mech,1,1
mechdef_phantom_PHN-PRIME,Mech,1,1
mechdef_septicemia_PRI-C-Z,Mech,1,1
mechdef_septicemia_PRI-PRIME,Mech,1,1
mechdef_shadowcat_SHC-C,Mech,1,1
mechdef_shadowcat_SHC-J,Mech,1,1
mechdef_stag_ST-14G,Mech,1,1
mechdef_stag_ST-24G,Mech,1,1
mechdef_stag_ST-34G,Mech,1,1
mechdef_vaporeagle_VGL-4,Mech,1,1
