itemCollection_fp_eae_ea_heavymechs,type,qty,weight
mechdef_axman_AXM-X2,Mech,1,1
mechdef_balar_BA1-X1,Mech,1,1
mechdef_balar_BA1-X2,Mech,1,1
mechdef_battleaxe_BKX-X,Mech,1,1
mechdef_battleaxe_BKX-X2,Mech,1,1
mechdef_bellerophon_BEL-X,Mech,1,1
mechdef_blackheart_BH-X1,Mech,1,1
mechdef_blackknight_BL-10-KNT-X2,Mech,1,1
mechdef_bombardier_BMB-X,Mech,1,1
mechdef_caesar_CES-X,Mech,1,1
mechdef_caesar_CES-X2,Mech,1,1
mechdef_carronade_CRN-X,Mech,1,1
mechdef_cataphract_CTF-X,Mech,1,1
mechdef_cataphract_CTF-X2,Mech,1,1
mechdef_catapult_CPLT-X1,Mech,1,1
mechdef_catapult_CPLT-X2,Mech,1,1
mechdef_champion_CHP-X,Mech,1,1
mechdef_champion_CHP-X2,Mech,1,1
mechdef_champion_CHP-X3,Mech,1,1
mechdef_coehorn_COE-X1,Mech,1,1
mechdef_coehorn_COE-X2,Mech,1,1
mechdef_daikyu_DAI-X1,Mech,1,1
mechdef_daikyu_DAI-X2,Mech,1,1
mechdef_dragonfire_DGR-X1,Mech,1,1
mechdef_dragonfire_DGR-X2,Mech,1,1
mechdef_dragonfire_DGR-X3,Mech,1,1
mechdef_dragon_DRG-X,Mech,1,1
mechdef_excalibur_EXC-X,Mech,1,1
mechdef_excalibur_EXC-X2,Mech,1,1
mechdef_excalibur_EXC-X3,Mech,1,1
mechdef_exterminator_EXT-4D-X,Mech,1,1
mechdef_exterminator_EXT-X,Mech,1,1
mechdef_granddragon_DRG-X,Mech,1,1
mechdef_grasshopper_GHR-X,Mech,1,1
mechdef_grasshopper_GHR-X2,Mech,1,1
mechdef_guillotine_GLT-X,Mech,1,1
mechdef_guillotine_GLT-X2,Mech,1,1
mechdef_hammerhands_HMH-X1,Mech,1,1
mechdef_hammerhands_HMH-X2,Mech,1,1
mechdef_hector_HOR-X,Mech,1,1
mechdef_hector_HOR-X2,Mech,1,1
mechdef_helios_HEL-X,Mech,1,1
mechdef_helios_HEL-X2,Mech,1,1
mechdef_ion_ION-X1,Mech,1,1
mechdef_ion_ION-X2,Mech,1,1
mechdef_ion_ION-X3,Mech,1,1
mechdef_jagermech_JM6-B-X,Mech,1,1
mechdef_jagermech_JM6-DD-X,Mech,1,1
mechdef_jinggau_JN-X,Mech,1,1
mechdef_jinggau_JN-X2,Mech,1,1
mechdef_jinggau_JN-X3,Mech,1,1
mechdef_koschei_KSC-X1,Mech,1,1
mechdef_koschei_KSC-X2,Mech,1,1
mechdef_lament_LMT-X,Mech,1,1
mechdef_lament_LMT-X2,Mech,1,1
mechdef_laohu_LHU-X2,Mech,1,1
mechdef_liberty_LBT-X1,Mech,1,1
mechdef_liberty_LBT-X2,Mech,1,1
mechdef_mackenzie_MK-X,Mech,1,1
mechdef_merlin_MLN-X1,Mech,1,1
mechdef_merlin_MLN-X2,Mech,1,1
mechdef_orion_ON1-X1,Mech,1,1
mechdef_orion_ON2-X2,Mech,1,1
mechdef_ostroc_OSR-X,Mech,1,1
mechdef_ostroc_OSR-X2,Mech,1,1
mechdef_ostsol_OTL-X,Mech,1,1
mechdef_ostsol_OTL-X2,Mech,1,1
mechdef_ostwar_OWR-X2,Mech,1,1
mechdef_penetrator_PTR-X1,Mech,1,1
mechdef_penetrator_PTR-X2,Mech,1,1
mechdef_princecrab_PRC-X1,Mech,1,1
mechdef_princecrab_PRC-X2,Mech,1,1
mechdef_princecrab_PRC-X3,Mech,1,1
mechdef_quickdraw_QKD-X1,Mech,1,1
mechdef_quickdraw_QKD-X2,Mech,1,1
mechdef_rakshasa_MDG-X1,Mech,1,1
mechdef_rakshasa_MDG-X2,Mech,1,1
mechdef_rifleman_RFL-X2,Mech,1,1
mechdef_roughneck_RGH-X1,Mech,1,1
mechdef_roughneck_RGH-X2,Mech,1,1
mechdef_roughneck_RGH-X3,Mech,1,1
mechdef_shootist_ST-X,Mech,1,1
mechdef_shootist_ST-X2,Mech,1,1
mechdef_thanatos_TNS-X2,Mech,1,1
mechdef_thunderbolt_TDR-X2,Mech,1,1
mechdef_thunder_THR-X1,Mech,1,1
mechdef_thunder_THR-X2,Mech,1,1
mechdef_tolson_TOL-X1,Mech,1,1
mechdef_tolson_TOL-X2,Mech,1,1
mechdef_tomahawk_THK-X1,Mech,1,1
mechdef_tomahawk_THK-X2,Mech,1,1
mechdef_toyama_TYM-X,Mech,1,1
mechdef_toyama_TYM-X2,Mech,1,1
mechdef_toyama_TYM-X3,Mech,1,1
mechdef_valkyrieii_VLK-II-1A-X,Mech,1,1
mechdef_valkyrieii_VLK-II-2A-X,Mech,1,1
mechdef_vonrohrs_VON-4RH-X,Mech,1,1
mechdef_vonrohrs_VON-4RH-X2,Mech,1,1
mechdef_warhammer_WHM-X2,Mech,1,1
mechdef_warhammer_WHM-X3,Mech,1,1
mechdef_yeoman_YMN-X,Mech,1,1
mechdef_blackpython_BP-X,Mech,1,1
mechdef_blackpython_BP-X2,Mech,1,1
mechdef_bowman_BWM-X1,Mech,1,1
mechdef_bowman_BWM-X2,Mech,1,1
mechdef_ebonjaguar_EBJ-X2,Mech,1,1
mechdef_ebonjaguar_EBJ-X3,Mech,1,1
mechdef_flamberge_FMB-X1,Mech,1,1
mechdef_flamberge_FMB-X2,Mech,1,1
mechdef_flamberge_FMB-X3,Mech,1,1
mechdef_glassspider_GS-X1,Mech,1,1
mechdef_glassspider_GS-X2,Mech,1,1
mechdef_glassspider_GS-X3,Mech,1,1
mechdef_grizzly_GRZ-X1,Mech,1,1
mechdef_grizzly_GRZ-X2,Mech,1,1
mechdef_hellbringer_HBR-X3,Mech,1,1
mechdef_hellfire_HLF-X3,Mech,1,1
mechdef_hellfire_HLF-X4,Mech,1,1
mechdef_lancelot_LNC25-C-X,Mech,1,1
mechdef_lancelot_LNC25-C2-X2,Mech,1,1
mechdef_lancelot_LNC25-X,Mech,1,1
mechdef_lancelot_LNC25-X2,Mech,1,1
mechdef_linebacker_LBK-X1,Mech,1,1
mechdef_linebacker_LBK-X2,Mech,1,1
mechdef_linebacker_LBK-X3,Mech,1,1
mechdef_lupus_LUPUS-X1,Mech,1,1
mechdef_lupus_LUPUS-X2,Mech,1,1
mechdef_maddog_MDG-X3,Mech,1,1
mechdef_minsk_MNK-101-X,Mech,1,1
mechdef_minsk_MNK-102-X,Mech,1,1
mechdef_minsk_MNK-103-X,Mech,1,1
mechdef_nightgyr_NTG-X2,Mech,1,1
mechdef_nightgyr_NTG-X3,Mech,1,1
mechdef_novacat_NCT-X1,Mech,1,1
mechdef_novacat_NCT-X2,Mech,1,1
mechdef_novacat_NCT-X3,Mech,1,1
mechdef_orioniic_ON1-IIC-X2,Mech,1,1
mechdef_riflemaniic_RFL-IIC-X,Mech,1,1
mechdef_sidewinder_SDW-X,Mech,1,1
mechdef_visionquest_VQ-X1,Mech,1,1
mechdef_visionquest_VQ-X2,Mech,1,1
mechdef_woodsman_WDM-WX,Mech,1,1
mechdef_woodsman_WDM-X,Mech,1,1
mechdef_woodsman_WDM-X2,Mech,1,1
mechdef_woodsman_WDM-X3,Mech,1,1
