itemCollection_fp_eae_heavymechs,type,qty,weight
mechdef_thanatos_TNS-4S,Mech,1,1
mechdef_thanatos_TNS-4T,Mech,1,1
mechdef_thunderbolt_TDR-5D,Mech,1,1
mechdef_valkyrieii_VLK-II-1A,Mech,1,1
mechdef_valkyrieii_VLK-II-2A,Mech,1,1
mechdef_warhammer_WHM-6K,Mech,1,1
mechdef_warhammer_WHM-6L-DC,Mech,1,1
mechdef_warhammer_WHM-6L,Mech,1,1
mechdef_warhammer_WHM-6R-DC,Mech,1,1
mechdef_yeoman_YMN-10-OR,Mech,1,1
mechdef_yeoman_YMN-6Y,Mech,1,1
mechdef_black_python_BP-2,Mech,1,1
mechdef_black_python_BP-3,Mech,1,1
mechdef_black_python_BP-Prime,Mech,1,1
mechdef_ebonjaguar_B,Mech,1,1
mechdef_ebonjaguar_C,Mech,1,1
mechdef_ebonjaguar_D,Mech,1,1
mechdef_ebonjaguar_PRIME,Mech,1,1
mechdef_ebonjaguar_X,Mech,1,1
mechdef_hellbringer_b,Mech,1,1
mechdef_hellbringer_Prime,Mech,1,1
mechdef_hellfire_HLF-1,Mech,1,1
mechdef_hellfire_HLF-2,Mech,1,1
mechdef_linebacker_LBK-A,Mech,1,1
mechdef_linebacker_LBK-B,Mech,1,1
mechdef_linebacker_LBK-D,Mech,1,1
mechdef_linebacker_LBK-PRIME,Mech,1,1
mechdef_lupus_A,Mech,1,1
mechdef_lupus_B,Mech,1,1
mechdef_lupus_PRIME,Mech,1,1
mechdef_madcat_MC-A,Mech,1,1
mechdef_madcat_MC-B,Mech,1,1
mechdef_madcat_MC-C,Mech,1,1
mechdef_madcat_MC-E,Mech,1,1
mechdef_madcat_MC-H,Mech,1,1
mechdef_madcat_MC-PRIME,Mech,1,1
mechdef_madcat_MC-PRYDE,Mech,1,1
mechdef_madcat_MC-S,Mech,1,1
mechdef_madcat_MC-Z,Mech,1,1
mechdef_maddog_A,Mech,1,1
mechdef_maddog_B,Mech,1,1
mechdef_maddog_PRIME,Mech,1,1
mechdef_nightgyr_NTG-B,Mech,1,1
mechdef_nightgyr_NTG-D,Mech,1,1
mechdef_nightgyr_NTG-JK,Mech,1,1
mechdef_nightgyr_NTG-PRIME,Mech,1,1
mechdef_NovaCat_NCT-A,Mech,1,1
mechdef_NovaCat_NCT-B,Mech,1,1
mechdef_NovaCat_NCT-C,Mech,1,1
mechdef_NovaCat_NCT-Prime,Mech,1,1
mechdef_orion_ON1-IIC-A,Mech,1,1
mechdef_orion_ON1-IIC-C,Mech,1,1
mechdef_orion_ON1-IIC,Mech,1,1
mechdef_rifleman_RFL-IIC-2,Mech,1,1
mechdef_rifleman_RFL-IIC-3,Mech,1,1
mechdef_rifleman_RFL-IIC-4,Mech,1,1
mechdef_rifleman_RFL-IIC-A,Mech,1,1
mechdef_rifleman_RFL-IIC,Mech,1,1
mechdef_summoner_PRIME,Mech,1,1
mechdef_summoner_PRIME_A,Mech,1,1
mechdef_summoner_PRIME_B,Mech,1,1
mechdef_summoner_PRIME_C,Mech,1,1
mechdef_summoner_PRIME_Z,Mech,1,1
mechdef_sunspider_SNS_A,Mech,1,1
mechdef_sunspider_SNS_B,Mech,1,1
mechdef_sunspider_SNS_C,Mech,1,1
mechdef_sunspider_SNS_D,Mech,1,1
mechdef_sunspider_SNS_PRIME,Mech,1,1
mechdef_anvil_ANV-3M,Mech,1,1
mechdef_anvil_ANV-5M,Mech,1,1
mechdef_argus_AGS-4D,Mech,1,1
mechdef_avatar_AV1-0G,Mech,1,1
mechdef_balar_BA1-O,Mech,1,1
mechdef_balar_BA1-OA,Mech,1,1
mechdef_balar_BA1-OB,Mech,1,1
mechdef_balar_BA1-OC,Mech,1,1
mechdef_battleaxe_BKX-7K,Mech,1,1
mechdef_battleaxe_BKX-7NC,Mech,1,1
mechdef_bellerophon_BEL-1X,Mech,1,1
mechdef_blackheart_BH-1,Mech,1,1
mechdef_blackknight_BL-10-KNT,Mech,1,1
mechdef_bombardier_BMB-12D,Mech,1,1
mechdef_bombardier_BMB-14C,Mech,1,1
mechdef_bombardier_BMB-14K,Mech,1,1
mechdef_caesar_CES-3R,Mech,1,1
mechdef_caesar_CES-4R,Mech,1,1
mechdef_carronade_CRN-7M,Mech,1,1
mechdef_cataphract_CTF-4XE,Mech,1,1
mechdef_champion_CHP-3N,Mech,1,1
mechdef_champion_CHP-C,Mech,1,1
mechdef_coehorn_COE-H5,Mech,1,1
mechdef_coehorn_COE-M7,Mech,1,1
mechdef_daikyu_DAI-01,Mech,1,1
mechdef_daikyu_DAI-02,Mech,1,1
mechdef_dragonfire_DGR-3F,Mech,1,1
mechdef_dragonfire_DGR-6FC,Mech,1,1
mechdef_dragonfire_DGR-9D,Mech,1,1
mechdef_excalibur_EXC-B2,Mech,1,1
mechdef_excalibur_EXC-B2b,Mech,1,1
mechdef_excalibur_EXC-CS,Mech,1,1
mechdef_excalibur_EXC-D1,Mech,1,1
mechdef_exterminator_EXT-4C,Mech,1,1
mechdef_exterminator_EXT-4D,Mech,1,1
mechdef_guillotine_GLT-3N,Mech,1,1
mechdef_guillotine_GLT-3NES,Mech,1,1
mechdef_guillotine_GLT-7M,Mech,1,1
mechdef_hammerhands_HMH-3D,Mech,1,1
mechdef_hammerhands_HMH-4D,Mech,1,1
mechdef_hector_HOR-1B,Mech,1,1
mechdef_hector_HOR-1C,Mech,1,1
mechdef_helios_HEL-3D,Mech,1,1
mechdef_helios_HEL-4A,Mech,1,1
mechdef_ion_ION-1R,Mech,1,1
mechdef_ion_ION-2R,Mech,1,1
mechdef_ion_ION-4R,Mech,1,1
mechdef_ion_ION-5R,Mech,1,1
mechdef_jagermech_JM6-DD,Mech,1,1
mechdef_jinggau_JN-G7L,Mech,1,1
mechdef_jinggau_JN-G7Lr,Mech,1,1
mechdef_jinggau_JN-G8A,Mech,1,1
mechdef_jinggau_JN-G8Ar,Mech,1,1
mechdef_koschei_KSC-3I,Mech,1,1
mechdef_koschei_KSC-3L,Mech,1,1
mechdef_koschei_KSC-4I,Mech,1,1
mechdef_koschei_KSC-4L,Mech,1,1
mechdef_koschei_KSC-5I,Mech,1,1
mechdef_koschei_KSC-5MC,Mech,1,1
mechdef_lament_LMT-3R,Mech,1,1
mechdef_laohu_LHU-3L,Mech,1,1
mechdef_liberty_LBT-O,Mech,1,1
mechdef_liberty_LBT-OA,Mech,1,1
mechdef_liberty_LBT-OC,Mech,1,1
mechdef_liberty_LBT-OD,Mech,1,1
mechdef_mackenzie_MK-22,Mech,1,1
mechdef_merlin_MLN-1D,Mech,1,1
mechdef_merlin_MLN-1E,Mech,1,1
mechdef_merlin_MLN-1P,Mech,1,1
mechdef_orion_ON2-K,Mech,1,1
mechdef_ostsol_OTL-7M,Mech,1,1
mechdef_ostwar_OWR-2M,Mech,1,1
mechdef_ostwar_OWR-3M,Mech,1,1
mechdef_penetrator_PTR-4D,Mech,1,1
mechdef_penetrator_PTR-4F,Mech,1,1
mechdef_princecrab_PRC-4B,Mech,1,1
mechdef_princecrab_PRC-5S,Mech,1,1
mechdef_princecrab_PRC-5X,Mech,1,1
mechdef_quickdraw_QKD-5K,Mech,1,1
mechdef_quickdraw_QKD-8K,Mech,1,1
mechdef_rakshasa_MDG-1A,Mech,1,1
mechdef_rakshasa_MDG-1Ar,Mech,1,1
mechdef_rakshasa_MDG-2A,Mech,1,1
mechdef_roughneck_RGH-2A,Mech,1,1
mechdef_shootist_ST-8A,Mech,1,1
mechdef_shootist_ST-9C,Mech,1,1
mechdef_thanatos_TNS-6T,Mech,1,1
mechdef_thanatos_TNS-7D,Mech,1,1
mechdef_thunder_THR-1L,Mech,1,1
mechdef_thunder_THR-2K,Mech,1,1
mechdef_thunder_THR-C4,Mech,1,1
mechdef_tolson_TOL-5N,Mech,1,1
mechdef_tolson_TOL-5Nb,Mech,1,1
mechdef_tomahawk_THK-6R,Mech,1,1
mechdef_tomahawk_THK-7M,Mech,1,1
mechdef_toyama_TYM-1A,Mech,1,1
mechdef_toyama_TYM-1B,Mech,1,1
mechdef_toyama_TYM-1C,Mech,1,1
mechdef_vonrohrs_VON-4RH-5,Mech,1,1
mechdef_vonrohrs_VON-4RH-6,Mech,1,1
mechdef_warhammer_WHM-7CS,Mech,1,1
mechdef_warhammer_WHM-C,Mech,1,1
mechdef_warhammer_WHM-C3,Mech,1,1
mechdef_blackpython_BP-5,Mech,1,1
mechdef_bowman_BWM-2,Mech,1,1
mechdef_bowman_BWM-3,Mech,1,1
mechdef_flamberge_FMB-2,Mech,1,1
mechdef_flamberge_FMB-3,Mech,1,1
mechdef_flamberge_FMB-A,Mech,1,1
mechdef_flamberge_FMB-D,Mech,1,1
mechdef_flamberge_FMB-Prime,Mech,1,1
mechdef_glassspider_GS-2,Mech,1,1
mechdef_glassspider_GS-3,Mech,1,1
mechdef_glassspider_GS-4,Mech,1,1
mechdef_glassspider_GS-PRIME,Mech,1,1
mechdef_grizzly_GRZ-1,Mech,1,1
mechdef_grizzly_GRZ-2,Mech,1,1
mechdef_hellbringer_HBR-A,Mech,1,1
mechdef_hellbringer_HBR-H,Mech,1,1
mechdef_hellbringer_HBR-T,Mech,1,1
mechdef_hellfire_HLF-A,Mech,1,1
mechdef_hellfire_HLF-B,Mech,1,1
mechdef_lancelot_LNC25-01-X,Mech,1,1
mechdef_lancelot_LNC25-01,Mech,1,1
mechdef_lancelot_LNC25-C,Mech,1,1
mechdef_lancelot_LNC25-C2,Mech,1,1
mechdef_maddog_MDG-D,Mech,1,1
mechdef_maddog_MDG-DD,Mech,1,1
mechdef_maddog_MDG-F,Mech,1,1
mechdef_minsk_MNK-101,Mech,1,1
mechdef_minsk_MNK-102,Mech,1,1
mechdef_minsk_MNK-103,Mech,1,1
mechdef_nightgyr_NTG-A,Mech,1,1
mechdef_nightgyr_NTG-E,Mech,1,1
mechdef_orioniic_ON1-IIC-B,Mech,1,1
mechdef_sidewinder_SDW-Prime,Mech,1,1
mechdef_visionquest_VQ-1NC,Mech,1,1
mechdef_visionquest_VQ-Clan,Mech,1,1
mechdef_woodsman_WDM-A,Mech,1,1
mechdef_woodsman_WDM-B,Mech,1,1
mechdef_woodsman_WDM-PRIME,Mech,1,1
mechdef_woodsman_WDM-W,Mech,1,1
