itemCollection_fp_eae_lightmedparts,type,qty,weight
mechdef_firestarter_FS9-A,MechPart,1,1
mechdef_firestarter_FS9-K,MechPart,1,1
mechdef_firestarter_FS9-M,MechPart,1,1
mechdef_flea_FLE-14,MechPart,1,1
mechdef_flea_FLE-16,MechPart,1,1
mechdef_griffin_GRF-3M,MechPart,1,1
mechdef_hatchetman_HCT-3G,MechPart,1,1
mechdef_hatchetman_HCT-3K,MechPart,1,1
mechdef_hatchetman_HCT-3NH,MechPart,1,1
mechdef_hellspawn_HSN-7D,MechPart,1,1
mechdef_hellspawn_HSN-8E,MechPart,1,1
mechdef_hollander_BZK-F3,MechPart,1,1
mechdef_hollander_BZK-G1,MechPart,1,1
mechdef_hornet_HNT-151,MechPart,1,1
mechdef_hunchback_HBK-4H,MechPart,1,1
mechdef_hunchback_HBK-4J,MechPart,1,1
mechdef_hunchback_HBK-4N,MechPart,1,1
mechdef_hunchback_HBK-4SP,MechPart,1,1
mechdef_huronw_HUR-WO-R4L,MechPart,1,1
mechdef_huronw_HUR-WO-R4N,MechPart,1,1
mechdef_huronw_HUR-WO-R4X,MechPart,1,1
mechdef_hussar_HSR-200-D,MechPart,1,1
mechdef_hussar_HSR-200-Db,MechPart,1,1
mechdef_icarusii_ICR-1S,MechPart,1,1
mechdef_javelin_JVN-RF,MechPart,1,1
mechdef_jenner_JR7-A,MechPart,1,1
mechdef_jenner_JR7-F,MechPart,1,1
mechdef_jenner_JR7-IIC-A,MechPart,1,1
mechdef_jenner_JR7-IIC,MechPart,1,1
mechdef_kintaro_KTO-20,MechPart,1,1
mechdef_locust_LCT-1D,MechPart,1,1
mechdef_locust_LCT-1L,MechPart,1,1
mechdef_locust_LCT-3V,MechPart,1,1
mechdef_locust_LCT-IIC,MechPart,1,1
mechdef_malak_C-MK-O,MechPart,1,1
mechdef_mongoose_MON-66,MechPart,1,1
mechdef_mongoose_MON-66b,MechPart,1,1
mechdef_osiris_OSR-3D,MechPart,1,1
mechdef_osiris_OSR-4D,MechPart,1,1
mechdef_osprey_OSP-15,MechPart,1,1
mechdef_owens_OW-1,MechPart,1,1
mechdef_panther_PNT-8Z,MechPart,1,1
mechdef_panther_PNT-9ALAG,MechPart,1,1
mechdef_phoenixhawk_PXH-1D,MechPart,1,1
mechdef_phoenixhawk_PXH-9,MechPart,1,1
mechdef_preta_C-PRT-OA_dominus,MechPart,1,1
mechdef_preta_C-PRT-O_invictus,MechPart,1,1
mechdef_raven_RVN-2X,MechPart,1,1
mechdef_raven_RVN-4X,MechPart,1,1
mechdef_shadowhawk_SHD-2K,MechPart,1,1
mechdef_shadowhawk_SHD-3H,MechPart,1,1
mechdef_shadowhawk_SHD-3K,MechPart,1,1
mechdef_shadowhawk_SHD-5M,MechPart,1,1
mechdef_spider_SDR-5D,MechPart,1,1
mechdef_stinger_STG-3G,MechPart,1,1
mechdef_stinger_STG-3Gb,MechPart,1,1
mechdef_stinger_STG-3R,MechPart,1,1
mechdef_stinger_STG-5T,MechPart,1,1
mechdef_strider_SR1-0,MechPart,1,1
mechdef_talos_TLS-1B,MechPart,1,1
mechdef_toro_TR-A-6,MechPart,1,1
mechdef_trebuchet_TBT-5J,MechPart,1,1
mechdef_trebuchet_TBT-5S,MechPart,1,1
mechdef_trooper_TP-1R,MechPart,1,1
mechdef_urbanmech_UM-R60C,MechPart,1,1
mechdef_urbanmech_UM-R60X,MechPart,1,1
mechdef_urbanmech_UM-RM,MechPart,1,1
mechdef_uziel_UZL-2S,MechPart,1,1
mechdef_uziel_UZL-3S,MechPart,1,1
mechdef_valiant_V4-LNT-K7,MechPart,1,1
mechdef_valkyrie_VLK-QA,MechPart,1,1
mechdef_vindicator_VND-1SIC,MechPart,1,1
mechdef_vindicator_VND-1X,MechPart,1,1
mechdef_vulcan_VT-BL,MechPart,1,1
mechdef_wasp_WSP-1A,MechPart,1,1
mechdef_wasp_WSP-1D,MechPart,1,1
mechdef_wasp_WSP-1K,MechPart,1,1
mechdef_wolfhound_WLF-1,MechPart,1,1
mechdef_wolfhound_WLF-1A,MechPart,1,1
mechdef_wolfhound_WLF-2,MechPart,1,1
mechdef_wolfhound_WLF-GRN,MechPart,1,1
mechdef_wolverine_WVR-5M,MechPart,1,1
mechdef_wolverine_WVR-6D,MechPart,1,1
mechdef_wolverine_WVR-6M,MechPart,1,1
mechdef_wolverine_WVR-6T,MechPart,1,1
mechdef_wolverine_WVR-7K,MechPart,1,1
mechdef_adder_ADR-A,MechPart,1,1
mechdef_adder_ADR-B,MechPart,1,1
mechdef_adder_ADR-C,MechPart,1,1
mechdef_adder_ADR-D,MechPart,1,1
mechdef_adder_ADR-K,MechPart,1,1
mechdef_adder_ADR-Prime,MechPart,1,1
mechdef_arcticcheetah_A,MechPart,1,1
mechdef_arcticcheetah_B,MechPart,1,1
mechdef_arcticcheetah_C,MechPart,1,1
mechdef_arcticcheetah_PRIME,MechPart,1,1
mechdef_arcticwolf_ACW-1,MechPart,1,1
mechdef_arcticwolf_ACW-BK,MechPart,1,1
mechdef_arcticwolf_ACW-P,MechPart,1,1
mechdef_blacklanner_BKL-A,MechPart,1,1
mechdef_blacklanner_BKL-C,MechPart,1,1
mechdef_blacklanner_BKL-D,MechPart,1,1
mechdef_blacklanner_BKL-G,MechPart,1,1
mechdef_blacklanner_BKL-PRIME,MechPart,1,1
mechdef_cougar_CGR-A,MechPart,1,1
mechdef_cougar_CGR-B,MechPart,1,1
mechdef_cougar_CGR-C,MechPart,1,1
mechdef_cougar_CGR-D,MechPart,1,1
mechdef_cougar_CGR-Prime,MechPart,1,1
mechdef_firemoth_FM-B,MechPart,1,1
mechdef_firemoth_FM-D,MechPart,1,1
mechdef_firemoth_FM-PRIME,MechPart,1,1
mechdef_hellhound_1,MechPart,1,1
mechdef_hellhound_2,MechPart,1,1
mechdef_hellhound_3,MechPart,1,1
mechdef_hunchback_HBK-IIC-B,MechPart,1,1
mechdef_hunchback_HBK-IIC,MechPart,1,1
mechdef_huntsman_HMN-A,MechPart,1,1
mechdef_huntsman_HMN-B,MechPart,1,1
mechdef_huntsman_HMN-C,MechPart,1,1
mechdef_huntsman_HMN-PRIME,MechPart,1,1
mechdef_iceferret_IFR-A,MechPart,1,1
mechdef_iceferret_IFR-B,MechPart,1,1
mechdef_iceferret_IFR-C,MechPart,1,1
mechdef_iceferret_IFR-PRIME,MechPart,1,1
mechdef_incubus_1,MechPart,1,1
mechdef_incubus_2,MechPart,1,1
mechdef_incubus_3,MechPart,1,1
mechdef_kitfox_A,MechPart,1,1
mechdef_kitfox_B,MechPart,1,1
mechdef_kitfox_D,MechPart,1,1
mechdef_kitfox_PRIME,MechPart,1,1
mechdef_medusa_MED-1,MechPart,1,1
mechdef_medusa_MED-2,MechPart,1,1
mechdef_medusa_MED-3,MechPart,1,1
mechdef_medusa_MED-4,MechPart,1,1
mechdef_mistlynx_MLX-B,MechPart,1,1
mechdef_mistlynx_MLX-C,MechPart,1,1
mechdef_mistlynx_MLX-G,MechPart,1,1
mechdef_mistlynx_MLX-PRIME,MechPart,1,1
mechdef_nova_A,MechPart,1,1
mechdef_nova_B,MechPart,1,1
mechdef_nova_C,MechPart,1,1
mechdef_nova_D,MechPart,1,1
mechdef_nova_PRIME,MechPart,1,1
mechdef_piranha_PIR-1,MechPart,1,1
mechdef_piranha_PIR-2,MechPart,1,1
mechdef_piranha_PIR-CIPHER,MechPart,1,1
mechdef_septicemia_PRI-A,MechPart,1,1
mechdef_septicemia_PRI-D,MechPart,1,1
mechdef_shadowcat_A,MechPart,1,1
mechdef_shadowcat_B,MechPart,1,1
mechdef_shadowcat_PRIME,MechPart,1,1
mechdef_stormcrow_A,MechPart,1,1
mechdef_stormcrow_B,MechPart,1,1
mechdef_stormcrow_C,MechPart,1,1
mechdef_stormcrow_PRIME,MechPart,1,1
mechdef_vaporeagle_VGL-1,MechPart,1,1
mechdef_vaporeagle_VGL-2,MechPart,1,1
mechdef_vaporeagle_VGL-3,MechPart,1,1
mechdef_vaporeagle_VGL-RIVAL,MechPart,1,1
mechdef_viper_A,MechPart,1,1
mechdef_viper_B,MechPart,1,1
mechdef_viper_C,MechPart,1,1
mechdef_viper_D,MechPart,1,1
mechdef_viper_PRIME,MechPart,1,1
mechdef_blackfalcon_BF-LAM-1,MechPart,1,1
mechdef_firebird_FB-LAM-1,MechPart,1,1
mechdef_jaguar_JGR-LAM-1,MechPart,1,1
mechdef_lancer_LNC-LAM-1,MechPart,1,1
mechdef_phoenixhawk_PHX-HK1,MechPart,1,1
mechdef_saber_SBR-LAM-1,MechPart,1,1
mechdef_shadowhawk_SHD-X1,MechPart,1,1
mechdef_shadowhawk_SHD-X2,MechPart,1,1
mechdef_stinger_STG-A1,MechPart,1,1
mechdef_thunderbird_TB-LAM-1,MechPart,1,1
mechdef_waneta_S-WN-2LAM,MechPart,1,1
mechdef_wasp_WSP-100B,MechPart,1,1
mechdef_whiteeagle_WE-LAM-1,MechPart,1,1
mechdef_yureix_YR-LAM-X,MechPart,1,1
mechdef_yurei_S-YR-1LAM,MechPart,1,1
mechdef_apollo_APL-1M,MechPart,1,1
mechdef_apollo_APL-2S,MechPart,1,1
mechdef_apollo_APL-3T,MechPart,1,1
mechdef_apollo_APL-C,MechPart,1,1
mechdef_assassinii_ASNII-O,MechPart,1,1
mechdef_assassinii_ASNII-OA,MechPart,1,1
mechdef_assassinii_ASNII-OB,MechPart,1,1
mechdef_assassinii_ASNII-OC,MechPart,1,1
mechdef_assassinii_ASNII-OD,MechPart,1,1
mechdef_assassin_ASN-26,MechPart,1,1
mechdef_assassin_ASN-27,MechPart,1,1
mechdef_blackjack_BJ-1XO,MechPart,1,1
mechdef_bombard_BMB-013,MechPart,1,1
mechdef_bombard_BMB-01X,MechPart,1,1
mechdef_bombard_BMB-01Y,MechPart,1,1
mechdef_centurion_CN9-D,MechPart,1,1
mechdef_centurion_CN9-D3D,MechPart,1,1
mechdef_chameleon_CLN-7V,MechPart,1,1
mechdef_chameleon_CLN-7W,MechPart,1,1
mechdef_chameleon_CLN-7Z,MechPart,1,1
mechdef_chameleon_CLN-8V,MechPart,1,1
mechdef_chimera_CMA-1S,MechPart,1,1
mechdef_cicada_CDA-3F,MechPart,1,1
mechdef_cicada_CDA-3M,MechPart,1,1
mechdef_clint_CLNT-2-3U,MechPart,1,1
mechdef_cossack_C-1FC,MechPart,1,1
mechdef_cossack_C-SK1,MechPart,1,1
mechdef_crab_CRB-27sl,MechPart,1,1
mechdef_crab_CRB-30,MechPart,1,1
mechdef_cyclone_CYC-A1,MechPart,1,1
mechdef_cyclone_CYC-C1,MechPart,1,1
mechdef_dervish_DV-6Md,MechPart,1,1
mechdef_dervish_DV-8D,MechPart,1,1
mechdef_enfield_END-6J-EC,MechPart,1,1
mechdef_enfield_END-6Q,MechPart,1,1
mechdef_enforcer_ENF-5D,MechPart,1,1
mechdef_eris_ERS-2H,MechPart,1,1
mechdef_eris_ERS-2N,MechPart,1,1
mechdef_falcon_FLC-4Nb,MechPart,1,1
mechdef_falcon_FLC-4P,MechPart,1,1
mechdef_firefly_FFL-3A,MechPart,1,1
mechdef_firefly_FFL-3SLE,MechPart,1,1
mechdef_firefly_FFL-C,MechPart,1,1
mechdef_gladiator_GLD-3R,MechPart,1,1
mechdef_gladiator_GLD-4R,MechPart,1,1
mechdef_gladiator_GLD-5R,MechPart,1,1
mechdef_hellspawn_HSN-10g,MechPart,1,1
mechdef_hellspawn_HSN-9F,MechPart,1,1
mechdef_hoplite_HOP-4B,MechPart,1,1
mechdef_hoplite_HOP-4Bb,MechPart,1,1
mechdef_hoplite_HOP-4C,MechPart,1,1
mechdef_hoplite_HOP-4Cb,MechPart,1,1
mechdef_hoplite_HOP-4D,MechPart,1,1
mechdef_hoplite_HOP-C,MechPart,1,1
mechdef_hornet_HNT-161,MechPart,1,1
mechdef_hornet_HNT-181,MechPart,1,1
mechdef_icarusii_ICR-2S,MechPart,1,1
mechdef_jackrabbitii_JKR-A,MechPart,1,1
mechdef_jackrabbit_JKR-8T,MechPart,1,1
mechdef_jackrabbit_JKR-9R,MechPart,1,1
mechdef_jennerrattlesnake_JR7-31,MechPart,1,1
mechdef_kintaro_KTO-19,MechPart,1,1
mechdef_kintaro_KTO-19b,MechPart,1,1
mechdef_komodo_KIM-2,MechPart,1,1
mechdef_komodo_KIM-2A,MechPart,1,1
mechdef_kyudo_KY2-D-02,MechPart,1,1
mechdef_kyudo_KY2-D-03,MechPart,1,1
mechdef_locust_LCT-1Vb,MechPart,1,1
mechdef_lynx_LNX-9Q,MechPart,1,1
mechdef_lynx_LNX-C,MechPart,1,1
mechdef_mercury_MCY-99,MechPart,1,1
mechdef_mercury_MCY-99W,MechPart,1,1
mechdef_mongoose_MON-C,MechPart,1,1
mechdef_mushu_MHU-2R,MechPart,1,1
mechdef_mushu_MHU-3R,MechPart,1,1
mechdef_mushu_MHU-4R,MechPart,1,1
mechdef_nighthawk_NTK-2Q,MechPart,1,1
mechdef_osprey_OSP-26,MechPart,1,1
mechdef_owens_OW-1B,MechPart,1,1
mechdef_phoenixhawk_PXH-C,MechPart,1,1
mechdef_raptor_RTX1-O,MechPart,1,1
mechdef_raptor_RTX1-OA,MechPart,1,1
mechdef_raptor_RTX1-OB,MechPart,1,1
mechdef_raptor_RTX1-OC,MechPart,1,1
mechdef_sentinel_STN-3L,MechPart,1,1
mechdef_sentinel_STN-3Lb,MechPart,1,1
mechdef_sentinel_STN-4D,MechPart,1,1
mechdef_sentinel_STN-6S,MechPart,1,1
mechdef_shayu_SYU-2B,MechPart,1,1
mechdef_shayu_SYU-6B,MechPart,1,1
mechdef_sling_SL-1G,MechPart,1,1
mechdef_sling_SL-1H,MechPart,1,1
mechdef_spider_SDR-7K,MechPart,1,1
mechdef_spider_SDR-9M,MechPart,1,1
mechdef_starslayer_STY-2C,MechPart,1,1
mechdef_starslayer_STY-3C,MechPart,1,1
mechdef_strider_SR1-0B,MechPart,1,1
mechdef_strider_SR1-0F,MechPart,1,1
mechdef_swordsman_SWD-2,MechPart,1,1
mechdef_talon_TLN-5V,MechPart,1,1
mechdef_talon_TLN-5W,MechPart,1,1
mechdef_talon_TLN-6W,MechPart,1,1
mechdef_toro_TR-B-12,MechPart,1,1
mechdef_toro_TR-B-9,MechPart,1,1
mechdef_trebuchet_TBT-7M,MechPart,1,1
mechdef_urbanmechk-9_UM-K9,MechPart,1,1
mechdef_urbanmech_UM-R100,MechPart,1,1
mechdef_urbanmech_UM-R68,MechPart,1,1
mechdef_uziel_UZL-3P,MechPart,1,1
mechdef_uziel_UZL-6P,MechPart,1,1
mechdef_valkyrie_VLK-C,MechPart,1,1
mechdef_valkyrie_VLK-QD4,MechPart,1,1
mechdef_vindicator_VND-3L,MechPart,1,1
mechdef_vindicator_VND-3Lr,MechPart,1,1
mechdef_wight_WGT-1LAW-SC,MechPart,1,1
mechdef_wight_WGT-2LAW,MechPart,1,1
mechdef_wight_WGT-2SC,MechPart,1,1
mechdef_wolfhound_WLF-4W,MechPart,1,1
mechdef_wraith_TR-1,MechPart,1,1
mechdef_wraith_TR-2,MechPart,1,1
mechdef_wraith_TR-3,MechPart,1,1
mechdef_wyvern_WVE-5N,MechPart,1,1
mechdef_wyvern_WVE-5Nb,MechPart,1,1
mechdef_wyvern_WVE-9N,MechPart,1,1
mechdef_conjurer_WVR-IIC-4,MechPart,1,1
mechdef_conjurer_WVR-IIC-8,MechPart,1,1
mechdef_cougar_CGR-XR,MechPart,1,1
mechdef_darkcrow_DCR-1,MechPart,1,1
mechdef_fox_FX-1,MechPart,1,1
mechdef_grendel_GDL-A,MechPart,1,1
mechdef_grendel_GDL-B,MechPart,1,1
mechdef_grendel_GDL-PRIME,MechPart,1,1
mechdef_howler_HWL-1,MechPart,1,1
mechdef_howler_HWL-2,MechPart,1,1
mechdef_howler_HWL-5,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-3,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-4,MechPart,1,1
mechdef_incubus_INC-4,MechPart,1,1
mechdef_incubus_INC-5,MechPart,1,1
mechdef_locust_LCT-IIC-2,MechPart,1,1
mechdef_mercuryii_MCY-100,MechPart,1,1
mechdef_mercuryii_MCY-110,MechPart,1,1
mechdef_naja_NJA-1,MechPart,1,1
mechdef_naja_NJA-EC,MechPart,1,1
mechdef_phantom_PHN-A,MechPart,1,1
mechdef_phantom_PHN-B,MechPart,1,1
mechdef_phantom_PHN-C,MechPart,1,1
mechdef_phantom_PHN-PRIME,MechPart,1,1
mechdef_piranha_PIR-3,MechPart,1,1
mechdef_septicemia_PRI-C-Z,MechPart,1,1
mechdef_septicemia_PRI-PRIME,MechPart,1,1
mechdef_shadowcat_SHC-C,MechPart,1,1
mechdef_shadowcat_SHC-J,MechPart,1,1
mechdef_solitaire_SLT-1,MechPart,1,1
mechdef_stag_ST-14G,MechPart,1,1
mechdef_stag_ST-24G,MechPart,1,1
mechdef_stag_ST-34G,MechPart,1,1
mechdef_tiburon_TBN-1,MechPart,1,1
mechdef_tiburon_TBN-2,MechPart,1,1
mechdef_vaporeagle_VGL-4,MechPart,1,1
