itemCollection_fp_eae_ef_medheavyparts,type,qty,weight
mechdef_chimera_CMA-1SX,MechPart,1,1
mechdef_clint_CLNT-2-3TX,MechPart,1,1
mechdef_clint_CLNT-2-3UX,MechPart,1,1
mechdef_crab_CRB-27slX,MechPart,1,1
mechdef_dervish_DV-6MdX,MechPart,1,1
mechdef_dragonfire_DGR-3FX,MechPart,1,1
mechdef_dragon_DRG-1NX,MechPart,1,1
mechdef_enfield_END-6QX,MechPart,1,1
mechdef_excalibur_EXC-B2bX,MechPart,1,1
mechdef_gladiator_GLD-3RX,MechPart,1,1
mechdef_gladiator_GLD-4RX,MechPart,1,1
mechdef_guillotine_GLT-3NESPX,MechPart,1,1
mechdef_guillotine_GLT-3NX,MechPart,1,1
mechdef_hammerhands_HMH-3DX,MechPart,1,1
mechdef_hammerhands_HMH-4DX,MechPart,1,1
mechdef_hector_HOR-1BX,MechPart,1,1
mechdef_hector_HOR-1CX,MechPart,1,1
mechdef_helios_HEL-3DX,MechPart,1,1
mechdef_hoplite_HOP-4CX,MechPart,1,1
mechdef_hoplite_HOP-4DX,MechPart,1,1
mechdef_icarusii_ICR-1SX,MechPart,1,1
mechdef_icarusii_ICR-2SX,MechPart,1,1
mechdef_jinggau_JN-G8AX,MechPart,1,1
mechdef_komodo_KIM-2X,MechPart,1,1
mechdef_koschei_KSC-3IX,MechPart,1,1
mechdef_koschei_KSC-3LX,MechPart,1,1
mechdef_kyudo_KY2-D-02X,MechPart,1,1
mechdef_kyudo_KY2-D-03X,MechPart,1,1
mechdef_liberty_LBT-ODX,MechPart,1,1
mechdef_liberty_LBT-OX,MechPart,1,1
mechdef_lynx_LNX-9QX,MechPart,1,1
mechdef_merlin_MLN-1AX,MechPart,1,1
mechdef_merlin_MLN-1PX,MechPart,1,1
mechdef_osprey_OSP-15X,MechPart,1,1
mechdef_ostroc_OSR-2MX,MechPart,1,1
mechdef_ostwar_OWR-2MX,MechPart,1,1
mechdef_ostwar_OWR-3MX,MechPart,1,1
mechdef_penetrator_PTR-4DX,MechPart,1,1
mechdef_penetrator_PTR-4FX,MechPart,1,1
mechdef_quickdraw_QKD-5KX,MechPart,1,1
mechdef_quickdraw_QKD-8KX,MechPart,1,1
mechdef_rakshasa_MDG-1AX,MechPart,1,1
mechdef_rifleman_RFL-3MX,MechPart,1,1
mechdef_roughneck_RGH-1AX,MechPart,1,1
mechdef_roughneck_RGH-2AX,MechPart,1,1
mechdef_roughneck_RGH-3AX,MechPart,1,1
mechdef_sentinel_STN-3LbX,MechPart,1,1
mechdef_sentinel_STN-3LX,MechPart,1,1
mechdef_shayu_SYU-2BX,MechPart,1,1
mechdef_shootist_ST-8AX,MechPart,1,1
mechdef_shootist_ST-9CX,MechPart,1,1
mechdef_starslayer_STY-2CX,MechPart,1,1
mechdef_starslayer_STY-3CX,MechPart,1,1
mechdef_strider_SR1-0BX,MechPart,1,1
mechdef_strider_SR1-0FX,MechPart,1,1
mechdef_strider_SR1-0X,MechPart,1,1
mechdef_swordsman_SWD-2X,MechPart,1,1
mechdef_thunder_THR-1LX,MechPart,1,1
mechdef_tolson_TOL-5NbX,MechPart,1,1
mechdef_tolson_TOL-5NX,MechPart,1,1
mechdef_tomahawk_THK-7MX,MechPart,1,1
mechdef_trebuchet_TBT-5NX,MechPart,1,1
mechdef_valkyrieii_VLK-II-1AX,MechPart,1,1
mechdef_valkyrieii_VLK-II-2AX,MechPart,1,1
mechdef_wraith_TR-1X,MechPart,1,1
mechdef_wyvern_WVE-5NbX,MechPart,1,1
mechdef_wyvern_WVE-9NX,MechPart,1,1
mechdef_lancelot_LNC25-01-XX,MechPart,1,1
mechdef_lancelot_LNC25-01X,MechPart,1,1
