itemCollection_fp_eae_eas_asltsuperparts,type,qty,weight
mechdef_victor_VTR-S2,MechPart,1,1
mechdef_viking_VKG-S1,MechPart,1,1
mechdef_viking_VKG-S2,MechPart,1,1
mechdef_yazata_X-YZT-S,MechPart,1,1
mechdef_ymir_BWP-S,MechPart,1,1
mechdef_ymir_BWP-S2,MechPart,1,1
mechdef_alpha_ALP-S,MechPart,1,1
mechdef_bane_BAN-S2,MechPart,1,1
mechdef_bane_BAN-S3,MechPart,1,1
mechdef_bloodasp_BAS-S2,MechPart,1,1
mechdef_bloodasp_BAS-S3,MechPart,1,1
mechdef_bloodasp_BAS-S4,MechPart,1,1
mechdef_bruin_BRN-S1,MechPart,1,1
mechdef_bruin_BRN-S2,MechPart,1,1
mechdef_canis_CAS-S1,MechPart,1,1
mechdef_canis_CAS-S2,MechPart,1,1
mechdef_direwolfs_DWF-S3,MechPart,1,1
mechdef_executioner_EXE-S2,MechPart,1,1
mechdef_gargoyle_GAR-S2,MechPart,1,1
mechdef_hammerblow_HBL-S,MechPart,1,1
mechdef_highlanderiic_HGN-IIC-2-S,MechPart,1,1
mechdef_hyperion_HYP-S,MechPart,1,1
mechdef_ironcheetah_ICH-S1,MechPart,1,1
mechdef_ironcheetah_ICH-S2,MechPart,1,1
mechdef_jadephoenix_JDP-S1,MechPart,1,1
mechdef_jadephoenix_JDP-S2,MechPart,1,1
mechdef_kingfisher_KFR-S,MechPart,1,1
mechdef_kingfisher_KFR-WS,MechPart,1,1
mechdef_kodiak_KDK-S2,MechPart,1,1
mechdef_madcatmkii_MCII-S2,MechPart,1,1
mechdef_marauderiic_MAD-IIC-S2,MechPart,1,1
mechdef_marauderiic_MAD-IIC-S3,MechPart,1,1
mechdef_nagaii_NGA-S1,MechPart,1,1
mechdef_nagaii_NGA-S2,MechPart,1,1
mechdef_onager_ONG-S1,MechPart,1,1
mechdef_onager_ONG-S2,MechPart,1,1
mechdef_scylla_SCL-S,MechPart,1,1
mechdef_scylla_SCL-WS,MechPart,1,1
mechdef_shrike_SRK-S1,MechPart,1,1
mechdef_shrike_SRK-S2,MechPart,1,1
mechdef_snowflame_SFL-S,MechPart,1,1
mechdef_stonerhino_STR-S2,MechPart,1,1
mechdef_stonerhino_STR-S3,MechPart,1,1
mechdef_turkina_TKN-S2,MechPart,1,1
mechdef_turkina_TKN-S3,MechPart,1,1
mechdef_warhammeriic_WHM-IIC-S2,MechPart,1,1
mechdef_warhawk_WHK-S2,MechPart,1,1
