itemCollection_fp_eae_medheavyparts,type,qty,weight
mechdef_yeoman_YMN-6Y,MechPart,1,1
mechdef_arcticwolf_ACW-1,MechPart,1,1
mechdef_arcticwolf_ACW-BK,MechPart,1,1
mechdef_arcticwolf_ACW-P,MechPart,1,1
mechdef_blacklanner_BKL-A,MechPart,1,1
mechdef_blacklanner_BKL-C,MechPart,1,1
mechdef_blacklanner_BKL-D,MechPart,1,1
mechdef_blacklanner_BKL-G,MechPart,1,1
mechdef_blacklanner_BKL-PRIME,MechPart,1,1
mechdef_black_python_BP-2,MechPart,1,1
mechdef_black_python_BP-3,MechPart,1,1
mechdef_black_python_BP-Prime,MechPart,1,1
mechdef_ebonjaguar_B,MechPart,1,1
mechdef_ebonjaguar_C,MechPart,1,1
mechdef_ebonjaguar_D,MechPart,1,1
mechdef_ebonjaguar_PRIME,MechPart,1,1
mechdef_ebonjaguar_X,MechPart,1,1
mechdef_hellbringer_b,MechPart,1,1
mechdef_hellbringer_Prime,MechPart,1,1
mechdef_hellfire_HLF-1,MechPart,1,1
mechdef_hellfire_HLF-2,MechPart,1,1
mechdef_hellhound_1,MechPart,1,1
mechdef_hellhound_2,MechPart,1,1
mechdef_hellhound_3,MechPart,1,1
mechdef_hunchback_HBK-IIC-B,MechPart,1,1
mechdef_hunchback_HBK-IIC,MechPart,1,1
mechdef_huntsman_HMN-A,MechPart,1,1
mechdef_huntsman_HMN-B,MechPart,1,1
mechdef_huntsman_HMN-C,MechPart,1,1
mechdef_huntsman_HMN-PRIME,MechPart,1,1
mechdef_iceferret_IFR-A,MechPart,1,1
mechdef_iceferret_IFR-B,MechPart,1,1
mechdef_iceferret_IFR-C,MechPart,1,1
mechdef_iceferret_IFR-PRIME,MechPart,1,1
mechdef_linebacker_LBK-A,MechPart,1,1
mechdef_linebacker_LBK-B,MechPart,1,1
mechdef_linebacker_LBK-D,MechPart,1,1
mechdef_linebacker_LBK-PRIME,MechPart,1,1
mechdef_lupus_A,MechPart,1,1
mechdef_lupus_B,MechPart,1,1
mechdef_lupus_PRIME,MechPart,1,1
mechdef_madcat_MC-A,MechPart,1,1
mechdef_madcat_MC-B,MechPart,1,1
mechdef_madcat_MC-C,MechPart,1,1
mechdef_madcat_MC-E,MechPart,1,1
mechdef_madcat_MC-H,MechPart,1,1
mechdef_madcat_MC-PRIME,MechPart,1,1
mechdef_madcat_MC-PRYDE,MechPart,1,1
mechdef_madcat_MC-S,MechPart,1,1
mechdef_madcat_MC-Z,MechPart,1,1
mechdef_maddog_A,MechPart,1,1
mechdef_maddog_B,MechPart,1,1
mechdef_maddog_PRIME,MechPart,1,1
mechdef_medusa_MED-1,MechPart,1,1
mechdef_medusa_MED-2,MechPart,1,1
mechdef_medusa_MED-3,MechPart,1,1
mechdef_medusa_MED-4,MechPart,1,1
mechdef_nightgyr_NTG-B,MechPart,1,1
mechdef_nightgyr_NTG-D,MechPart,1,1
mechdef_nightgyr_NTG-JK,MechPart,1,1
mechdef_nightgyr_NTG-PRIME,MechPart,1,1
mechdef_NovaCat_NCT-A,MechPart,1,1
mechdef_NovaCat_NCT-B,MechPart,1,1
mechdef_NovaCat_NCT-C,MechPart,1,1
mechdef_NovaCat_NCT-Prime,MechPart,1,1
mechdef_nova_A,MechPart,1,1
mechdef_nova_B,MechPart,1,1
mechdef_nova_C,MechPart,1,1
mechdef_nova_D,MechPart,1,1
mechdef_nova_PRIME,MechPart,1,1
mechdef_orion_ON1-IIC-A,MechPart,1,1
mechdef_orion_ON1-IIC-C,MechPart,1,1
mechdef_orion_ON1-IIC,MechPart,1,1
mechdef_rifleman_RFL-IIC-2,MechPart,1,1
mechdef_rifleman_RFL-IIC-3,MechPart,1,1
mechdef_rifleman_RFL-IIC-4,MechPart,1,1
mechdef_rifleman_RFL-IIC-A,MechPart,1,1
mechdef_rifleman_RFL-IIC,MechPart,1,1
mechdef_septicemia_PRI-A,MechPart,1,1
mechdef_septicemia_PRI-D,MechPart,1,1
mechdef_shadowcat_A,MechPart,1,1
mechdef_shadowcat_B,MechPart,1,1
mechdef_shadowcat_PRIME,MechPart,1,1
mechdef_stormcrow_A,MechPart,1,1
mechdef_stormcrow_B,MechPart,1,1
mechdef_stormcrow_C,MechPart,1,1
mechdef_stormcrow_PRIME,MechPart,1,1
mechdef_summoner_PRIME,MechPart,1,1
mechdef_summoner_PRIME_A,MechPart,1,1
mechdef_summoner_PRIME_B,MechPart,1,1
mechdef_summoner_PRIME_C,MechPart,1,1
mechdef_summoner_PRIME_Z,MechPart,1,1
mechdef_sunspider_SNS_A,MechPart,1,1
mechdef_sunspider_SNS_B,MechPart,1,1
mechdef_sunspider_SNS_C,MechPart,1,1
mechdef_sunspider_SNS_D,MechPart,1,1
mechdef_sunspider_SNS_PRIME,MechPart,1,1
mechdef_vaporeagle_VGL-1,MechPart,1,1
mechdef_vaporeagle_VGL-2,MechPart,1,1
mechdef_vaporeagle_VGL-3,MechPart,1,1
mechdef_vaporeagle_VGL-RIVAL,MechPart,1,1
mechdef_viper_A,MechPart,1,1
mechdef_viper_B,MechPart,1,1
mechdef_viper_C,MechPart,1,1
mechdef_viper_D,MechPart,1,1
mechdef_viper_PRIME,MechPart,1,1
mechdef_jaguar_JGR-LAM-1,MechPart,1,1
mechdef_lancer_LNC-LAM-1,MechPart,1,1
mechdef_phoenixhawk_PHX-HK1,MechPart,1,1
mechdef_shadowhawk_SHD-X1,MechPart,1,1
mechdef_shadowhawk_SHD-X2,MechPart,1,1
mechdef_thunderbird_TB-LAM-1,MechPart,1,1
mechdef_waneta_S-WN-2LAM,MechPart,1,1
mechdef_whiteeagle_WE-LAM-1,MechPart,1,1
mechdef_yureix_YR-LAM-X,MechPart,1,1
mechdef_yurei_S-YR-1LAM,MechPart,1,1
mechdef_anvil_ANV-3M,MechPart,1,1
mechdef_anvil_ANV-5M,MechPart,1,1
mechdef_apollo_APL-1M,MechPart,1,1
mechdef_apollo_APL-2S,MechPart,1,1
mechdef_apollo_APL-3T,MechPart,1,1
mechdef_apollo_APL-C,MechPart,1,1
mechdef_argus_AGS-4D,MechPart,1,1
mechdef_assassinii_ASNII-O,MechPart,1,1
mechdef_assassinii_ASNII-OA,MechPart,1,1
mechdef_assassinii_ASNII-OB,MechPart,1,1
mechdef_assassinii_ASNII-OC,MechPart,1,1
mechdef_assassinii_ASNII-OD,MechPart,1,1
mechdef_assassin_ASN-26,MechPart,1,1
mechdef_assassin_ASN-27,MechPart,1,1
mechdef_avatar_AV1-0G,MechPart,1,1
mechdef_balar_BA1-O,MechPart,1,1
mechdef_balar_BA1-OA,MechPart,1,1
mechdef_balar_BA1-OB,MechPart,1,1
mechdef_balar_BA1-OC,MechPart,1,1
mechdef_battleaxe_BKX-7K,MechPart,1,1
mechdef_battleaxe_BKX-7NC,MechPart,1,1
mechdef_bellerophon_BEL-1X,MechPart,1,1
mechdef_blackheart_BH-1,MechPart,1,1
mechdef_blackjack_BJ-1XO,MechPart,1,1
mechdef_blackknight_BL-10-KNT,MechPart,1,1
mechdef_bombardier_BMB-12D,MechPart,1,1
mechdef_bombardier_BMB-14C,MechPart,1,1
mechdef_bombardier_BMB-14K,MechPart,1,1
mechdef_bombard_BMB-013,MechPart,1,1
mechdef_bombard_BMB-01X,MechPart,1,1
mechdef_bombard_BMB-01Y,MechPart,1,1
mechdef_caesar_CES-3R,MechPart,1,1
mechdef_caesar_CES-4R,MechPart,1,1
mechdef_carronade_CRN-7M,MechPart,1,1
mechdef_cataphract_CTF-4XE,MechPart,1,1
mechdef_centurion_CN9-D,MechPart,1,1
mechdef_centurion_CN9-D3D,MechPart,1,1
mechdef_chameleon_CLN-7V,MechPart,1,1
mechdef_chameleon_CLN-7W,MechPart,1,1
mechdef_chameleon_CLN-7Z,MechPart,1,1
mechdef_chameleon_CLN-8V,MechPart,1,1
mechdef_champion_CHP-3N,MechPart,1,1
mechdef_champion_CHP-C,MechPart,1,1
mechdef_chimera_CMA-1S,MechPart,1,1
mechdef_cicada_CDA-3F,MechPart,1,1
mechdef_cicada_CDA-3M,MechPart,1,1
mechdef_clint_CLNT-2-3U,MechPart,1,1
mechdef_crab_CRB-27sl,MechPart,1,1
mechdef_crab_CRB-30,MechPart,1,1
mechdef_daikyu_DAI-01,MechPart,1,1
mechdef_daikyu_DAI-02,MechPart,1,1
mechdef_dervish_DV-6Md,MechPart,1,1
mechdef_dervish_DV-8D,MechPart,1,1
mechdef_dragonfire_DGR-3F,MechPart,1,1
mechdef_dragonfire_DGR-6FC,MechPart,1,1
mechdef_dragonfire_DGR-9D,MechPart,1,1
mechdef_enfield_END-6J-EC,MechPart,1,1
mechdef_enfield_END-6Q,MechPart,1,1
mechdef_enforcer_ENF-5D,MechPart,1,1
mechdef_eris_ERS-2H,MechPart,1,1
mechdef_eris_ERS-2N,MechPart,1,1
mechdef_excalibur_EXC-B2,MechPart,1,1
mechdef_excalibur_EXC-B2b,MechPart,1,1
mechdef_excalibur_EXC-CS,MechPart,1,1
mechdef_excalibur_EXC-D1,MechPart,1,1
mechdef_exterminator_EXT-4C,MechPart,1,1
mechdef_exterminator_EXT-4D,MechPart,1,1
mechdef_gladiator_GLD-3R,MechPart,1,1
mechdef_gladiator_GLD-4R,MechPart,1,1
mechdef_gladiator_GLD-5R,MechPart,1,1
mechdef_guillotine_GLT-3N,MechPart,1,1
mechdef_guillotine_GLT-3NES,MechPart,1,1
mechdef_guillotine_GLT-7M,MechPart,1,1
mechdef_hammerhands_HMH-3D,MechPart,1,1
mechdef_hammerhands_HMH-4D,MechPart,1,1
mechdef_hector_HOR-1B,MechPart,1,1
mechdef_hector_HOR-1C,MechPart,1,1
mechdef_helios_HEL-3D,MechPart,1,1
mechdef_helios_HEL-4A,MechPart,1,1
mechdef_hellspawn_HSN-10g,MechPart,1,1
mechdef_hellspawn_HSN-9F,MechPart,1,1
mechdef_hoplite_HOP-4B,MechPart,1,1
mechdef_hoplite_HOP-4Bb,MechPart,1,1
mechdef_hoplite_HOP-4C,MechPart,1,1
mechdef_hoplite_HOP-4Cb,MechPart,1,1
mechdef_hoplite_HOP-4D,MechPart,1,1
mechdef_hoplite_HOP-C,MechPart,1,1
mechdef_icarusii_ICR-2S,MechPart,1,1
mechdef_ion_ION-1R,MechPart,1,1
mechdef_ion_ION-2R,MechPart,1,1
mechdef_ion_ION-4R,MechPart,1,1
mechdef_ion_ION-5R,MechPart,1,1
mechdef_jagermech_JM6-DD,MechPart,1,1
mechdef_jinggau_JN-G7L,MechPart,1,1
mechdef_jinggau_JN-G7Lr,MechPart,1,1
mechdef_jinggau_JN-G8A,MechPart,1,1
mechdef_jinggau_JN-G8Ar,MechPart,1,1
mechdef_kintaro_KTO-19,MechPart,1,1
mechdef_kintaro_KTO-19b,MechPart,1,1
mechdef_komodo_KIM-2,MechPart,1,1
mechdef_komodo_KIM-2A,MechPart,1,1
mechdef_koschei_KSC-3I,MechPart,1,1
mechdef_koschei_KSC-3L,MechPart,1,1
mechdef_koschei_KSC-4I,MechPart,1,1
mechdef_koschei_KSC-4L,MechPart,1,1
mechdef_koschei_KSC-5I,MechPart,1,1
mechdef_koschei_KSC-5MC,MechPart,1,1
mechdef_kyudo_KY2-D-02,MechPart,1,1
mechdef_kyudo_KY2-D-03,MechPart,1,1
mechdef_lament_LMT-3R,MechPart,1,1
mechdef_laohu_LHU-3L,MechPart,1,1
mechdef_liberty_LBT-O,MechPart,1,1
mechdef_liberty_LBT-OA,MechPart,1,1
mechdef_liberty_LBT-OC,MechPart,1,1
mechdef_liberty_LBT-OD,MechPart,1,1
mechdef_lynx_LNX-9Q,MechPart,1,1
mechdef_lynx_LNX-C,MechPart,1,1
mechdef_mackenzie_MK-22,MechPart,1,1
mechdef_merlin_MLN-1D,MechPart,1,1
mechdef_merlin_MLN-1E,MechPart,1,1
mechdef_merlin_MLN-1P,MechPart,1,1
mechdef_mushu_MHU-2R,MechPart,1,1
mechdef_mushu_MHU-3R,MechPart,1,1
mechdef_mushu_MHU-4R,MechPart,1,1
mechdef_orion_ON2-K,MechPart,1,1
mechdef_osprey_OSP-26,MechPart,1,1
mechdef_ostsol_OTL-7M,MechPart,1,1
mechdef_ostwar_OWR-2M,MechPart,1,1
mechdef_ostwar_OWR-3M,MechPart,1,1
mechdef_penetrator_PTR-4D,MechPart,1,1
mechdef_penetrator_PTR-4F,MechPart,1,1
mechdef_phoenixhawk_PXH-C,MechPart,1,1
mechdef_princecrab_PRC-4B,MechPart,1,1
mechdef_princecrab_PRC-5S,MechPart,1,1
mechdef_princecrab_PRC-5X,MechPart,1,1
mechdef_quickdraw_QKD-5K,MechPart,1,1
mechdef_quickdraw_QKD-8K,MechPart,1,1
mechdef_rakshasa_MDG-1A,MechPart,1,1
mechdef_rakshasa_MDG-1Ar,MechPart,1,1
mechdef_rakshasa_MDG-2A,MechPart,1,1
mechdef_roughneck_RGH-2A,MechPart,1,1
mechdef_sentinel_STN-3L,MechPart,1,1
mechdef_sentinel_STN-3Lb,MechPart,1,1
mechdef_sentinel_STN-4D,MechPart,1,1
mechdef_sentinel_STN-6S,MechPart,1,1
mechdef_shayu_SYU-2B,MechPart,1,1
mechdef_shayu_SYU-6B,MechPart,1,1
mechdef_shootist_ST-8A,MechPart,1,1
mechdef_shootist_ST-9C,MechPart,1,1
mechdef_starslayer_STY-2C,MechPart,1,1
mechdef_starslayer_STY-3C,MechPart,1,1
mechdef_strider_SR1-0B,MechPart,1,1
mechdef_strider_SR1-0F,MechPart,1,1
mechdef_swordsman_SWD-2,MechPart,1,1
mechdef_thanatos_TNS-6T,MechPart,1,1
mechdef_thanatos_TNS-7D,MechPart,1,1
mechdef_thunder_THR-1L,MechPart,1,1
mechdef_thunder_THR-2K,MechPart,1,1
mechdef_thunder_THR-C4,MechPart,1,1
mechdef_tolson_TOL-5N,MechPart,1,1
mechdef_tolson_TOL-5Nb,MechPart,1,1
mechdef_tomahawk_THK-6R,MechPart,1,1
mechdef_tomahawk_THK-7M,MechPart,1,1
mechdef_toyama_TYM-1A,MechPart,1,1
mechdef_toyama_TYM-1B,MechPart,1,1
mechdef_toyama_TYM-1C,MechPart,1,1
mechdef_trebuchet_TBT-7M,MechPart,1,1
mechdef_uziel_UZL-3P,MechPart,1,1
mechdef_uziel_UZL-6P,MechPart,1,1
mechdef_vindicator_VND-3L,MechPart,1,1
mechdef_vindicator_VND-3Lr,MechPart,1,1
mechdef_warhammer_WHM-7CS,MechPart,1,1
mechdef_warhammer_WHM-C,MechPart,1,1
mechdef_warhammer_WHM-C3,MechPart,1,1
mechdef_wraith_TR-1,MechPart,1,1
mechdef_wraith_TR-2,MechPart,1,1
mechdef_wraith_TR-3,MechPart,1,1
mechdef_wyvern_WVE-5N,MechPart,1,1
mechdef_wyvern_WVE-5Nb,MechPart,1,1
mechdef_wyvern_WVE-9N,MechPart,1,1
mechdef_blackpython_BP-5,MechPart,1,1
mechdef_bowman_BWM-2,MechPart,1,1
mechdef_bowman_BWM-3,MechPart,1,1
mechdef_conjurer_WVR-IIC-4,MechPart,1,1
mechdef_conjurer_WVR-IIC-8,MechPart,1,1
mechdef_darkcrow_DCR-1,MechPart,1,1
mechdef_fox_FX-1,MechPart,1,1
mechdef_glassspider_GS-2,MechPart,1,1
mechdef_glassspider_GS-3,MechPart,1,1
mechdef_glassspider_GS-4,MechPart,1,1
mechdef_glassspider_GS-PRIME,MechPart,1,1
mechdef_grendel_GDL-A,MechPart,1,1
mechdef_grendel_GDL-B,MechPart,1,1
mechdef_grendel_GDL-PRIME,MechPart,1,1
mechdef_grizzly_GRZ-1,MechPart,1,1
mechdef_grizzly_GRZ-2,MechPart,1,1
mechdef_hellbringer_HBR-A,MechPart,1,1
mechdef_hellbringer_HBR-H,MechPart,1,1
mechdef_hellbringer_HBR-T,MechPart,1,1
mechdef_hellfire_HLF-A,MechPart,1,1
mechdef_hellfire_HLF-B,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-2,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-3,MechPart,1,1
mechdef_hunchbackiic_HBK-IIC-4,MechPart,1,1
mechdef_lancelot_LNC25-01-X,MechPart,1,1
mechdef_lancelot_LNC25-01,MechPart,1,1
mechdef_lancelot_LNC25-C,MechPart,1,1
mechdef_lancelot_LNC25-C2,MechPart,1,1
mechdef_maddog_MDG-D,MechPart,1,1
mechdef_maddog_MDG-DD,MechPart,1,1
mechdef_maddog_MDG-F,MechPart,1,1
mechdef_mercuryii_MCY-100,MechPart,1,1
mechdef_mercuryii_MCY-110,MechPart,1,1
mechdef_minsk_MNK-101,MechPart,1,1
mechdef_minsk_MNK-102,MechPart,1,1
mechdef_minsk_MNK-103,MechPart,1,1
mechdef_naja_NJA-1,MechPart,1,1
mechdef_naja_NJA-EC,MechPart,1,1
mechdef_nightgyr_NTG-A,MechPart,1,1
mechdef_nightgyr_NTG-E,MechPart,1,1
mechdef_orioniic_ON1-IIC-B,MechPart,1,1
mechdef_phantom_PHN-A,MechPart,1,1
mechdef_phantom_PHN-B,MechPart,1,1
mechdef_phantom_PHN-C,MechPart,1,1
mechdef_phantom_PHN-PRIME,MechPart,1,1
mechdef_septicemia_PRI-C-Z,MechPart,1,1
mechdef_septicemia_PRI-PRIME,MechPart,1,1
mechdef_shadowcat_SHC-C,MechPart,1,1
mechdef_shadowcat_SHC-J,MechPart,1,1
mechdef_sidewinder_SDW-Prime,MechPart,1,1
mechdef_stag_ST-14G,MechPart,1,1
mechdef_stag_ST-24G,MechPart,1,1
mechdef_stag_ST-34G,MechPart,1,1
