itemCollection_fp_eae_lightmechs,type,qty,weight
mechdef_mongoose_MON-66b,Mech,1,1
mechdef_osiris_OSR-3D,Mech,1,1
mechdef_osiris_OSR-4D,Mech,1,1
mechdef_owens_OW-1,Mech,1,1
mechdef_panther_PNT-8Z,Mech,1,1
mechdef_panther_PNT-9ALAG,Mech,1,1
mechdef_raven_RVN-2X,Mech,1,1
mechdef_raven_RVN-4X,Mech,1,1
mechdef_spider_SDR-5D,Mech,1,1
mechdef_stinger_STG-3G,Mech,1,1
mechdef_stinger_STG-3Gb,Mech,1,1
mechdef_stinger_STG-3R,Mech,1,1
mechdef_stinger_STG-5T,Mech,1,1
mechdef_toro_TR-A-6,Mech,1,1
mechdef_trooper_TP-1R,Mech,1,1
mechdef_urbanmech_UM-R60C,Mech,1,1
mechdef_urbanmech_UM-R60X,Mech,1,1
mechdef_urbanmech_UM-RM,Mech,1,1
mechdef_valiant_V4-LNT-K7,Mech,1,1
mechdef_valkyrie_VLK-QA,Mech,1,1
mechdef_wasp_WSP-1A,Mech,1,1
mechdef_wasp_WSP-1D,Mech,1,1
mechdef_wasp_WSP-1K,Mech,1,1
mechdef_wolfhound_WLF-1,Mech,1,1
mechdef_wolfhound_WLF-1A,Mech,1,1
mechdef_wolfhound_WLF-2,Mech,1,1
mechdef_wolfhound_WLF-GRN,Mech,1,1
mechdef_adder_ADR-A,Mech,1,1
mechdef_adder_ADR-B,Mech,1,1
mechdef_adder_ADR-C,Mech,1,1
mechdef_adder_ADR-D,Mech,1,1
mechdef_adder_ADR-K,Mech,1,1
mechdef_adder_ADR-Prime,Mech,1,1
mechdef_arcticcheetah_A,Mech,1,1
mechdef_arcticcheetah_B,Mech,1,1
mechdef_arcticcheetah_C,Mech,1,1
mechdef_arcticcheetah_PRIME,Mech,1,1
mechdef_cougar_CGR-A,Mech,1,1
mechdef_cougar_CGR-B,Mech,1,1
mechdef_cougar_CGR-C,Mech,1,1
mechdef_cougar_CGR-D,Mech,1,1
mechdef_cougar_CGR-Prime,Mech,1,1
mechdef_firemoth_FM-B,Mech,1,1
mechdef_firemoth_FM-D,Mech,1,1
mechdef_firemoth_FM-PRIME,Mech,1,1
mechdef_incubus_1,Mech,1,1
mechdef_incubus_2,Mech,1,1
mechdef_incubus_3,Mech,1,1
mechdef_kitfox_A,Mech,1,1
mechdef_kitfox_B,Mech,1,1
mechdef_kitfox_D,Mech,1,1
mechdef_kitfox_PRIME,Mech,1,1
mechdef_mistlynx_MLX-B,Mech,1,1
mechdef_mistlynx_MLX-C,Mech,1,1
mechdef_mistlynx_MLX-G,Mech,1,1
mechdef_mistlynx_MLX-PRIME,Mech,1,1
mechdef_piranha_PIR-1,Mech,1,1
mechdef_piranha_PIR-2,Mech,1,1
mechdef_piranha_PIR-CIPHER,Mech,1,1
mechdef_blackfalcon_BF-LAM-1,Mech,1,1
mechdef_firebird_FB-LAM-1,Mech,1,1
mechdef_saber_SBR-LAM-1,Mech,1,1
mechdef_stinger_STG-A1,Mech,1,1
mechdef_wasp_WSP-100B,Mech,1,1
mechdef_cossack_C-1FC,Mech,1,1
mechdef_cossack_C-SK1,Mech,1,1
mechdef_cyclone_CYC-A1,Mech,1,1
mechdef_cyclone_CYC-C1,Mech,1,1
mechdef_falcon_FLC-4Nb,Mech,1,1
mechdef_falcon_FLC-4P,Mech,1,1
mechdef_firefly_FFL-3A,Mech,1,1
mechdef_firefly_FFL-3SLE,Mech,1,1
mechdef_firefly_FFL-C,Mech,1,1
mechdef_hornet_HNT-161,Mech,1,1
mechdef_hornet_HNT-181,Mech,1,1
mechdef_jackrabbitii_JKR-A,Mech,1,1
mechdef_jackrabbit_JKR-8T,Mech,1,1
mechdef_jackrabbit_JKR-9R,Mech,1,1
mechdef_jennerrattlesnake_JR7-31,Mech,1,1
mechdef_locust_LCT-1Vb,Mech,1,1
mechdef_mercury_MCY-99,Mech,1,1
mechdef_mercury_MCY-99W,Mech,1,1
mechdef_mongoose_MON-C,Mech,1,1
mechdef_nighthawk_NTK-2Q,Mech,1,1
mechdef_owens_OW-1B,Mech,1,1
mechdef_raptor_RTX1-O,Mech,1,1
mechdef_raptor_RTX1-OA,Mech,1,1
mechdef_raptor_RTX1-OB,Mech,1,1
mechdef_raptor_RTX1-OC,Mech,1,1
mechdef_sling_SL-1G,Mech,1,1
mechdef_sling_SL-1H,Mech,1,1
mechdef_spider_SDR-7K,Mech,1,1
mechdef_spider_SDR-9M,Mech,1,1
mechdef_talon_TLN-5V,Mech,1,1
mechdef_talon_TLN-5W,Mech,1,1
mechdef_talon_TLN-6W,Mech,1,1
mechdef_toro_TR-B-12,Mech,1,1
mechdef_toro_TR-B-9,Mech,1,1
mechdef_urbanmechk-9_UM-K9,Mech,1,1
mechdef_urbanmech_UM-R100,Mech,1,1
mechdef_urbanmech_UM-R68,Mech,1,1
mechdef_valkyrie_VLK-C,Mech,1,1
mechdef_valkyrie_VLK-QD4,Mech,1,1
mechdef_wight_WGT-1LAW-SC,Mech,1,1
mechdef_wight_WGT-2LAW,Mech,1,1
mechdef_wight_WGT-2SC,Mech,1,1
mechdef_wolfhound_WLF-4W,Mech,1,1
mechdef_cougar_CGR-XR,Mech,1,1
mechdef_howler_HWL-1,Mech,1,1
mechdef_howler_HWL-2,Mech,1,1
mechdef_howler_HWL-5,Mech,1,1
mechdef_incubus_INC-4,Mech,1,1
mechdef_incubus_INC-5,Mech,1,1
mechdef_locust_LCT-IIC-2,Mech,1,1
mechdef_piranha_PIR-3,Mech,1,1
mechdef_solitaire_SLT-1,Mech,1,1
mechdef_tiburon_TBN-1,Mech,1,1
mechdef_tiburon_TBN-2,Mech,1,1
