itemCollection_fp_eae_ea_heavyasltmechs,type,qty,weight
mechdef_lament_LMT-X2,Mech,1,1
mechdef_laohu_LHU-X2,Mech,1,1
mechdef_legacy_LGC-X1,Mech,1,1
mechdef_legacy_LGC-X2,Mech,1,1
mechdef_legacy_LGC-X3,Mech,1,1
mechdef_liberty_LBT-X1,Mech,1,1
mechdef_liberty_LBT-X2,Mech,1,1
mechdef_mackenzie_MK-X,Mech,1,1
mechdef_mackie-X,Mech,1,1
mechdef_mackie_MSK-X2,Mech,1,1
mechdef_mackie_MSK-X3,Mech,1,1
mechdef_mauler_MAL-X2,Mech,1,1
mechdef_mauler_MAL-X3,Mech,1,1
mechdef_merlin_MLN-X1,Mech,1,1
mechdef_merlin_MLN-X2,Mech,1,1
mechdef_naginata_NG-X,Mech,1,1
mechdef_naginata_NG-X2,Mech,1,1
mechdef_nightstar_NSR-X,Mech,1,1
mechdef_nightstar_NSR-X2,Mech,1,1
mechdef_orion_ON1-X1,Mech,1,1
mechdef_orion_ON2-X2,Mech,1,1
mechdef_ostroc_OSR-X,Mech,1,1
mechdef_ostroc_OSR-X2,Mech,1,1
mechdef_ostsol_OTL-X,Mech,1,1
mechdef_ostsol_OTL-X2,Mech,1,1
mechdef_ostwar_OWR-X2,Mech,1,1
mechdef_pendragon_PDG-X1,Mech,1,1
mechdef_pendragon_PDG-X2,Mech,1,1
mechdef_penetrator_PTR-X1,Mech,1,1
mechdef_penetrator_PTR-X2,Mech,1,1
mechdef_pillager_PLG-X,Mech,1,1
mechdef_pillager_PLG-X2,Mech,1,1
mechdef_princecrab_PRC-X1,Mech,1,1
mechdef_princecrab_PRC-X2,Mech,1,1
mechdef_princecrab_PRC-X3,Mech,1,1
mechdef_quickdraw_QKD-X1,Mech,1,1
mechdef_quickdraw_QKD-X2,Mech,1,1
mechdef_rakshasa_MDG-X1,Mech,1,1
mechdef_rakshasa_MDG-X2,Mech,1,1
mechdef_rampage_RMP-X1,Mech,1,1
mechdef_rampage_RMP-X2,Mech,1,1
mechdef_rifleman_RFL-X2,Mech,1,1
mechdef_roughneck_RGH-X1,Mech,1,1
mechdef_roughneck_RGH-X2,Mech,1,1
mechdef_roughneck_RGH-X3,Mech,1,1
mechdef_salamander_PPR-X1,Mech,1,1
mechdef_salamander_PPR-X2,Mech,1,1
mechdef_shogun_SHG-X1,Mech,1,1
mechdef_shogun_SHG-X2,Mech,1,1
mechdef_shootist_ST-X,Mech,1,1
mechdef_shootist_ST-X2,Mech,1,1
mechdef_sorcerer_SRC-X1,Mech,1,1
mechdef_sorcerer_SRC-X2,Mech,1,1
mechdef_sorcerer_SRC-X3,Mech,1,1
mechdef_stalker_STK-X,Mech,1,1
mechdef_stalker_STK-X2,Mech,1,1
mechdef_stalker_STK-X3,Mech,1,1
mechdef_striker_STC-X,Mech,1,1
mechdef_striker_STC-X2,Mech,1,1
mechdef_sunder_SD1-X1,Mech,1,1
mechdef_sunder_SD1-X2,Mech,1,1
mechdef_templar_TLR1-X,Mech,1,1
mechdef_templar_TLR1-X2,Mech,1,1
mechdef_templar_TLR1-X3,Mech,1,1
mechdef_thanatos_TNS-X2,Mech,1,1
mechdef_thug_THG-X,Mech,1,1
mechdef_thug_THG-X2,Mech,1,1
mechdef_thug_THG-X3,Mech,1,1
mechdef_thunderbolt_TDR-X2,Mech,1,1
mechdef_thunderhawk_TDK-X,Mech,1,1
mechdef_thunderhawk_TDK-X2,Mech,1,1
mechdef_thunderhawk_TDK-X3,Mech,1,1
mechdef_thunder_THR-X1,Mech,1,1
mechdef_thunder_THR-X2,Mech,1,1
mechdef_titanii_TI-X,Mech,1,1
mechdef_titan_TI-X1,Mech,1,1
mechdef_titan_TI-X2,Mech,1,1
mechdef_tolson_TOL-X1,Mech,1,1
mechdef_tolson_TOL-X2,Mech,1,1
mechdef_tomahawk_THK-X1,Mech,1,1
mechdef_tomahawk_THK-X2,Mech,1,1
mechdef_toyama_TYM-X,Mech,1,1
mechdef_toyama_TYM-X2,Mech,1,1
mechdef_toyama_TYM-X3,Mech,1,1
mechdef_valkyrieii_VLK-II-1A-X,Mech,1,1
mechdef_valkyrieii_VLK-II-2A-X,Mech,1,1
mechdef_vanquisher_VQR-X,Mech,1,1
mechdef_vanquisher_VQR-X2,Mech,1,1
mechdef_vanquisher_VQR-X3,Mech,1,1
mechdef_victor_VTR-X,Mech,1,1
mechdef_victor_VTR-X2,Mech,1,1
mechdef_viking_VKG-X1,Mech,1,1
mechdef_viking_VKG-X2,Mech,1,1
mechdef_vonrohrs_VON-4RH-X,Mech,1,1
mechdef_vonrohrs_VON-4RH-X2,Mech,1,1
mechdef_warhammer_WHM-X2,Mech,1,1
mechdef_warhammer_WHM-X3,Mech,1,1
mechdef_yeoman_YMN-X,Mech,1,1
mechdef_ymir_BWP-X,Mech,1,1
mechdef_ymir_BWP-X2,Mech,1,1
mechdef_bane_BAN-X2,Mech,1,1
mechdef_bane_BAN-X3,Mech,1,1
mechdef_blackpython_BP-X,Mech,1,1
mechdef_blackpython_BP-X2,Mech,1,1
mechdef_bloodasp_BAS-X2,Mech,1,1
mechdef_bloodasp_BAS-X3,Mech,1,1
mechdef_bloodasp_BAS-X4,Mech,1,1
mechdef_bowman_BWM-X1,Mech,1,1
mechdef_bowman_BWM-X2,Mech,1,1
mechdef_bruin_BRN-X1,Mech,1,1
mechdef_bruin_BRN-X2,Mech,1,1
mechdef_canis_CAS-X1,Mech,1,1
mechdef_canis_CAS-X2,Mech,1,1
mechdef_ebonjaguar_EBJ-X2,Mech,1,1
mechdef_ebonjaguar_EBJ-X3,Mech,1,1
mechdef_executioner_EXE-X2,Mech,1,1
mechdef_flamberge_FMB-X1,Mech,1,1
mechdef_flamberge_FMB-X2,Mech,1,1
mechdef_flamberge_FMB-X3,Mech,1,1
mechdef_gargoyle_GAR-X2,Mech,1,1
mechdef_glassspider_GS-X1,Mech,1,1
mechdef_glassspider_GS-X2,Mech,1,1
mechdef_glassspider_GS-X3,Mech,1,1
mechdef_grizzly_GRZ-X1,Mech,1,1
mechdef_grizzly_GRZ-X2,Mech,1,1
mechdef_hellbringer_HBR-X3,Mech,1,1
mechdef_hellfire_HLF-X3,Mech,1,1
mechdef_hellfire_HLF-X4,Mech,1,1
mechdef_highlanderiic_HGN-IIC-2-X,Mech,1,1
mechdef_ironcheetah_ICH-X1,Mech,1,1
mechdef_ironcheetah_ICH-X2,Mech,1,1
mechdef_jadephoenix_JDP-X1,Mech,1,1
mechdef_jadephoenix_JDP-X2,Mech,1,1
mechdef_kingfisher_KFR-WX,Mech,1,1
mechdef_kingfisher_KFR-X,Mech,1,1
mechdef_kodiak_KDK-X2,Mech,1,1
mechdef_lancelot_LNC25-C-X,Mech,1,1
mechdef_lancelot_LNC25-C2-X2,Mech,1,1
mechdef_lancelot_LNC25-X,Mech,1,1
mechdef_lancelot_LNC25-X2,Mech,1,1
mechdef_linebacker_LBK-X1,Mech,1,1
mechdef_linebacker_LBK-X2,Mech,1,1
mechdef_linebacker_LBK-X3,Mech,1,1
mechdef_lupus_LUPUS-X1,Mech,1,1
mechdef_lupus_LUPUS-X2,Mech,1,1
mechdef_madcatmkii_MCII-X2,Mech,1,1
mechdef_maddog_MDG-X3,Mech,1,1
mechdef_marauderiic_MAD-IIC-X2,Mech,1,1
mechdef_marauderiic_MAD-IIC-X3,Mech,1,1
mechdef_minsk_MNK-101-X,Mech,1,1
mechdef_minsk_MNK-102-X,Mech,1,1
mechdef_minsk_MNK-103-X,Mech,1,1
mechdef_nagaii_NGA-X1,Mech,1,1
mechdef_nagaii_NGA-X2,Mech,1,1
mechdef_nightgyr_NTG-X2,Mech,1,1
mechdef_nightgyr_NTG-X3,Mech,1,1
mechdef_novacat_NCT-X1,Mech,1,1
mechdef_novacat_NCT-X2,Mech,1,1
mechdef_novacat_NCT-X3,Mech,1,1
mechdef_omen_OMN-X1,Mech,1,1
mechdef_omen_OMN-X2,Mech,1,1
mechdef_onager_ONG-X1,Mech,1,1
mechdef_onager_ONG-X2,Mech,1,1
mechdef_orioniic_ON1-IIC-X2,Mech,1,1
mechdef_riflemaniic_RFL-IIC-X,Mech,1,1
mechdef_scylla_SCL-WX,Mech,1,1
mechdef_scylla_SCL-X,Mech,1,1
mechdef_shrike_SRK-X1,Mech,1,1
mechdef_shrike_SRK-X2,Mech,1,1
mechdef_sidewinder_SDW-X,Mech,1,1
mechdef_stonerhino_STR-X2,Mech,1,1
mechdef_stonerhino_STR-X3,Mech,1,1
mechdef_turkina_TKN-X2,Mech,1,1
mechdef_turkina_TKN-X3,Mech,1,1
mechdef_visionquest_VQ-X1,Mech,1,1
mechdef_visionquest_VQ-X2,Mech,1,1
mechdef_warhammeriic_WHM-IIC-X2,Mech,1,1
mechdef_warhawk_WHK-X2,Mech,1,1
mechdef_woodsman_WDM-WX,Mech,1,1
mechdef_woodsman_WDM-X,Mech,1,1
mechdef_woodsman_WDM-X2,Mech,1,1
mechdef_woodsman_WDM-X3,Mech,1,1
