itemCollection_fp_eae_eas_medheavymechs,type,qty,weight
mechdef_marauders_MAD-S2,Mech,1,1
mechdef_marauders_MAD-S3,Mech,1,1
mechdef_ostwars_OWR-S,Mech,1,1
mechdef_phoenixhawks_PXH-S,Mech,1,1
mechdef_riflemans_RFL-S,Mech,1,1
mechdef_shadowhawks_SHD-S1,Mech,1,1
mechdef_shadowhawks_SHD-S2,Mech,1,1
mechdef_taloss_TLS-S,Mech,1,1
mechdef_thanatoss_TNS-S,Mech,1,1
mechdef_thunderbolts_TDR-S,Mech,1,1
mechdef_uziels_UZL-S,Mech,1,1
mechdef_warhammers_WHM-S,Mech,1,1
mechdef_wolverines_WVR-S,Mech,1,1
mechdef_devas_C-DVA-S1,Mech,1,1
mechdef_devas_C-DVA-S2,Mech,1,1
mechdef_devas_C-DVA-S3,Mech,1,1
mechdef_grigoris_C-GRG-S1,Mech,1,1
mechdef_grigoris_C-GRG-S2,Mech,1,1
mechdef_pretas_C-PRT-S1,Mech,1,1
mechdef_pretas_C-PRT-S2,Mech,1,1
mechdef_jaguars_JGR-LAM-S,Mech,1,1
mechdef_lancers_LNC-LAM-S,Mech,1,1
mechdef_phoenixhawks_PHX-LAM-S,Mech,1,1
mechdef_shadowhawks_SHD-LAM-S,Mech,1,1
mechdef_thunderbirds_TB-LAM-S,Mech,1,1
mechdef_valkyrieghost_VG-LAM-SS,Mech,1,1
mechdef_wanetas_WN-LAM-S,Mech,1,1
mechdef_whiteeagles_WE-LAM-S,Mech,1,1
mechdef_yureis_YR-LAM-S,Mech,1,1
mechdef_anvil_ANV-S,Mech,1,1
mechdef_anvil_ANV-S2,Mech,1,1
mechdef_apollo_APL-S1,Mech,1,1
mechdef_apollo_APL-S2,Mech,1,1
mechdef_argus_AGS-S2,Mech,1,1
mechdef_assassinii_ASNII-S1,Mech,1,1
mechdef_assassinii_ASNII-S2,Mech,1,1
mechdef_assassin_ASN-S1,Mech,1,1
mechdef_assassin_ASN-S2,Mech,1,1
mechdef_avatar_AV1-S,Mech,1,1
mechdef_avatar_AV1-S2,Mech,1,1
mechdef_avatar_AV1-S3,Mech,1,1
mechdef_axman_AXM-S2,Mech,1,1
mechdef_balar_BA1-S1,Mech,1,1
mechdef_balar_BA1-S2,Mech,1,1
mechdef_battleaxe_BKX-S,Mech,1,1
mechdef_battleaxe_BKX-S2,Mech,1,1
mechdef_bellerophon_BEL-S,Mech,1,1
mechdef_blackheart_BH-S1,Mech,1,1
mechdef_blackjack_BJ-S1,Mech,1,1
mechdef_blackjack_BJ-S2,Mech,1,1
mechdef_blackknight_BL-10-KNT-S2,Mech,1,1
mechdef_blitzkrieg_BTZ-S,Mech,1,1
mechdef_bombardier_BMB-S,Mech,1,1
mechdef_bombard_BMB-S1,Mech,1,1
mechdef_bombard_BMB-S2,Mech,1,1
mechdef_bombard_BMB-S3,Mech,1,1
mechdef_bushwacker_BWS-S2,Mech,1,1
mechdef_caesar_CES-S,Mech,1,1
mechdef_caesar_CES-S2,Mech,1,1
mechdef_carronade_CRN-S,Mech,1,1
mechdef_cataphract_CTF-S,Mech,1,1
mechdef_cataphract_CTF-S2,Mech,1,1
mechdef_catapult_CPLT-S1,Mech,1,1
mechdef_catapult_CPLT-S2,Mech,1,1
mechdef_centurion_CN9-S,Mech,1,1
mechdef_centurion_CN9-S2,Mech,1,1
mechdef_chameleon_CLN-S,Mech,1,1
mechdef_chameleon_CLN-S2,Mech,1,1
mechdef_champion_CHP-S,Mech,1,1
mechdef_champion_CHP-S2,Mech,1,1
mechdef_champion_CHP-S3,Mech,1,1
mechdef_chimera_CMA-S,Mech,1,1
mechdef_cicada_CDA-S2,Mech,1,1
mechdef_clint_CLNT-S,Mech,1,1
mechdef_clint_CLNT-S2,Mech,1,1
mechdef_coehorn_COE-S1,Mech,1,1
mechdef_coehorn_COE-S2,Mech,1,1
mechdef_crab_CRB-S3,Mech,1,1
mechdef_daikyu_DAI-S1,Mech,1,1
mechdef_daikyu_DAI-S2,Mech,1,1
mechdef_dervish_DV-S2,Mech,1,1
mechdef_dervish_DV-S3,Mech,1,1
mechdef_dragonfire_DGR-S1,Mech,1,1
mechdef_dragonfire_DGR-S2,Mech,1,1
mechdef_dragonfire_DGR-S3,Mech,1,1
mechdef_dragon_DRG-S,Mech,1,1
mechdef_enfield_END-S,Mech,1,1
mechdef_enfield_END-S2,Mech,1,1
mechdef_enforcer_ENF-S,Mech,1,1
mechdef_enforcer_ENF-S2,Mech,1,1
mechdef_eris_ERS-S,Mech,1,1
mechdef_eris_ERS-S2,Mech,1,1
mechdef_excalibur_EXC-S,Mech,1,1
mechdef_excalibur_EXC-S2,Mech,1,1
mechdef_excalibur_EXC-S3,Mech,1,1
mechdef_exterminator_EXT-4D-S,Mech,1,1
mechdef_exterminator_EXT-S,Mech,1,1
mechdef_ghost_GST-S1,Mech,1,1
mechdef_ghost_GST-S2,Mech,1,1
mechdef_gladiator_GLD-S1,Mech,1,1
mechdef_gladiator_GLD-S2,Mech,1,1
mechdef_granddragon_DRG-S,Mech,1,1
mechdef_grasshopper_GHR-S,Mech,1,1
mechdef_grasshopper_GHR-S2,Mech,1,1
mechdef_guillotine_GLT-S,Mech,1,1
mechdef_guillotine_GLT-S2,Mech,1,1
mechdef_hammerhands_HMH-S1,Mech,1,1
mechdef_hammerhands_HMH-S2,Mech,1,1
mechdef_hatchetman_HCT-S2,Mech,1,1
mechdef_hector_HOR-S,Mech,1,1
mechdef_hector_HOR-S2,Mech,1,1
mechdef_helios_HEL-S,Mech,1,1
mechdef_helios_HEL-S2,Mech,1,1
mechdef_hellspawn_HSN-S2,Mech,1,1
mechdef_hellspawn_HSN-S3,Mech,1,1
mechdef_hoplite_HOP-S,Mech,1,1
mechdef_hoplite_HOP-S2,Mech,1,1
mechdef_huronwarrior_HUR-WO-S2,Mech,1,1
mechdef_icarusii_ICR-S,Mech,1,1
mechdef_icarusii_ICR-S2,Mech,1,1
mechdef_ion_ION-S1,Mech,1,1
mechdef_ion_ION-S2,Mech,1,1
mechdef_ion_ION-S3,Mech,1,1
mechdef_jagermech_JM6-B-S,Mech,1,1
mechdef_jagermech_JM6-DD-S,Mech,1,1
mechdef_jinggau_JN-S,Mech,1,1
mechdef_jinggau_JN-S2,Mech,1,1
mechdef_jinggau_JN-S3,Mech,1,1
mechdef_kintaro_KTO-S,Mech,1,1
mechdef_kintaro_KTO-S2,Mech,1,1
mechdef_komodo_KIM-S,Mech,1,1
mechdef_komodo_KIM-S2,Mech,1,1
mechdef_koschei_KSC-S1,Mech,1,1
mechdef_koschei_KSC-S2,Mech,1,1
mechdef_kyudo_KY2-D-S,Mech,1,1
mechdef_kyudo_KY2-D-S2,Mech,1,1
mechdef_lament_LMT-S,Mech,1,1
mechdef_lament_LMT-S2,Mech,1,1
mechdef_laohu_LHU-S2,Mech,1,1
mechdef_liberty_LBT-S1,Mech,1,1
mechdef_liberty_LBT-S2,Mech,1,1
mechdef_lynx_LNX-S1,Mech,1,1
mechdef_lynx_LNX-S2,Mech,1,1
mechdef_mackenzie_MK-S,Mech,1,1
mechdef_merlin_MLN-S1,Mech,1,1
mechdef_merlin_MLN-S2,Mech,1,1
mechdef_mushu_MHU-S1,Mech,1,1
mechdef_mushu_MHU-S2,Mech,1,1
mechdef_orion_ON1-S1,Mech,1,1
mechdef_orion_ON2-S2,Mech,1,1
mechdef_osprey_OSP-S,Mech,1,1
mechdef_osprey_OSP-S2,Mech,1,1
mechdef_ostroc_OSR-S,Mech,1,1
mechdef_ostroc_OSR-S2,Mech,1,1
mechdef_ostsol_OTL-S,Mech,1,1
mechdef_ostsol_OTL-S2,Mech,1,1
mechdef_ostwar_OWR-S2,Mech,1,1
mechdef_penetrator_PTR-S1,Mech,1,1
mechdef_penetrator_PTR-S2,Mech,1,1
mechdef_phoenixhawk_PXH-S2,Mech,1,1
mechdef_phoenixhawk_PXH-S3,Mech,1,1
mechdef_princecrab_PRC-S1,Mech,1,1
mechdef_princecrab_PRC-S2,Mech,1,1
mechdef_princecrab_PRC-S3,Mech,1,1
mechdef_quickdraw_QKD-S1,Mech,1,1
mechdef_quickdraw_QKD-S2,Mech,1,1
mechdef_rakshasa_MDG-S1,Mech,1,1
mechdef_rakshasa_MDG-S2,Mech,1,1
mechdef_rifleman_RFL-S2,Mech,1,1
mechdef_roughneck_RGH-S1,Mech,1,1
mechdef_roughneck_RGH-S2,Mech,1,1
mechdef_roughneck_RGH-S3,Mech,1,1
mechdef_sentinel_STN-S,Mech,1,1
mechdef_sentinel_STN-S2,Mech,1,1
mechdef_shayu_SYU-S,Mech,1,1
mechdef_shayu_SYU-S2,Mech,1,1
mechdef_shootist_ST-S,Mech,1,1
mechdef_shootist_ST-S2,Mech,1,1
mechdef_starslayer_STY-S1,Mech,1,1
mechdef_starslayer_STY-S2,Mech,1,1
mechdef_strider_SR1-S,Mech,1,1
mechdef_strider_SR1-S2,Mech,1,1
mechdef_strider_SR1-S3,Mech,1,1
mechdef_swordsman_SWD-S,Mech,1,1
mechdef_thanatos_TNS-S2,Mech,1,1
mechdef_thunderbolt_TDR-S2,Mech,1,1
mechdef_thunder_THR-S1,Mech,1,1
mechdef_thunder_THR-S2,Mech,1,1
mechdef_tolson_TOL-S1,Mech,1,1
mechdef_tolson_TOL-S2,Mech,1,1
mechdef_tomahawk_THK-S1,Mech,1,1
mechdef_tomahawk_THK-S2,Mech,1,1
mechdef_toyama_TYM-S,Mech,1,1
mechdef_toyama_TYM-S2,Mech,1,1
mechdef_toyama_TYM-S3,Mech,1,1
mechdef_trebuchet_TBT-S,Mech,1,1
mechdef_trebuchet_TBT-S2,Mech,1,1
mechdef_trebuchet_TBT-S3,Mech,1,1
mechdef_uziel_UZL-S2,Mech,1,1
mechdef_uziel_UZL-S3,Mech,1,1
mechdef_valkyrieii_VLK-II-1A-S,Mech,1,1
mechdef_valkyrieii_VLK-II-2A-S,Mech,1,1
mechdef_vindicator_VND-S,Mech,1,1
mechdef_vindicator_VND-S2,Mech,1,1
mechdef_vonrohrs_VON-4RH-S,Mech,1,1
mechdef_vonrohrs_VON-4RH-S2,Mech,1,1
mechdef_vulcan_VL-S,Mech,1,1
mechdef_vulcan_VL-S2,Mech,1,1
mechdef_warhammer_WHM-S2,Mech,1,1
mechdef_warhammer_WHM-S3,Mech,1,1
mechdef_whitworth_WTH-S1,Mech,1,1
mechdef_whitworth_WTH-S2,Mech,1,1
mechdef_wolverine_WVR-S2,Mech,1,1
mechdef_wraith_TR-S,Mech,1,1
mechdef_wraith_TR-S2,Mech,1,1
mechdef_wyvern_WVE-S,Mech,1,1
mechdef_wyvern_WVE-S2,Mech,1,1
mechdef_yeoman_YMN-S,Mech,1,1
mechdef_arcticwolf_ACW-S1,Mech,1,1
mechdef_arcticwolf_ACW-S2,Mech,1,1
mechdef_arcticwolf_ACW-S3,Mech,1,1
mechdef_blacklanner_BKL-S2,Mech,1,1
mechdef_blackpython_BP-S,Mech,1,1
mechdef_blackpython_BP-S2,Mech,1,1
mechdef_bowman_BWM-S1,Mech,1,1
mechdef_bowman_BWM-S2,Mech,1,1
mechdef_conjurer_WVR-IIC-S1,Mech,1,1
mechdef_conjurer_WVR-IIC-S2,Mech,1,1
mechdef_darkcrow_DCR-S,Mech,1,1
mechdef_ebonjaguar_EBJ-S2,Mech,1,1
mechdef_ebonjaguar_EBJ-S3,Mech,1,1
mechdef_flamberge_FMB-S1,Mech,1,1
mechdef_flamberge_FMB-S2,Mech,1,1
mechdef_flamberge_FMB-S3,Mech,1,1
mechdef_fox_FX-S,Mech,1,1
mechdef_glassspider_GS-S1,Mech,1,1
mechdef_glassspider_GS-S2,Mech,1,1
mechdef_glassspider_GS-S3,Mech,1,1
mechdef_grendel_GDL-S1,Mech,1,1
mechdef_grendel_GDL-S2,Mech,1,1
mechdef_grizzly_GRZ-S1,Mech,1,1
mechdef_grizzly_GRZ-S2,Mech,1,1
mechdef_hammerhead_HMH-S1,Mech,1,1
mechdef_hammerhead_HMH-S2,Mech,1,1
mechdef_hellbringer_HBR-S3,Mech,1,1
mechdef_hellfire_HLF-S3,Mech,1,1
mechdef_hellfire_HLF-S4,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-S3,Mech,1,1
mechdef_huntsman_HMN-S2,Mech,1,1
mechdef_iceferret_IFR-S,Mech,1,1
mechdef_iceferret_IFR-S2,Mech,1,1
mechdef_lancelot_LNC25-C-S,Mech,1,1
mechdef_lancelot_LNC25-C2-S2,Mech,1,1
mechdef_lancelot_LNC25-S,Mech,1,1
mechdef_lancelot_LNC25-S2,Mech,1,1
mechdef_linebacker_LBK-S1,Mech,1,1
mechdef_linebacker_LBK-S2,Mech,1,1
mechdef_linebacker_LBK-S3,Mech,1,1
mechdef_lupus_LUPUS-S1,Mech,1,1
mechdef_lupus_LUPUS-S2,Mech,1,1
mechdef_maddog_MDG-S3,Mech,1,1
mechdef_mercuryii_MCY-100S,Mech,1,1
mechdef_mercuryii_MCY-110S,Mech,1,1
mechdef_minsk_MNK-101-S,Mech,1,1
mechdef_minsk_MNK-102-S,Mech,1,1
mechdef_minsk_MNK-103-S,Mech,1,1
mechdef_naja_NJA-S,Mech,1,1
mechdef_naja_NJA-S2,Mech,1,1
mechdef_nightgyr_NTG-S2,Mech,1,1
mechdef_nightgyr_NTG-S3,Mech,1,1
mechdef_novacat_NCT-S1,Mech,1,1
mechdef_novacat_NCT-S2,Mech,1,1
mechdef_novacat_NCT-S3,Mech,1,1
mechdef_orioniic_ON1-IIC-S2,Mech,1,1
mechdef_phantom_PHN-S1,Mech,1,1
mechdef_phantom_PHN-S2,Mech,1,1
mechdef_phantom_PHN-S3,Mech,1,1
mechdef_riflemaniic_RFL-IIC-S,Mech,1,1
mechdef_septicemia_PRI-S2,Mech,1,1
mechdef_septicemia_PRI-S3,Mech,1,1
mechdef_shadowcat_SHC-S2,Mech,1,1
mechdef_shadowcat_SHC-S3,Mech,1,1
mechdef_sidewinder_SDW-S,Mech,1,1
mechdef_stag_ST-S1,Mech,1,1
mechdef_stag_ST-S2,Mech,1,1
mechdef_stag_ST-S3,Mech,1,1
mechdef_vaporeagle_VGL-S2,Mech,1,1
mechdef_visionquest_VQ-S1,Mech,1,1
mechdef_visionquest_VQ-S2,Mech,1,1
mechdef_woodsman_WDM-S,Mech,1,1
mechdef_woodsman_WDM-S2,Mech,1,1
mechdef_woodsman_WDM-S3,Mech,1,1
mechdef_woodsman_WDM-WS,Mech,1,1
