itemCollection_fp_eae_ea_lightmedmechs,type,qty,weight
mechdef_talosx_TLS-X,Mech,1,1
mechdef_urbanmechx_UM-X,Mech,1,1
mechdef_uzielx_UZL-X,Mech,1,1
mechdef_valiantx_V4-LNT-X,Mech,1,1
mechdef_valkyriex_VLK-X,Mech,1,1
mechdef_wolfhoundx_WLF-X1,Mech,1,1
mechdef_wolfhoundx_WLF-X2,Mech,1,1
mechdef_wolverinex_WVR-X,Mech,1,1
mechdef_malakx_C-MK-X,Mech,1,1
mechdef_pretax_C-PRT-X1,Mech,1,1
mechdef_pretax_C-PRT-X2,Mech,1,1
mechdef_blackfalconx_BF-LAM-X,Mech,1,1
mechdef_firebirdx_FB-LAM-X,Mech,1,1
mechdef_jaguarx_JGR-LAM-X,Mech,1,1
mechdef_lancerx_LNC-LAM-X,Mech,1,1
mechdef_phoenixhawkx_PHX-LAM-X,Mech,1,1
mechdef_saberx_SBR-LAM-X,Mech,1,1
mechdef_shadowhawkx_SHD-LAM-X,Mech,1,1
mechdef_stingerx_STG-LAM-X,Mech,1,1
mechdef_thunderbirdx_TB-LAM-X,Mech,1,1
mechdef_wanetax_WN-LAM-X,Mech,1,1
mechdef_waspx_WSP-LAM-X,Mech,1,1
mechdef_whiteeaglex_WE-LAM-X,Mech,1,1
mechdef_anubis_ABS-X,Mech,1,1
mechdef_anubis_ABS-X2,Mech,1,1
mechdef_apollo_APL-X1,Mech,1,1
mechdef_apollo_APL-X2,Mech,1,1
mechdef_assassinii_ASNII-X1,Mech,1,1
mechdef_assassinii_ASNII-X2,Mech,1,1
mechdef_assassin_ASN-X1,Mech,1,1
mechdef_assassin_ASN-X2,Mech,1,1
mechdef_bee_BEE-X1,Mech,1,1
mechdef_bee_BEE-X2,Mech,1,1
mechdef_bee_BEE-X3,Mech,1,1
mechdef_blackjack_BJ-X1,Mech,1,1
mechdef_blackjack_BJ-X2,Mech,1,1
mechdef_blitzkrieg_BTZ-X,Mech,1,1
mechdef_bombard_BMB-X1,Mech,1,1
mechdef_bombard_BMB-X2,Mech,1,1
mechdef_bombard_BMB-X3,Mech,1,1
mechdef_bushwackerx_BWSX-X2,Mech,1,1
mechdef_centurion_CN9-X,Mech,1,1
mechdef_centurion_CN9-X2,Mech,1,1
mechdef_chameleon_CLN-X,Mech,1,1
mechdef_chameleon_CLN-X2,Mech,1,1
mechdef_chimera_CMA-X,Mech,1,1
mechdef_cicada_CDA-X2,Mech,1,1
mechdef_clint_CLNT-X,Mech,1,1
mechdef_clint_CLNT-X2,Mech,1,1
mechdef_commando_COM-X2,Mech,1,1
mechdef_cossack_C-SK1-X,Mech,1,1
mechdef_crab_CRB-X3,Mech,1,1
mechdef_cyclone_CYC-X,Mech,1,1
mechdef_cyclone_CYC-X2,Mech,1,1
mechdef_dervish_DV-X2,Mech,1,1
mechdef_dervish_DV-X3,Mech,1,1
mechdef_duangung_D9-G10-X2,Mech,1,1
mechdef_duangung_D9-G9-X1,Mech,1,1
mechdef_enfield_END-X,Mech,1,1
mechdef_enfield_END-X2,Mech,1,1
mechdef_enforcer_ENF-X,Mech,1,1
mechdef_enforcer_ENF-X2,Mech,1,1
mechdef_eris_ERS-X,Mech,1,1
mechdef_eris_ERS-X2,Mech,1,1
mechdef_falcon_FLC-X,Mech,1,1
mechdef_falcon_FLC-X2,Mech,1,1
mechdef_fer-de-lance_FDL-X1,Mech,1,1
mechdef_fer-de-lance_FDL-X2,Mech,1,1
mechdef_fireball_ALM-X1,Mech,1,1
mechdef_fireball_ALM-X2,Mech,1,1
mechdef_firebee_FRB-X,Mech,1,1
mechdef_firefly_FFL-X,Mech,1,1
mechdef_firefly_FFL-X2,Mech,1,1
mechdef_firestarter_FS9-X,Mech,1,1
mechdef_firestarter_FS9-X2,Mech,1,1
mechdef_flea_FLE-X,Mech,1,1
mechdef_flea_FLE-X2,Mech,1,1
mechdef_ghost_GST-X1,Mech,1,1
mechdef_ghost_GST-X2,Mech,1,1
mechdef_gladiator_GLD-X1,Mech,1,1
mechdef_gladiator_GLD-X2,Mech,1,1
mechdef_hatchetman_HCT-X2,Mech,1,1
mechdef_hellspawn_HSN-X2,Mech,1,1
mechdef_hellspawn_HSN-X3,Mech,1,1
mechdef_hermes_HER-X1,Mech,1,1
mechdef_hermes_HER-X2,Mech,1,1
mechdef_hoplite_HOP-X,Mech,1,1
mechdef_hoplite_HOP-X2,Mech,1,1
mechdef_hornet_HNT-X,Mech,1,1
mechdef_huronwarrior_HUR-WO-X2,Mech,1,1
mechdef_hussar_HSR-X,Mech,1,1
mechdef_icarusii_ICR-X,Mech,1,1
mechdef_icarusii_ICR-X2,Mech,1,1
mechdef_jackdaw_JCD-X1,Mech,1,1
mechdef_jackdaw_JCD-X2,Mech,1,1
mechdef_jackrabbitii_JKR-X2,Mech,1,1
mechdef_jackrabbit_JKR-X,Mech,1,1
mechdef_javelin_JVN-X,Mech,1,1
mechdef_javelin_JVN-X2,Mech,1,1
mechdef_jenneriic_JR7-IIC-X1,Mech,1,1
mechdef_jenneriic_JR7-IIC-X2,Mech,1,1
mechdef_jennerrattlesnake_JR7-X2,Mech,1,1
mechdef_jenner_JR7-X,Mech,1,1
mechdef_kintaro_KTO-X,Mech,1,1
mechdef_kintaro_KTO-X2,Mech,1,1
mechdef_komodo_KIM-X,Mech,1,1
mechdef_komodo_KIM-X2,Mech,1,1
mechdef_kyudo_KY2-D-X,Mech,1,1
mechdef_kyudo_KY2-D-X2,Mech,1,1
mechdef_locust_LCT-X,Mech,1,1
mechdef_locust_LCT-X2,Mech,1,1
mechdef_lynx_LNX-X1,Mech,1,1
mechdef_lynx_LNX-X2,Mech,1,1
mechdef_mercury_MCY-99W-X1,Mech,1,1
mechdef_mercury_MCY-X1,Mech,1,1
mechdef_mongoose_MON-X2,Mech,1,1
mechdef_mushu_MHU-X1,Mech,1,1
mechdef_mushu_MHU-X2,Mech,1,1
mechdef_nighthawk_NTK-X,Mech,1,1
mechdef_nyx_NX-X1,Mech,1,1
mechdef_nyx_NX-X2,Mech,1,1
mechdef_nyx_NX-X3,Mech,1,1
mechdef_osiris_OSR-X,Mech,1,1
mechdef_osiris_OSR-X2,Mech,1,1
mechdef_osprey_OSP-X,Mech,1,1
mechdef_osprey_OSP-X2,Mech,1,1
mechdef_owens_OW-X,Mech,1,1
mechdef_owens_OW-X2,Mech,1,1
mechdef_panther_PNT-X,Mech,1,1
mechdef_panther_PNT-X2,Mech,1,1
mechdef_phoenixhawk_PXH-X2,Mech,1,1
mechdef_phoenixhawk_PXH-X3,Mech,1,1
mechdef_raptor_RTX1-O-X1,Mech,1,1
mechdef_raptor_RTX1-OC-X2,Mech,1,1
mechdef_raven_RVN-X,Mech,1,1
mechdef_raven_RVN-X2,Mech,1,1
mechdef_razorback_RZK-X1,Mech,1,1
mechdef_razorback_RZK-X2,Mech,1,1
mechdef_razorback_RZK-X3,Mech,1,1
mechdef_sentinel_STN-X,Mech,1,1
mechdef_sentinel_STN-X2,Mech,1,1
mechdef_shayu_SYU-X,Mech,1,1
mechdef_shayu_SYU-X2,Mech,1,1
mechdef_sling_SL-X1,Mech,1,1
mechdef_sling_SL-X2,Mech,1,1
mechdef_spector_SPR-X1,Mech,1,1
mechdef_spector_SPR-X2,Mech,1,1
mechdef_spider_SDR-X,Mech,1,1
mechdef_spider_SDR-X2,Mech,1,1
mechdef_starslayer_STY-X1,Mech,1,1
mechdef_starslayer_STY-X2,Mech,1,1
mechdef_stinger_STG-X2,Mech,1,1
mechdef_strider_SR1-X,Mech,1,1
mechdef_strider_SR1-X2,Mech,1,1
mechdef_strider_SR1-X3,Mech,1,1
mechdef_swordsman_SWD-X,Mech,1,1
mechdef_talon_TLN-X,Mech,1,1
mechdef_talon_TLN-X2,Mech,1,1
mechdef_thorn_THE-X1,Mech,1,1
mechdef_thorn_THE-X2,Mech,1,1
mechdef_tiburon_TBN-2-X,Mech,1,1
mechdef_toro_TR-A-X,Mech,1,1
mechdef_toro_TR-B-X2,Mech,1,1
mechdef_trebuchet_TBT-X,Mech,1,1
mechdef_trebuchet_TBT-X2,Mech,1,1
mechdef_trebuchet_TBT-X3,Mech,1,1
mechdef_urbanmechk-9_UM-X2,Mech,1,1
mechdef_urbanmech_UM-X3,Mech,1,1
mechdef_uziel_UZL-X2,Mech,1,1
mechdef_uziel_UZL-X3,Mech,1,1
mechdef_valkyrie_VLK-X2,Mech,1,1
mechdef_vindicator_VND-X,Mech,1,1
mechdef_vindicator_VND-X2,Mech,1,1
mechdef_vulcan_VL-X,Mech,1,1
mechdef_vulcan_VL-X2,Mech,1,1
mechdef_wasp_WSP-X,Mech,1,1
mechdef_wasp_WSP-X2,Mech,1,1
mechdef_whitworth_WTH-X1,Mech,1,1
mechdef_whitworth_WTH-X2,Mech,1,1
mechdef_wight_WGT-X,Mech,1,1
mechdef_wight_WGT-X2,Mech,1,1
mechdef_wolfhound_WLF-X3,Mech,1,1
mechdef_wolverine_WVR-X2,Mech,1,1
mechdef_wraith_TR-X,Mech,1,1
mechdef_wraith_TR-X2,Mech,1,1
mechdef_wyvern_WVE-X,Mech,1,1
mechdef_wyvern_WVE-X2,Mech,1,1
mechdef_adder_ADR-X2,Mech,1,1
mechdef_adder_ADR-X3,Mech,1,1
mechdef_arcticcheetah_ACH-X2,Mech,1,1
mechdef_arcticwolf_ACW-X1,Mech,1,1
mechdef_arcticwolf_ACW-X2,Mech,1,1
mechdef_arcticwolf_ACW-X3,Mech,1,1
mechdef_blacklanner_BKL-X2,Mech,1,1
mechdef_cazador_CZD-X,Mech,1,1
mechdef_conjurer_WVR-IIC-X1,Mech,1,1
mechdef_conjurer_WVR-IIC-X2,Mech,1,1
mechdef_cougar_CGR-X2,Mech,1,1
mechdef_cougar_CGR-X3,Mech,1,1
mechdef_cougar_CGR-XR-X1,Mech,1,1
mechdef_darkcrow_DCR-X,Mech,1,1
mechdef_firefalcon_FF-X1,Mech,1,1
mechdef_firefalcon_FF-X2,Mech,1,1
mechdef_firefalcon_FF-X3,Mech,1,1
mechdef_firemoth_FM-X2,Mech,1,1
mechdef_fox_FX-X,Mech,1,1
mechdef_grendel_GDL-X1,Mech,1,1
mechdef_grendel_GDL-X2,Mech,1,1
mechdef_hammerhead_HMH-X1,Mech,1,1
mechdef_hammerhead_HMH-X2,Mech,1,1
mechdef_howler_HWL-X1,Mech,1,1
mechdef_howler_HWL-X2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-X,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-X2,Mech,1,1
mechdef_hunchbackiic_HBK-IIC-X3,Mech,1,1
mechdef_huntsman_HMN-X2,Mech,1,1
mechdef_iceferret_IFR-X,Mech,1,1
mechdef_iceferret_IFR-X2,Mech,1,1
mechdef_incubus_INC-X2,Mech,1,1
mechdef_incubus_INC-X3,Mech,1,1
mechdef_locust_LCT-IIC-2-X2,Mech,1,1
mechdef_locust_LCT-IIC-X,Mech,1,1
mechdef_mercuryii_MCY-100X,Mech,1,1
mechdef_mercuryii_MCY-110X,Mech,1,1
mechdef_mistlynx_MLX-X2,Mech,1,1
mechdef_naja_NJA-X,Mech,1,1
mechdef_naja_NJA-X2,Mech,1,1
mechdef_phantom_PHN-X1,Mech,1,1
mechdef_phantom_PHN-X2,Mech,1,1
mechdef_phantom_PHN-X3,Mech,1,1
mechdef_piranha_PIR-X2,Mech,1,1
mechdef_piranha_PIR-X3,Mech,1,1
mechdef_septicemia_PRI-X2,Mech,1,1
mechdef_septicemia_PRI-X3,Mech,1,1
mechdef_shadowcat_SHC-X2,Mech,1,1
mechdef_shadowcat_SHC-X3,Mech,1,1
mechdef_solitaire_SLT-1-X,Mech,1,1
mechdef_stag_ST-X1,Mech,1,1
mechdef_stag_ST-X2,Mech,1,1
mechdef_stag_ST-X3,Mech,1,1
mechdef_tiburon_TBN-1-X,Mech,1,1
mechdef_vaporeagle_VGL-X2,Mech,1,1
