itemCollection_fp_eae_ea_heavyparts,type,qty,weight
mechdef_hammerhands_HMH-X2,MechPart,1,1
mechdef_hector_HOR-X,MechPart,1,1
mechdef_hector_HOR-X2,MechPart,1,1
mechdef_helios_HEL-X,MechPart,1,1
mechdef_helios_HEL-X2,MechPart,1,1
mechdef_ion_ION-X1,MechPart,1,1
mechdef_ion_ION-X2,MechPart,1,1
mechdef_ion_ION-X3,MechPart,1,1
mechdef_jagermech_JM6-B-X,MechPart,1,1
mechdef_jagermech_JM6-DD-X,MechPart,1,1
mechdef_jinggau_JN-X,MechPart,1,1
mechdef_jinggau_JN-X2,MechPart,1,1
mechdef_jinggau_JN-X3,MechPart,1,1
mechdef_koschei_KSC-X1,MechPart,1,1
mechdef_koschei_KSC-X2,MechPart,1,1
mechdef_lament_LMT-X,MechPart,1,1
mechdef_lament_LMT-X2,MechPart,1,1
mechdef_laohu_LHU-X2,MechPart,1,1
mechdef_liberty_LBT-X1,MechPart,1,1
mechdef_liberty_LBT-X2,MechPart,1,1
mechdef_mackenzie_MK-X,MechPart,1,1
mechdef_merlin_MLN-X1,MechPart,1,1
mechdef_merlin_MLN-X2,MechPart,1,1
mechdef_orion_ON1-X1,MechPart,1,1
mechdef_orion_ON2-X2,MechPart,1,1
mechdef_ostroc_OSR-X,MechPart,1,1
mechdef_ostroc_OSR-X2,MechPart,1,1
mechdef_ostsol_OTL-X,MechPart,1,1
mechdef_ostsol_OTL-X2,MechPart,1,1
mechdef_ostwar_OWR-X2,MechPart,1,1
mechdef_penetrator_PTR-X1,MechPart,1,1
mechdef_penetrator_PTR-X2,MechPart,1,1
mechdef_princecrab_PRC-X1,MechPart,1,1
mechdef_princecrab_PRC-X2,MechPart,1,1
mechdef_princecrab_PRC-X3,MechPart,1,1
mechdef_quickdraw_QKD-X1,MechPart,1,1
mechdef_quickdraw_QKD-X2,MechPart,1,1
mechdef_rakshasa_MDG-X1,MechPart,1,1
mechdef_rakshasa_MDG-X2,MechPart,1,1
mechdef_rifleman_RFL-X2,MechPart,1,1
mechdef_roughneck_RGH-X1,MechPart,1,1
mechdef_roughneck_RGH-X2,MechPart,1,1
mechdef_roughneck_RGH-X3,MechPart,1,1
mechdef_shootist_ST-X,MechPart,1,1
mechdef_shootist_ST-X2,MechPart,1,1
mechdef_thanatos_TNS-X2,MechPart,1,1
mechdef_thunderbolt_TDR-X2,MechPart,1,1
mechdef_thunder_THR-X1,MechPart,1,1
mechdef_thunder_THR-X2,MechPart,1,1
mechdef_tolson_TOL-X1,MechPart,1,1
mechdef_tolson_TOL-X2,MechPart,1,1
mechdef_tomahawk_THK-X1,MechPart,1,1
mechdef_tomahawk_THK-X2,MechPart,1,1
mechdef_toyama_TYM-X,MechPart,1,1
mechdef_toyama_TYM-X2,MechPart,1,1
mechdef_toyama_TYM-X3,MechPart,1,1
mechdef_valkyrieii_VLK-II-1A-X,MechPart,1,1
mechdef_valkyrieii_VLK-II-2A-X,MechPart,1,1
mechdef_vonrohrs_VON-4RH-X,MechPart,1,1
mechdef_vonrohrs_VON-4RH-X2,MechPart,1,1
mechdef_warhammer_WHM-X2,MechPart,1,1
mechdef_warhammer_WHM-X3,MechPart,1,1
mechdef_yeoman_YMN-X,MechPart,1,1
mechdef_blackpython_BP-X,MechPart,1,1
mechdef_blackpython_BP-X2,MechPart,1,1
mechdef_bowman_BWM-X1,MechPart,1,1
mechdef_bowman_BWM-X2,MechPart,1,1
mechdef_ebonjaguar_EBJ-X2,MechPart,1,1
mechdef_ebonjaguar_EBJ-X3,MechPart,1,1
mechdef_flamberge_FMB-X1,MechPart,1,1
mechdef_flamberge_FMB-X2,MechPart,1,1
mechdef_flamberge_FMB-X3,MechPart,1,1
mechdef_glassspider_GS-X1,MechPart,1,1
mechdef_glassspider_GS-X2,MechPart,1,1
mechdef_glassspider_GS-X3,MechPart,1,1
mechdef_grizzly_GRZ-X1,MechPart,1,1
mechdef_grizzly_GRZ-X2,MechPart,1,1
mechdef_hellbringer_HBR-X3,MechPart,1,1
mechdef_hellfire_HLF-X3,MechPart,1,1
mechdef_hellfire_HLF-X4,MechPart,1,1
mechdef_lancelot_LNC25-C-X,MechPart,1,1
mechdef_lancelot_LNC25-C2-X2,MechPart,1,1
mechdef_lancelot_LNC25-X,MechPart,1,1
mechdef_lancelot_LNC25-X2,MechPart,1,1
mechdef_linebacker_LBK-X1,MechPart,1,1
mechdef_linebacker_LBK-X2,MechPart,1,1
mechdef_linebacker_LBK-X3,MechPart,1,1
mechdef_lupus_LUPUS-X1,MechPart,1,1
mechdef_lupus_LUPUS-X2,MechPart,1,1
mechdef_maddog_MDG-X3,MechPart,1,1
mechdef_minsk_MNK-101-X,MechPart,1,1
mechdef_minsk_MNK-102-X,MechPart,1,1
mechdef_minsk_MNK-103-X,MechPart,1,1
mechdef_nightgyr_NTG-X2,MechPart,1,1
mechdef_nightgyr_NTG-X3,MechPart,1,1
mechdef_novacat_NCT-X1,MechPart,1,1
mechdef_novacat_NCT-X2,MechPart,1,1
mechdef_novacat_NCT-X3,MechPart,1,1
mechdef_orioniic_ON1-IIC-X2,MechPart,1,1
mechdef_riflemaniic_RFL-IIC-X,MechPart,1,1
mechdef_sidewinder_SDW-X,MechPart,1,1
mechdef_visionquest_VQ-X1,MechPart,1,1
mechdef_visionquest_VQ-X2,MechPart,1,1
mechdef_woodsman_WDM-WX,MechPart,1,1
mechdef_woodsman_WDM-X,MechPart,1,1
mechdef_woodsman_WDM-X2,MechPart,1,1
mechdef_woodsman_WDM-X3,MechPart,1,1
