itemCollection_fp_eae_ea_heavyasltparts,type,qty,weight
mechdef_crusaderx_CRD-X,MechPart,1,1
mechdef_crusaderx_CRD-X2,MechPart,1,1
mechdef_fafnirx_FNR-X,MechPart,1,1
mechdef_kingcrabx_KGC-X,MechPart,1,1
mechdef_laohux_LHU-X,MechPart,1,1
mechdef_longbowx_LGB-X1,MechPart,1,1
mechdef_longbowx_LGB-X2,MechPart,1,1
mechdef_longbowx_LGB-X3,MechPart,1,1
mechdef_longbowx_LGB-X4,MechPart,1,1
mechdef_marauderIIx_MAD-AX,MechPart,1,1
mechdef_marauderIIx_MAD-BX,MechPart,1,1
mechdef_marauderx_MAD-X1,MechPart,1,1
mechdef_marauderx_MAD-X2,MechPart,1,1
mechdef_marauderx_MAD-X3,MechPart,1,1
mechdef_maulerx_MAL-X,MechPart,1,1
mechdef_ostwarx_OWR-X,MechPart,1,1
mechdef_riflemanx_RFL-X,MechPart,1,1
mechdef_thanatosx_TNS-X,MechPart,1,1
mechdef_thunderboltx_TDR-X,MechPart,1,1
mechdef_warhammerx_WHM-X,MechPart,1,1
mechdef_zeusx_ZEU-XX,MechPart,1,1
mechdef_zeusx_ZEU-YX,MechPart,1,1
mechdef_archangelx_C-ANG-X,MechPart,1,1
mechdef_archangelx_C-ANG-X2,MechPart,1,1
mechdef_archangelx_C-ANG-X3,MechPart,1,1
mechdef_devax_C-DVA-X1,MechPart,1,1
mechdef_devax_C-DVA-X2,MechPart,1,1
mechdef_devax_C-DVA-X3,MechPart,1,1
mechdef_grigorix_C-GRG-X1,MechPart,1,1
mechdef_grigorix_C-GRG-X2,MechPart,1,1
mechdef_seraphx_C-SRP-X1,MechPart,1,1
mechdef_seraphx_C-SRP-X2,MechPart,1,1
mechdef_seraphx_C-SRP-X3,MechPart,1,1
mechdef_albatross_ALB-X1,MechPart,1,1
mechdef_albatross_ALB-X2,MechPart,1,1
mechdef_annihilator_ANH-X1,MechPart,1,1
mechdef_annihilator_ANH-X2,MechPart,1,1
mechdef_annihilator_ANH-X3,MechPart,1,1
mechdef_anvil_ANV-X,MechPart,1,1
mechdef_anvil_ANV-X2,MechPart,1,1
mechdef_argus_AGS-X2,MechPart,1,1
mechdef_atlas_AS7-D3X,MechPart,1,1
mechdef_avatar_AV1-X,MechPart,1,1
mechdef_avatar_AV1-X2,MechPart,1,1
mechdef_avatar_AV1-X3,MechPart,1,1
mechdef_awesome_AWS-X,MechPart,1,1
mechdef_axman_AXM-X2,MechPart,1,1
mechdef_balar_BA1-X1,MechPart,1,1
mechdef_balar_BA1-X2,MechPart,1,1
mechdef_battleaxe_BKX-X,MechPart,1,1
mechdef_battleaxe_BKX-X2,MechPart,1,1
mechdef_battlehammer_BHA-X1,MechPart,1,1
mechdef_battlehammer_BHA-X2,MechPart,1,1
mechdef_battlemaster_BLR-X1,MechPart,1,1
mechdef_battlemaster_BLR-X2,MechPart,1,1
mechdef_bellerophon_BEL-X,MechPart,1,1
mechdef_berserker_BRZ-X,MechPart,1,1
mechdef_berserker_BRZ-X2,MechPart,1,1
mechdef_bigfoot_BFT-X1,MechPart,1,1
mechdef_bigfoot_BFT-X2,MechPart,1,1
mechdef_blackheart_BH-X1,MechPart,1,1
mechdef_blackknight_BL-10-KNT-X2,MechPart,1,1
mechdef_bombardier_BMB-X,MechPart,1,1
mechdef_broadside_BS-X1,MechPart,1,1
mechdef_broadside_BS-X2,MechPart,1,1
mechdef_bullshark_BSK-X1,MechPart,1,1
mechdef_bullshark_BSK-X2,MechPart,1,1
mechdef_caesar_CES-X,MechPart,1,1
mechdef_caesar_CES-X2,MechPart,1,1
mechdef_carronade_CRN-X,MechPart,1,1
mechdef_cataphract_CTF-X,MechPart,1,1
mechdef_cataphract_CTF-X2,MechPart,1,1
mechdef_catapult_CPLT-X1,MechPart,1,1
mechdef_catapult_CPLT-X2,MechPart,1,1
mechdef_champion_CHP-X,MechPart,1,1
mechdef_champion_CHP-X2,MechPart,1,1
mechdef_champion_CHP-X3,MechPart,1,1
mechdef_charger_CGR-X,MechPart,1,1
mechdef_coehorn_COE-X1,MechPart,1,1
mechdef_coehorn_COE-X2,MechPart,1,1
mechdef_corsair_COR-X2,MechPart,1,1
mechdef_crockett_CRK-X1,MechPart,1,1
mechdef_crockett_CRK-X2,MechPart,1,1
mechdef_cyclopsii_CPII-X1,MechPart,1,1
mechdef_cyclopsii_CPII-X2,MechPart,1,1
mechdef_cyclopsii_CPII-X3,MechPart,1,1
mechdef_cyclopsii_CPII-X4,MechPart,1,1
mechdef_cyclops_CP-10-Z-DC-X,MechPart,1,1
mechdef_cyclops_CP-10-Z-X,MechPart,1,1
mechdef_daikyu_DAI-X1,MechPart,1,1
mechdef_daikyu_DAI-X2,MechPart,1,1
mechdef_diomede_D-M3D-X,MechPart,1,1
mechdef_doloire_DLR-X,MechPart,1,1
mechdef_doloire_DLR-X2,MechPart,1,1
mechdef_dragonfire_DGR-X1,MechPart,1,1
mechdef_dragonfire_DGR-X2,MechPart,1,1
mechdef_dragonfire_DGR-X3,MechPart,1,1
mechdef_dragon_DRG-X,MechPart,1,1
mechdef_emperor_EMP-X,MechPart,1,1
mechdef_emperor_EMP-X2,MechPart,1,1
mechdef_excalibur_EXC-X,MechPart,1,1
mechdef_excalibur_EXC-X2,MechPart,1,1
mechdef_excalibur_EXC-X3,MechPart,1,1
mechdef_exterminator_EXT-4D-X,MechPart,1,1
mechdef_exterminator_EXT-X,MechPart,1,1
mechdef_fafnir_FNR-X2,MechPart,1,1
mechdef_granddragon_DRG-X,MechPart,1,1
mechdef_grandtitan_T-IT-X1,MechPart,1,1
mechdef_grandtitan_T-IT-X2,MechPart,1,1
mechdef_grasshopper_GHR-X,MechPart,1,1
mechdef_grasshopper_GHR-X2,MechPart,1,1
mechdef_guillotine_GLT-X,MechPart,1,1
mechdef_guillotine_GLT-X2,MechPart,1,1
mechdef_gunslinger_GUN-X1,MechPart,1,1
mechdef_gunslinger_GUN-X2,MechPart,1,1
mechdef_hammerhands_HMH-X1,MechPart,1,1
mechdef_hammerhands_HMH-X2,MechPart,1,1
mechdef_hatamoto-chii_HTM-X2,MechPart,1,1
mechdef_hatamoto-hi_HTM-X3,MechPart,1,1
mechdef_hauptmann_HA1-X,MechPart,1,1
mechdef_hauptmann_HA1-X2,MechPart,1,1
mechdef_hector_HOR-X,MechPart,1,1
mechdef_hector_HOR-X2,MechPart,1,1
mechdef_helios_HEL-X,MechPart,1,1
mechdef_helios_HEL-X2,MechPart,1,1
mechdef_highlander_HGN-X,MechPart,1,1
mechdef_highlander_HGN-X2,MechPart,1,1
mechdef_imp_IMP-X,MechPart,1,1
mechdef_imp_IMP-X2,MechPart,1,1
mechdef_imp_IMP-X3,MechPart,1,1
mechdef_ion_ION-X1,MechPart,1,1
mechdef_ion_ION-X2,MechPart,1,1
mechdef_ion_ION-X3,MechPart,1,1
mechdef_jagermech_JM6-B-X,MechPart,1,1
mechdef_jagermech_JM6-DD-X,MechPart,1,1
mechdef_jinggau_JN-X,MechPart,1,1
mechdef_jinggau_JN-X2,MechPart,1,1
mechdef_jinggau_JN-X3,MechPart,1,1
mechdef_jotunn_JTN-X1,MechPart,1,1
mechdef_jotunn_JTN-X2,MechPart,1,1
mechdef_jotunn_JTN-X3,MechPart,1,1
mechdef_juggernaut_JG-X,MechPart,1,1
mechdef_juggernaut_JG-X2,MechPart,1,1
mechdef_kingcrabrauder_KCRD-X1,MechPart,1,1
mechdef_kingcrabrauder_KCRD-X2,MechPart,1,1
mechdef_kingcrab_KGC-X2,MechPart,1,1
mechdef_koschei_KSC-X1,MechPart,1,1
mechdef_koschei_KSC-X2,MechPart,1,1
mechdef_lament_LMT-X,MechPart,1,1
mechdef_lament_LMT-X2,MechPart,1,1
mechdef_laohu_LHU-X2,MechPart,1,1
mechdef_legacy_LGC-X1,MechPart,1,1
mechdef_legacy_LGC-X2,MechPart,1,1
mechdef_legacy_LGC-X3,MechPart,1,1
mechdef_liberty_LBT-X1,MechPart,1,1
mechdef_liberty_LBT-X2,MechPart,1,1
mechdef_mackenzie_MK-X,MechPart,1,1
mechdef_mackie-X,MechPart,1,1
mechdef_mackie_MSK-X2,MechPart,1,1
mechdef_mackie_MSK-X3,MechPart,1,1
mechdef_mauler_MAL-X2,MechPart,1,1
mechdef_mauler_MAL-X3,MechPart,1,1
mechdef_merlin_MLN-X1,MechPart,1,1
mechdef_merlin_MLN-X2,MechPart,1,1
mechdef_naginata_NG-X,MechPart,1,1
mechdef_naginata_NG-X2,MechPart,1,1
mechdef_nightstar_NSR-X,MechPart,1,1
mechdef_nightstar_NSR-X2,MechPart,1,1
mechdef_orion_ON1-X1,MechPart,1,1
mechdef_orion_ON2-X2,MechPart,1,1
mechdef_ostroc_OSR-X,MechPart,1,1
mechdef_ostroc_OSR-X2,MechPart,1,1
mechdef_ostsol_OTL-X,MechPart,1,1
mechdef_ostsol_OTL-X2,MechPart,1,1
mechdef_ostwar_OWR-X2,MechPart,1,1
mechdef_pendragon_PDG-X1,MechPart,1,1
mechdef_pendragon_PDG-X2,MechPart,1,1
mechdef_penetrator_PTR-X1,MechPart,1,1
mechdef_penetrator_PTR-X2,MechPart,1,1
mechdef_pillager_PLG-X,MechPart,1,1
mechdef_pillager_PLG-X2,MechPart,1,1
mechdef_princecrab_PRC-X1,MechPart,1,1
mechdef_princecrab_PRC-X2,MechPart,1,1
mechdef_princecrab_PRC-X3,MechPart,1,1
mechdef_quickdraw_QKD-X1,MechPart,1,1
mechdef_quickdraw_QKD-X2,MechPart,1,1
mechdef_rakshasa_MDG-X1,MechPart,1,1
mechdef_rakshasa_MDG-X2,MechPart,1,1
mechdef_rampage_RMP-X1,MechPart,1,1
mechdef_rampage_RMP-X2,MechPart,1,1
mechdef_rifleman_RFL-X2,MechPart,1,1
mechdef_roughneck_RGH-X1,MechPart,1,1
mechdef_roughneck_RGH-X2,MechPart,1,1
mechdef_roughneck_RGH-X3,MechPart,1,1
mechdef_salamander_PPR-X1,MechPart,1,1
mechdef_salamander_PPR-X2,MechPart,1,1
mechdef_shogun_SHG-X1,MechPart,1,1
mechdef_shogun_SHG-X2,MechPart,1,1
mechdef_shootist_ST-X,MechPart,1,1
mechdef_shootist_ST-X2,MechPart,1,1
mechdef_sorcerer_SRC-X1,MechPart,1,1
mechdef_sorcerer_SRC-X2,MechPart,1,1
mechdef_sorcerer_SRC-X3,MechPart,1,1
mechdef_stalker_STK-X,MechPart,1,1
mechdef_stalker_STK-X2,MechPart,1,1
mechdef_stalker_STK-X3,MechPart,1,1
mechdef_striker_STC-X,MechPart,1,1
mechdef_striker_STC-X2,MechPart,1,1
mechdef_sunder_SD1-X1,MechPart,1,1
mechdef_sunder_SD1-X2,MechPart,1,1
mechdef_templar_TLR1-X,MechPart,1,1
mechdef_templar_TLR1-X2,MechPart,1,1
mechdef_templar_TLR1-X3,MechPart,1,1
mechdef_thanatos_TNS-X2,MechPart,1,1
mechdef_thug_THG-X,MechPart,1,1
mechdef_thug_THG-X2,MechPart,1,1
mechdef_thug_THG-X3,MechPart,1,1
mechdef_thunderbolt_TDR-X2,MechPart,1,1
mechdef_thunderhawk_TDK-X,MechPart,1,1
mechdef_thunderhawk_TDK-X2,MechPart,1,1
mechdef_thunderhawk_TDK-X3,MechPart,1,1
mechdef_thunder_THR-X1,MechPart,1,1
mechdef_thunder_THR-X2,MechPart,1,1
mechdef_titanii_TI-X,MechPart,1,1
mechdef_titan_TI-X1,MechPart,1,1
mechdef_titan_TI-X2,MechPart,1,1
mechdef_tolson_TOL-X1,MechPart,1,1
mechdef_tolson_TOL-X2,MechPart,1,1
mechdef_tomahawk_THK-X1,MechPart,1,1
mechdef_tomahawk_THK-X2,MechPart,1,1
mechdef_toyama_TYM-X,MechPart,1,1
mechdef_toyama_TYM-X2,MechPart,1,1
mechdef_toyama_TYM-X3,MechPart,1,1
mechdef_valkyrieii_VLK-II-1A-X,MechPart,1,1
mechdef_valkyrieii_VLK-II-2A-X,MechPart,1,1
mechdef_vanquisher_VQR-X,MechPart,1,1
mechdef_vanquisher_VQR-X2,MechPart,1,1
mechdef_vanquisher_VQR-X3,MechPart,1,1
mechdef_victor_VTR-X,MechPart,1,1
mechdef_victor_VTR-X2,MechPart,1,1
mechdef_viking_VKG-X1,MechPart,1,1
mechdef_viking_VKG-X2,MechPart,1,1
mechdef_vonrohrs_VON-4RH-X,MechPart,1,1
mechdef_vonrohrs_VON-4RH-X2,MechPart,1,1
mechdef_warhammer_WHM-X2,MechPart,1,1
mechdef_warhammer_WHM-X3,MechPart,1,1
mechdef_yeoman_YMN-X,MechPart,1,1
mechdef_ymir_BWP-X,MechPart,1,1
mechdef_ymir_BWP-X2,MechPart,1,1
mechdef_bane_BAN-X2,MechPart,1,1
mechdef_bane_BAN-X3,MechPart,1,1
mechdef_blackpython_BP-X,MechPart,1,1
mechdef_blackpython_BP-X2,MechPart,1,1
mechdef_bloodasp_BAS-X2,MechPart,1,1
mechdef_bloodasp_BAS-X3,MechPart,1,1
mechdef_bloodasp_BAS-X4,MechPart,1,1
mechdef_bowman_BWM-X1,MechPart,1,1
mechdef_bowman_BWM-X2,MechPart,1,1
mechdef_bruin_BRN-X1,MechPart,1,1
mechdef_bruin_BRN-X2,MechPart,1,1
mechdef_canis_CAS-X1,MechPart,1,1
mechdef_canis_CAS-X2,MechPart,1,1
mechdef_ebonjaguar_EBJ-X2,MechPart,1,1
mechdef_ebonjaguar_EBJ-X3,MechPart,1,1
mechdef_executioner_EXE-X2,MechPart,1,1
mechdef_flamberge_FMB-X1,MechPart,1,1
mechdef_flamberge_FMB-X2,MechPart,1,1
mechdef_flamberge_FMB-X3,MechPart,1,1
mechdef_gargoyle_GAR-X2,MechPart,1,1
mechdef_glassspider_GS-X1,MechPart,1,1
mechdef_glassspider_GS-X2,MechPart,1,1
mechdef_glassspider_GS-X3,MechPart,1,1
mechdef_grizzly_GRZ-X1,MechPart,1,1
mechdef_grizzly_GRZ-X2,MechPart,1,1
mechdef_hellbringer_HBR-X3,MechPart,1,1
mechdef_hellfire_HLF-X3,MechPart,1,1
mechdef_hellfire_HLF-X4,MechPart,1,1
mechdef_highlanderiic_HGN-IIC-2-X,MechPart,1,1
mechdef_ironcheetah_ICH-X1,MechPart,1,1
mechdef_ironcheetah_ICH-X2,MechPart,1,1
mechdef_jadephoenix_JDP-X1,MechPart,1,1
mechdef_jadephoenix_JDP-X2,MechPart,1,1
mechdef_kingfisher_KFR-WX,MechPart,1,1
mechdef_kingfisher_KFR-X,MechPart,1,1
mechdef_kodiak_KDK-X2,MechPart,1,1
mechdef_lancelot_LNC25-C-X,MechPart,1,1
mechdef_lancelot_LNC25-C2-X2,MechPart,1,1
mechdef_lancelot_LNC25-X,MechPart,1,1
mechdef_lancelot_LNC25-X2,MechPart,1,1
mechdef_linebacker_LBK-X1,MechPart,1,1
mechdef_linebacker_LBK-X2,MechPart,1,1
mechdef_linebacker_LBK-X3,MechPart,1,1
mechdef_lupus_LUPUS-X1,MechPart,1,1
mechdef_lupus_LUPUS-X2,MechPart,1,1
mechdef_madcatmkii_MCII-X2,MechPart,1,1
mechdef_maddog_MDG-X3,MechPart,1,1
mechdef_marauderiic_MAD-IIC-X2,MechPart,1,1
mechdef_marauderiic_MAD-IIC-X3,MechPart,1,1
mechdef_minsk_MNK-101-X,MechPart,1,1
mechdef_minsk_MNK-102-X,MechPart,1,1
mechdef_minsk_MNK-103-X,MechPart,1,1
mechdef_nagaii_NGA-X1,MechPart,1,1
mechdef_nagaii_NGA-X2,MechPart,1,1
mechdef_nightgyr_NTG-X2,MechPart,1,1
mechdef_nightgyr_NTG-X3,MechPart,1,1
mechdef_novacat_NCT-X1,MechPart,1,1
mechdef_novacat_NCT-X2,MechPart,1,1
mechdef_novacat_NCT-X3,MechPart,1,1
mechdef_omen_OMN-X1,MechPart,1,1
mechdef_omen_OMN-X2,MechPart,1,1
mechdef_onager_ONG-X1,MechPart,1,1
mechdef_onager_ONG-X2,MechPart,1,1
mechdef_orioniic_ON1-IIC-X2,MechPart,1,1
mechdef_riflemaniic_RFL-IIC-X,MechPart,1,1
mechdef_scylla_SCL-WX,MechPart,1,1
mechdef_scylla_SCL-X,MechPart,1,1
mechdef_shrike_SRK-X1,MechPart,1,1
mechdef_shrike_SRK-X2,MechPart,1,1
mechdef_sidewinder_SDW-X,MechPart,1,1
mechdef_stonerhino_STR-X2,MechPart,1,1
mechdef_stonerhino_STR-X3,MechPart,1,1
mechdef_turkina_TKN-X2,MechPart,1,1
mechdef_turkina_TKN-X3,MechPart,1,1
mechdef_visionquest_VQ-X1,MechPart,1,1
mechdef_visionquest_VQ-X2,MechPart,1,1
mechdef_warhammeriic_WHM-IIC-X2,MechPart,1,1
mechdef_warhawk_WHK-X2,MechPart,1,1
mechdef_woodsman_WDM-WX,MechPart,1,1
mechdef_woodsman_WDM-X,MechPart,1,1
mechdef_woodsman_WDM-X2,MechPart,1,1
mechdef_woodsman_WDM-X3,MechPart,1,1
